#     BLOCK:   ACTUAL_KE:    KE_AVE:      ERROR:
           1      1.5864      1.5864           0
           2     1.70115     1.64378   0.0405678
           3     1.80208     1.69654   0.0508692
           4     1.84714     1.73419   0.0501869
           5     1.90415     1.76818   0.0503616
           6     1.90969     1.79177   0.0471682
           7     1.89909      1.8071   0.0428493
           8      1.8986     1.81854   0.0389898
           9     1.90379     1.82801   0.0357899
          10      1.9003     1.83524   0.0329329
          11     1.90391     1.84148   0.0305249
          12     1.90952     1.84715   0.0285029
          13     1.90002     1.85122   0.0265988
          14     1.93045     1.85688   0.0252938
          15     1.93033     1.86177   0.0240769
          16     1.87955     1.86289   0.0225977
          17     1.96812     1.86908      0.0221
          18     1.97679     1.87506   0.0216673
          19     1.96998     1.88006    0.021095
          20     1.99082     1.88559   0.0207545
          21     2.00061     1.89107    0.020476
          22     2.00802     1.89639   0.0202236
          23     1.92922     1.89781   0.0193947
          24     1.97114     1.90087   0.0188256
          25     1.93552     1.90226   0.0181236
          26      1.9239     1.90309   0.0174456
          27     1.92601     1.90394   0.0168201
          28     1.93879     1.90518   0.0162654
          29     1.92077     1.90572   0.0157134
          30     1.90121     1.90557   0.0151903
          31      1.8968     1.90529    0.014703
          32      1.8978     1.90505   0.0142454
          33     1.87652     1.90419   0.0138399
          34     1.92229     1.90472   0.0134431
          35     1.91395     1.90498   0.0130616
          36     1.92421     1.90552   0.0127097
          37      1.8763     1.90473   0.0123907
          38     1.91016     1.90487   0.0120654
          39     1.92302     1.90534    0.011765
          40     1.92132     1.90574   0.0114777
          41     1.91492     1.90596   0.0111999
          42     1.91578     1.90619   0.0109357
          43     1.91561     1.90641   0.0106836
          44     1.98348     1.90816   0.0105834
          45      1.9606     1.90933   0.0104121
          46     1.91768     1.90951   0.0101874
          47     1.91978     1.90973  0.00997294
          48     1.89629     1.90945   0.0097691
          49     1.91418     1.90955  0.00957021
          50     1.92038     1.90976  0.00938126
          51      1.9054     1.90968   0.0091977
          52     1.88463     1.90919  0.00903343
          53     1.87652     1.90858  0.00888399
          54      1.8901     1.90824  0.00872606
          55     1.93284     1.90868  0.00857886
          56     1.89385     1.90842  0.00842975
          57     1.93375     1.90886  0.00829357
          58     1.99407     1.91033  0.00827967
          59     1.92688     1.91061  0.00814409
          60     1.90144     1.91046  0.00800979
          61     1.89925     1.91028  0.00788059
          62     1.92376     1.91049  0.00775648
          63     1.97288     1.91148  0.00769632
          64     1.95998     1.91224  0.00761328
          65     1.98149     1.91331  0.00757033
          66     1.89333       1.913  0.00746168
          67     1.86686     1.91232  0.00738203
          68     1.89235     1.91202  0.00727931
          69     1.85832     1.91124   0.0072153
          70     1.87817     1.91077  0.00712767
          71     1.90069     1.91063  0.00702869
          72      1.9651     1.91139  0.00697167
          73     1.96327      1.9121  0.00691231
          74     1.93112     1.91235  0.00682368
          75     1.88385     1.91197  0.00674327
          76     1.90576     1.91189  0.00665504
          77     1.91814     1.91197  0.00656911
          78     1.91141     1.91197  0.00648489
          79     1.92747     1.91216  0.00640577
          80     1.94519     1.91257  0.00633899
          81     1.93214     1.91282  0.00626533
          82     1.94911     1.91326  0.00620453
          83      1.9544     1.91375  0.00614955
          84     1.92545     1.91389  0.00607792
          85     1.98851     1.91477  0.00606947
          86     1.97935     1.91552  0.00604516
          87     1.94211     1.91583   0.0059834
          88     1.96837     1.91642  0.00594512
          89     1.89909     1.91623  0.00588151
          90     1.91795     1.91625  0.00581619
          91     1.93181     1.91642  0.00575479
          92     1.94006     1.91668  0.00569797
          93     1.92667     1.91678  0.00563772
          94     1.95051     1.91714  0.00558915
          95     1.95916     1.91759  0.00554778
          96     1.95047     1.91793  0.00550056
          97     1.96629     1.91843   0.0054664
          98     1.98276     1.91908   0.0054499
          99     1.97105     1.91961  0.00542007
         100     1.93781     1.91979  0.00536892
         101     1.98742     1.92046  0.00535736
         102     1.91067     1.92036  0.00530569
         103     1.89135     1.92008  0.00526166
         104     1.93797     1.92025  0.00521387
         105     1.93895     1.92043  0.00516726
         106      1.9166      1.9204  0.00511863
         107     1.92308     1.92042  0.00507086
         108     1.93238     1.92053  0.00502511
         109     1.97651     1.92105  0.00500518
         110     1.92884     1.92112  0.00496018
         111       1.938     1.92127  0.00491783
         112     1.92457      1.9213  0.00487401
         113     1.91444     1.92124  0.00483125
         114     1.92177     1.92124  0.00478887
         115     1.89243     1.92099  0.00475378
         116     1.94242     1.92118  0.00471639
         117     1.92295     1.92119   0.0046761
         118     1.93781     1.92133  0.00463859
         119     1.86978      1.9209   0.0046198
         120     1.88812     1.92063  0.00458937
         121     1.89494     1.92041  0.00455635
         122     1.95373     1.92069  0.00452718
         123     1.96951     1.92108  0.00450774
         124     1.96346     1.92142  0.00448433
         125     1.99217     1.92199  0.00448402
         126     1.96999     1.92237  0.00446459
         127     1.95995     1.92267  0.00443922
         128     1.92436     1.92268  0.00440456
         129     1.91012     1.92258  0.00437149
         130     1.88922     1.92233  0.00434539
         131     1.89736     1.92214   0.0043164
         132     1.94175     1.92228  0.00428626
         133     1.94697     1.92247  0.00425805
         134      1.9655     1.92279  0.00423836
         135     1.92357      1.9228  0.00420697
         136     1.91089     1.92271  0.00417695
         137     1.91805     1.92268   0.0041466
         138     1.90355     1.92254  0.00411887
         139     1.89667     1.92235  0.00409344
         140     1.90463     1.92222  0.00406616
         141     1.91486     1.92217  0.00403765
         142     1.91664     1.92213  0.00400941
         143     1.92839     1.92218  0.00398161
         144     1.89819     1.92201  0.00395744
         145      1.9592     1.92227  0.00393845
         146     2.00315     1.92282  0.00395024
         147     1.97782      1.9232  0.00394105
         148     1.94921     1.92337  0.00391834
         149     2.00734     1.92393  0.00393236
         150     1.98035     1.92431  0.00392409
         151      2.0184     1.92493  0.00394727
         152     1.96893     1.92522   0.0039319
         153     1.95129     1.92539  0.00390989
         154     1.93592     1.92546  0.00388509
         155     1.94238     1.92557  0.00386156
         156     1.94259     1.92568  0.00383835
         157     1.98038     1.92603  0.00382968
         158     1.95237      1.9262  0.00380907
         159     1.95842      1.9264   0.0037905
         160       1.958      1.9266  0.00377195
         161      1.9851     1.92696  0.00376599
         162     1.98897     1.92734  0.00376214
         163     1.96339     1.92756  0.00374555
         164     1.95798     1.92775   0.0037273
         165     1.95278      1.9279   0.0037078
         166     1.95895     1.92809  0.00369018
         167     1.96491     1.92831  0.00367466
         168     1.94703     1.92842  0.00365448
         169     1.90935     1.92831  0.00363459
         170     1.93052     1.92832  0.00361324
         171       1.927     1.92831  0.00359212
         172     1.92736     1.92831  0.00357124
         173     1.95071     1.92844  0.00355294
         174     1.94874     1.92855  0.00353444
         175     1.97074     1.92879  0.00352245
         176     1.96978     1.92903  0.00351013
         177     1.98238     1.92933  0.00350322
         178     1.94617     1.92942  0.00348482
         179     1.93723     1.92947  0.00346562
         180     1.95415      1.9296  0.00344908
         181     1.96116     1.92978  0.00343443
         182     1.98046     1.93006  0.00342683
         183     2.01382     1.93051  0.00343853
         184     1.98028     1.93078  0.00343047
         185     1.95924     1.93094  0.00341537
         186     1.94227       1.931  0.00339755
         187     1.93329     1.93101  0.00337941
         188     1.95957     1.93116  0.00336484
         189     1.95764      1.9313  0.00334995
         190     1.92218     1.93125  0.00333267
         191     1.94256     1.93131  0.00331574
         192     1.93523     1.93133  0.00329854
         193     1.97416     1.93156   0.0032889
         194     2.01029     1.93196  0.00329689
         195      1.9814     1.93222  0.00328972
         196     1.96326     1.93237  0.00327674
         197     1.96917     1.93256  0.00326543
         198     1.95361     1.93267  0.00325067
         199     1.95033     1.93276  0.00323554
         200     1.99213     1.93305  0.00323296
