#     BLOCK:   ACTUAL_P:     P_AVE:       ERROR:
           1    0.052518    0.052518           0
           2   0.0563581    0.054438   0.0013577
           3   0.0593618   0.0560793  0.00161712
           4   0.0608342    0.057268  0.00159084
           5   0.0627756   0.0583695  0.00160946
           6   0.0626788   0.0590877  0.00149289
           7   0.0628073   0.0596191  0.00137093
           8   0.0624472   0.0599726   0.0012443
           9   0.0625146   0.0602551  0.00113765
          10    0.062773   0.0605069  0.00105138
          11   0.0622099   0.0606617 0.000967134
          12   0.0628681   0.0608455 0.000903849
          13   0.0625808    0.060979 0.000844121
          14   0.0634235   0.0611536 0.000801682
          15   0.0635279   0.0613119 0.000763703
          16   0.0616757   0.0613347  0.00071631
          17   0.0652011   0.0615621 0.000709363
          18    0.065152   0.0617615 0.000697427
          19   0.0648242   0.0619227 0.000679093
          20   0.0652286    0.062088 0.000664951
          21   0.0655877   0.0622547 0.000653836
          22    0.066727    0.062458 0.000654957
          23   0.0631404   0.0624876 0.000627153
          24   0.0650366   0.0625938 0.000609948
          25   0.0638616   0.0626446 0.000587654
          26   0.0634737   0.0626764 0.000565917
          27   0.0635554    0.062709 0.000545892
          28   0.0636013   0.0627409 0.000527325
          29   0.0634497   0.0627653 0.000509708
          30   0.0625141   0.0627569 0.000492786
          31   0.0621065   0.0627359 0.000477337
          32    0.062104   0.0627162 0.000462828
          33   0.0616564   0.0626841 0.000449916
          34   0.0633555   0.0627038 0.000437116
          35   0.0631483   0.0627165 0.000424811
          36   0.0633939   0.0627353 0.000413428
          37   0.0620666   0.0627173 0.000402649
          38   0.0629976   0.0627246  0.00039212
          39    0.063722   0.0627502 0.000382899
          40   0.0633313   0.0627647 0.000373602
          41   0.0628512   0.0627669 0.000364496
          42   0.0628691   0.0627693 0.000355825
          43   0.0632011   0.0627793 0.000347692
          44   0.0654658   0.0628404 0.000345109
          45    0.064456   0.0628763 0.000339302
          46   0.0628855   0.0628765 0.000331926
          47   0.0634805   0.0628893 0.000325113
          48   0.0619675   0.0628701 0.000318906
          49    0.063063   0.0628741 0.000312422
          50    0.063176   0.0628801 0.000306232
          51   0.0627955   0.0628785 0.000300232
          52   0.0619438   0.0628605 0.000294996
          53    0.061598   0.0628367  0.00029039
          54   0.0621397   0.0628237 0.000285299
          55   0.0634077   0.0628344 0.000280309
          56   0.0623789   0.0628262 0.000275422
          57   0.0632716    0.062834 0.000270701
          58   0.0657103   0.0628836 0.000270538
          59   0.0632088   0.0628891 0.000266008
          60   0.0624565   0.0628819 0.000261673
          61   0.0629201   0.0628826 0.000257384
          62   0.0633004   0.0628893 0.000253321
          63     0.06517   0.0629255 0.000251873
          64   0.0645186   0.0629504 0.000249164
          65   0.0656084   0.0629913 0.000248664
          66   0.0621202   0.0629781 0.000245246
          67   0.0615605   0.0629569 0.000242497
          68   0.0628662   0.0629556 0.000238935
          69   0.0607514   0.0629236 0.000237598
          70   0.0617972   0.0629076 0.000234748
          71   0.0622549   0.0628984 0.000231621
          72   0.0646393   0.0629225 0.000229663
          73   0.0647987   0.0629482 0.000227951
          74   0.0633957   0.0629543  0.00022495
          75   0.0617012   0.0629376 0.000222571
          76   0.0629594   0.0629379 0.000219642
          77   0.0630786   0.0629397 0.000216797
          78   0.0627615   0.0629374  0.00021403
          79   0.0637603   0.0629478 0.000211574
          80   0.0643232    0.062965 0.000209627
          81   0.0634417   0.0629709 0.000207121
          82   0.0644608   0.0629891 0.000205391
          83   0.0646817   0.0630095 0.000203926
          84   0.0628012    0.063007 0.000201514
          85   0.0655006   0.0630363 0.000201267
          86   0.0653198   0.0630629  0.00020067
          87   0.0635675   0.0630687 0.000198448
          88   0.0655882   0.0630973 0.000198247
          89   0.0622101   0.0630873  0.00019627
          90   0.0634574   0.0630915 0.000194132
          91   0.0637887   0.0630991  0.00019215
          92   0.0641125   0.0631101 0.000190377
          93   0.0632582   0.0631117 0.000188337
          94   0.0640853   0.0631221 0.000186618
          95   0.0643792   0.0631353 0.000185122
          96   0.0638299   0.0631425 0.000183335
          97   0.0649211   0.0631609 0.000182359
          98   0.0650979   0.0631807 0.000181567
          99   0.0648911   0.0631979 0.000180553
         100   0.0635843   0.0632018 0.000178789
         101    0.065703   0.0632266 0.000178725
         102   0.0629307   0.0632237 0.000176997
         103   0.0619136   0.0632109 0.000175735
         104   0.0638899   0.0632175 0.000174166
         105   0.0639628   0.0632246 0.000172652
         106   0.0632238   0.0632246 0.000171023
         107   0.0631628    0.063224 0.000169426
         108   0.0634632   0.0632262 0.000167871
         109   0.0653807    0.063246 0.000167491
         110   0.0634072   0.0632474 0.000165975
         111   0.0641117   0.0632552 0.000164662
         112   0.0633972   0.0632565 0.000163197
         113   0.0630892    0.063255 0.000161759
         114   0.0638295     0.06326 0.000160419
         115    0.062473   0.0632532  0.00015917
         116   0.0640689   0.0632602 0.000157953
