#     BLOCK:   ACTUAL_T:     T_AVE:       ERROR:
           1     1.09585     1.09585           0
           2     1.21641     1.15613   0.0426231
           3     1.27128     1.19451   0.0423041
           4      1.2659     1.21236   0.0352923
           5     1.26803     1.22349   0.0299388
           6     1.27114     1.23143   0.0259809
           7     1.27682     1.23792   0.0230643
           8     1.26996     1.24192    0.020526
           9     1.31497     1.25004    0.019785
          10     1.32027     1.25706   0.0190121
          11     1.33621     1.26426   0.0185954
          12     1.30012     1.26725   0.0172843
          13     1.28647     1.26873   0.0160179
          14     1.28827     1.27012   0.0149344
          15     1.27399     1.27038    0.013941
          16     1.26487     1.27003    0.013074
          17     1.26627     1.26981   0.0123068
          18     1.27939     1.27034   0.0116346
          19     1.26215     1.26991   0.0110302
          20     1.28145     1.27049   0.0104938
