#     BLOCK:   ACTUAL_TE:    TE_AVE:      ERROR:
           1     1.40707     1.40707           0
           2     1.40714      1.4071 2.31966e-05
           3     1.40704     1.40708 2.37179e-05
           4     1.40702     1.40707 2.18916e-05
           5     1.40703     1.40706 1.88806e-05
           6     1.40703     1.40705  1.6464e-05
           7     1.40708     1.40706 1.45489e-05
           8     1.40711     1.40706  1.3913e-05
           9     1.40719     1.40708 1.78607e-05
          10     1.40722     1.40709 2.07432e-05
          11     1.40705     1.40709 1.91583e-05
          12     1.40716     1.40709 1.84673e-05
          13     1.40699     1.40709 1.85486e-05
          14     1.40701     1.40708 1.79218e-05
          15     1.40698     1.40707 1.80471e-05
          16     1.40681     1.40706 2.32569e-05
          17     1.40681     1.40704 2.60448e-05
          18     1.40684     1.40703 2.68909e-05
          19     1.40676     1.40702 2.91027e-05
          20       1.407     1.40702 2.76624e-05
          21     1.40713     1.40702 2.69064e-05
          22     1.40708     1.40702 2.58316e-05
          23     1.40714     1.40703 2.51558e-05
          24     1.40721     1.40704 2.52219e-05
          25     1.40708     1.40704 2.42606e-05
          26     1.40708     1.40704 2.33773e-05
          27     1.40704     1.40704 2.25115e-05
          28      1.4071     1.40704  2.1798e-05
          29     1.40697     1.40704 2.11766e-05
          30     1.40689     1.40703 2.10819e-05
