#     BLOCK:  ACTUAL_PE:     PE_AVE:      ERROR:
           1    -5.05792    -5.05792           0
           2    -4.97062    -5.01427   0.0308624
           3    -5.02414    -5.01756   0.0207497
           4    -5.04552    -5.02455   0.0166984
           5    -5.03968    -5.02758   0.0136302
           6    -4.99268    -5.02176   0.0125383
           7     -5.0541    -5.02638   0.0115667
           8    -5.09416    -5.03485   0.0128543
           9    -5.04208    -5.03566   0.0114511
          10    -5.05611     -5.0377   0.0104872
          11    -5.02235    -5.03631  0.00962622
          12    -5.07031    -5.03914  0.00923173
          13    -4.98584    -5.03504  0.00938782
          14    -5.06429    -5.03713  0.00894667
          15    -5.02403    -5.03626  0.00839271
          16    -5.02414     -5.0355  0.00790225
          17    -5.03037     -5.0352  0.00744317
          18    -5.04017    -5.03547  0.00703478
          19    -5.02747    -5.03505  0.00667712
          20    -5.01063    -5.03383  0.00645394
