#     BLOCK:   ACTUAL_P:     P_AVE:       ERROR:
           1      2.0109      2.0109           0
           2      2.2747      2.1428   0.0932662
           3     2.19448     2.16003   0.0637485
           4     2.01116     2.12281   0.0576607
           5     2.00975      2.1002   0.0503675
           6     2.29963     2.13344    0.051792
           7     1.99487     2.11364   0.0480273
           8     1.79813      2.0742   0.0559198
           9     2.09753      2.0768   0.0497665
          10     1.90343     2.05946   0.0477142
          11     2.14991     2.06768   0.0440795
          12     1.89409     2.05322   0.0427139
          13     2.31282     2.07319   0.0438484
          14     1.94182      2.0638   0.0417083
          15      2.0837     2.06513   0.0389489
          16     2.06617     2.06519   0.0365146
          17     2.10622     2.06761   0.0344463
          18     1.92914     2.05992   0.0333806
          19     2.05288     2.05954   0.0316257
          20     2.23202     2.06817   0.0311981
