#     BLOCK:   ACTUAL_T:     T_AVE:       ERROR:
           1      1.1408      1.1408           0
           2     1.08506     1.11293   0.0197044
           3       1.096     1.10729   0.0139207
           4     1.09777     1.10491    0.010642
           5     1.08736      1.1014  0.00907387
           6     1.10082      1.1013  0.00756206
           7       1.094     1.10026  0.00655338
           8     1.10544     1.10091  0.00576605
           9     1.06147     1.09653  0.00658312
          10     1.09458     1.09633  0.00592768
          11     1.08715      1.0955  0.00544729
          12     1.10298     1.09612   0.0050289
          13     1.08688     1.09541  0.00469206
          14      1.0743      1.0939   0.0045927
          15     1.10214     1.09445  0.00431922
          16      1.0922     1.09431  0.00405155
          17      1.0761     1.09324  0.00395229
          18     1.07708     1.09234  0.00383329
          19      1.0918     1.09231  0.00363164
          20     1.08502     1.09195  0.00346833
