#     BLOCK:  ACTUAL_PE:     PE_AVE:      ERROR:
           1    -6.62832    -6.62832           0
           2    -6.67062    -6.64947   0.0149546
           3    -6.64912    -6.64935  0.00997023
           4      -6.669    -6.65427  0.00860301
           5    -6.65886    -6.65518  0.00693119
           6    -6.66318    -6.65652   0.0059027
           7    -6.65823    -6.65676  0.00506453
           8    -6.66261    -6.65749  0.00448389
           9    -6.67646     -6.6596  0.00445354
          10     -6.6544    -6.65908  0.00403842
