#     BLOCK:   ACTUAL_T:     T_AVE:       ERROR:
           1    0.802283    0.802283           0
           2    0.797924    0.800103  0.00154124
           3    0.796801    0.799002  0.00136517
           4    0.802914     0.79998   0.0013288
           5     0.79879    0.799742  0.00108416
           6    0.802156    0.800144 0.000975237
           7    0.795831    0.799528  0.00101201
           8    0.798899     0.79945 0.000888564
           9     0.79961    0.799467 0.000790014
          10    0.798658    0.799386 0.000715152
          11    0.798316    0.799289 0.000656725
          12    0.799795    0.799331 0.000603348
          13    0.797573    0.799196 0.000571896
          14    0.796677    0.799016 0.000558644
          15    0.800056    0.799085 0.000525687
          16    0.798269    0.799034 0.000495304
          17    0.800534    0.799123 0.000473958
          18    0.801146    0.799235 0.000460767
          19    0.796793    0.799106 0.000454084
          20       0.803    0.799301 0.000471275
          21    0.796419    0.799164  0.00046839
          22    0.799574    0.799183 0.000447471
          23    0.799404    0.799192 0.000428119
          24    0.796557    0.799082 0.000424132
          25    0.802613    0.799224 0.000430033
          26    0.795859    0.799094 0.000432527
          27    0.796007     0.79898 0.000431356
          28    0.795276    0.798848 0.000435765
          29    0.798176    0.798824 0.000421353
          30    0.796865    0.798759  0.00041234
