#     BLOCK:   ACTUAL_TE:    TE_AVE:      ERROR:
           1    -5.45733    -5.45733           0
           2    -5.45585    -5.45659 0.000523541
           3    -5.45732    -5.45683 0.000402453
           4    -5.45609    -5.45665 0.000341615
           5    -5.45571    -5.45646 0.000320256
           6    -5.45456    -5.45614 0.000392927
           7    -5.45568    -5.45608 0.000342243
           8    -5.45554    -5.45601 0.000306103
           9    -5.45343    -5.45572 0.000383327
          10    -5.45747     -5.4559 0.000382574
          11    -5.45377     -5.4557 0.000393822
          12    -5.45516    -5.45566 0.000363633
          13    -5.45429    -5.45555 0.000350596
          14    -5.45546    -5.45555 0.000325614
          15    -5.45571    -5.45556 0.000304093
          16    -5.45613    -5.45559 0.000287155
          17    -5.45606    -5.45562 0.000271584
          18     -5.4548    -5.45558 0.000260275
          19    -5.45463    -5.45553 0.000251271
          20    -5.45521    -5.45551 0.000239194
          21    -5.45594    -5.45553 0.000228657
          22    -5.45598    -5.45555  0.00021918
          23     -5.4541    -5.45549 0.000218533
          24    -5.45659    -5.45553 0.000214187
          25     -5.4561    -5.45556 0.000206829
          26    -5.45523    -5.45554 0.000199255
          27    -5.45435     -5.4555 0.000196707
          28    -5.45547     -5.4555 0.000189685
          29    -5.45388    -5.45544 0.000191196
          30    -5.45519    -5.45543 0.000185004
          31    -5.45473    -5.45541 0.000180417
          32    -5.45536    -5.45541 0.000174785
          33    -5.45577    -5.45542 0.000169821
          34    -5.45602    -5.45544 0.000165731
          35    -5.45502    -5.45543 0.000161428
          36    -5.45577    -5.45544 0.000157223
          37    -5.45475    -5.45542 0.000154078
          38    -5.45449    -5.45539 0.000151964
          39     -5.4554    -5.45539 0.000148067
          40    -5.45682    -5.45543 0.000148596
          41    -5.45522    -5.45542 0.000145062
          42    -5.45571    -5.45543 0.000141772
          43    -5.45602    -5.45544 0.000139132
          44    -5.45631    -5.45546 0.000137351
          45    -5.45602    -5.45548 0.000134857
          46    -5.45414    -5.45545 0.000135036
          47     -5.4552    -5.45544 0.000132267
          48    -5.45443    -5.45542 0.000131197
          49    -5.45737    -5.45546 0.000134408
          50    -5.45479    -5.45545 0.000132385
          51    -5.45527    -5.45544 0.000129833
          52    -5.45532    -5.45544 0.000127357
          53    -5.45362    -5.45541 0.000129504
          54    -5.45671    -5.45543 0.000129325
          55    -5.45452    -5.45541 0.000128027
          56    -5.45558    -5.45542 0.000125774
          57    -5.45513    -5.45541 0.000123666
          58    -5.45594    -5.45542 0.000121864
          59    -5.45577    -5.45543 0.000119945
          60    -5.45557    -5.45543  0.00011797
          61    -5.45382     -5.4554 0.000118944
          62    -5.45517     -5.4554 0.000117088
          63    -5.45655    -5.45542 0.000116648
          64    -5.45662    -5.45544 0.000116322
          65    -5.45553    -5.45544  0.00011454
          66    -5.45608    -5.45545 0.000113218
          67      -5.457    -5.45547 0.000113859
          68    -5.45332    -5.45544 0.000116483
          69    -5.45444    -5.45542 0.000115694
          70    -5.45467    -5.45541 0.000114549
          71    -5.45548    -5.45542 0.000112939
          72    -5.45574    -5.45542 0.000111463
          73    -5.45707    -5.45544 0.000112217
          74    -5.45541    -5.45544 0.000110702
          75     -5.4561    -5.45545  0.00010957
          76    -5.45603    -5.45546 0.000108397
          77     -5.4559    -5.45546 0.000107142
          78    -5.45706    -5.45548   0.0001077
          79    -5.45534    -5.45548 0.000106352
          80    -5.45594    -5.45549 0.000105179
          81    -5.45589    -5.45549    0.000104
          82    -5.45564     -5.4555 0.000102747
          83    -5.45583     -5.4555 0.000101588
          84    -5.45483    -5.45549 0.000100689
          85    -5.45559    -5.45549 9.95111e-05
          86    -5.45582     -5.4555 9.84273e-05
          87    -5.45558     -5.4555 9.73011e-05
          88    -5.45563     -5.4555 9.62065e-05
          89    -5.45492    -5.45549 9.53469e-05
          90     -5.4561     -5.4555 9.45263e-05
          91    -5.45482    -5.45549 9.37847e-05
          92    -5.45572    -5.45549 9.27988e-05
          93    -5.45504    -5.45549 9.19295e-05
          94     -5.4562     -5.4555 9.12621e-05
          95    -5.45616     -5.4555 9.05672e-05
          96    -5.45569    -5.45551 8.96452e-05
          97    -5.45598    -5.45551 8.88561e-05
          98    -5.45582    -5.45551  8.8005e-05
          99    -5.45569    -5.45552 8.71341e-05
