#     BLOCK:   ACTUAL_P:     P_AVE:       ERROR:
           1     0.34711     0.34711           0
           2    0.333777    0.340444  0.00471393
           3    0.337833    0.339573  0.00322197
           4    0.343501    0.340555  0.00256172
           5    0.345861    0.341616  0.00225849
           6     0.34669    0.342462  0.00203422
           7    0.343472    0.342606  0.00174873
           8    0.344527    0.342846  0.00154653
           9    0.343293    0.342896  0.00137549
          10    0.338093    0.342416  0.00131914
