#     BLOCK:   ACTUAL_TE:    TE_AVE:      ERROR:
           1     1.54237     1.54237           0
           2      1.5422     1.54229  6.2194e-05
           3     1.54219     1.54225 4.88366e-05
           4      1.5421     1.54222 5.02581e-05
           5      1.5421     1.54219 4.54642e-05
           6      1.5421     1.54218 4.01931e-05
           7     1.54207     1.54216 3.73201e-05
           8     1.54212     1.54216 3.30218e-05
           9      1.5421     1.54215 2.99788e-05
          10       1.542     1.54213 3.03356e-05
          11     1.54204     1.54213 2.88848e-05
          12     1.54209     1.54212  2.6603e-05
          13     1.54214     1.54212  2.4574e-05
          14     1.54206     1.54212 2.32563e-05
          15     1.54216     1.54212 2.18805e-05
          16     1.54217     1.54212 2.06788e-05
          17      1.5422     1.54213 1.99419e-05
          18     1.54213     1.54213 1.88345e-05
          19      1.5421     1.54213  1.7903e-05
          20     1.54213     1.54213 1.70078e-05
