#     BLOCK:   ACTUAL_KE:    KE_AVE:      ERROR:
           1     1.77644     1.77644           0
           2     1.64595      1.7112   0.0461362
           3      1.6223     1.68156   0.0391335
           4      1.6329      1.6694   0.0311841
           5     1.64996     1.66551   0.0251885
           6     1.63806     1.66093   0.0214019
           7     1.65242     1.65972    0.018379
           8     1.64089     1.65736   0.0162316
           9     1.62817     1.65412   0.0147486
          10     1.63391      1.6521   0.0134115
          11     1.63927     1.65093   0.0122429
          12      1.6632     1.65196   0.0112652
          13     1.62441     1.64984    0.010596
          14     1.65759     1.65039  0.00985362
          15     1.65525     1.65071  0.00920204
          16     1.66106     1.65136  0.00864959
          17     1.57057     1.64661  0.00935569
          18     1.61384     1.64479  0.00901132
          19     1.64132      1.6446   0.0085389
          20     1.64242      1.6445  0.00811265
          21     1.65051     1.64478  0.00773139
          22     1.61092     1.64324  0.00753158
          23     1.65065     1.64357  0.00721101
          24     1.65828     1.64418  0.00693656
          25     1.61599     1.64305  0.00675011
          26     1.64464     1.64311  0.00649076
          27     1.60293     1.64162  0.00641872
          28     1.61998     1.64085  0.00623585
          29     1.69005     1.64255  0.00624735
          30     1.61636     1.64167  0.00609978
          31      1.6312     1.64134  0.00591237
          32     1.64541     1.64146  0.00572898
          33     1.60532     1.64037  0.00565912
          34     1.62298     1.63986  0.00551573
          35     1.59549     1.63859  0.00550187
          36     1.63575     1.63851   0.0053496
          37     1.64163     1.63859  0.00520568
          38     1.63378     1.63847  0.00507023
          39      1.6051     1.63761  0.00501189
          40     1.64995     1.63792  0.00489607
          41     1.63836     1.63793  0.00477666
          42     1.66215     1.63851   0.0046976
          43      1.5977     1.63756  0.00468323
          44     1.56728     1.63596  0.00484155
          45      1.6384     1.63602  0.00473426
          46     1.58019      1.6348  0.00478435
          47     1.57246     1.63348  0.00486295
          48     1.59753     1.63273  0.00481897
          49     1.66673     1.63342  0.00477032
          50     1.63215      1.6334  0.00467498
          51     1.56312     1.63202  0.00478208
          52      1.6354     1.63208  0.00469056
          53     1.59644     1.63141  0.00465002
          54     1.66607     1.63205  0.00460798
          55      1.6736     1.63281   0.0045857
          56     1.60344     1.63228   0.0045337
          57     1.57322     1.63125  0.00457105
          58     1.60741     1.63084  0.00451068
          59     1.65584     1.63126  0.00445409
          60     1.70651     1.63251  0.00455301
          61     1.65609      1.6329  0.00449475
          62     1.62962     1.63285  0.00442257
          63     1.62662     1.63275  0.00435347
          64     1.62219     1.63258  0.00428857
          65     1.66296     1.63305  0.00424797
          66     1.61951     1.63285  0.00418856
          67     1.61906     1.63264   0.0041311
          68     1.58813     1.63199  0.00412188
          69      1.6332       1.632  0.00406218
          70     1.61091      1.6317   0.0040153
          71     1.64533     1.63189  0.00396333
          72     1.63146     1.63189  0.00390829
          73       1.598     1.63142  0.00388223
          74     1.66563     1.63189   0.0038572
          75     1.61083      1.6316  0.00381597
          76     1.62715     1.63155  0.00376621
          77     1.61165     1.63129  0.00372615
          78     1.57649     1.63059  0.00374401
          79     1.66658     1.63104  0.00372424
          80     1.62606     1.63098  0.00367821
          81     1.67645     1.63154  0.00367538
          82     1.61942     1.63139  0.00363353
          83     1.61727     1.63122  0.00359374
          84     1.60823     1.63095  0.00356137
          85     1.57174     1.63025  0.00358694
          86     1.64724     1.63045  0.00355066
          87     1.63044     1.63045  0.00350985
          88     1.61542     1.63028  0.00347411
          89     1.66967     1.63072  0.00346316
          90     1.58451     1.63021  0.00346253
          91     1.63124     1.63022   0.0034245
          92     1.66745     1.63062   0.0034111
          93      1.6311     1.63063  0.00337443
          94      1.6116     1.63043   0.0033446
          95     1.59308     1.63003  0.00333242
          96     1.61144     1.62984  0.00330333
          97     1.62951     1.62984  0.00326928
          98     1.59347     1.62947   0.0032569
          99     1.65443     1.62972  0.00323376
         100      1.6043     1.62946  0.00321139
