#   N_BLOCK:  ACCEPTANCE:
           1    0.999802
           2    0.999703
           3    0.999595
           4    0.999516
           5     0.99945
           6    0.999376
           7    0.999285
           8    0.999207
           9    0.999122
          10    0.999028
          11    0.998943
          12    0.998868
          13      0.9988
          14    0.998744
          15    0.998696
          16    0.998654
          17    0.998628
          18    0.998605
          19    0.998577
          20    0.998546
