# DISTANCE:     AVE_GOFR:        ERROR:
           0           0           0
   0.0256496           0           0
   0.0512993           0           0
   0.0769489           0           0
    0.102599           0           0
    0.128248           0           0
    0.153898           0           0
    0.179547           0           0
    0.205197           0           0
    0.230847           0           0
    0.256496           0           0
    0.282146           0           0
    0.307796           0           0
    0.333445           0           0
    0.359095           0           0
    0.384745           0           0
    0.410394           0           0
    0.436044           0           0
    0.461694           0           0
    0.487343           0           0
    0.512993           0           0
    0.538642           0           0
    0.564292           0           0
    0.589942           0           0
    0.615591           0           0
    0.641241           0           0
    0.666891           0           0
     0.69254           0           0
     0.71819           0           0
     0.74384           0           0
    0.769489           0           0
    0.795139           0           0
    0.820788           0           0
    0.846438           0           0
    0.872088           0           0
    0.897737  0.00265898  0.00111658
    0.923387    0.014923  0.00524053
    0.949037    0.080293   0.0165833
    0.974686    0.261603    0.045825
     1.00034    0.546982   0.0797111
     1.02599    0.862957    0.103489
     1.05164     1.27775    0.144251
     1.07728     1.67881    0.143849
     1.10293     2.16446    0.135195
     1.12858     2.75874    0.119445
     1.15423     3.35839    0.142695
     1.17988     3.75116    0.374248
     1.20553     3.75508    0.469622
     1.23118     3.09715    0.207224
     1.25683     2.40849    0.108851
     1.28248     1.75472   0.0953713
     1.30813     1.37013    0.103373
     1.33378     1.00688    0.098319
     1.35943    0.688297    0.080057
     1.38508    0.463652   0.0618031
     1.41073    0.316452   0.0491827
     1.43638    0.235772    0.040613
     1.46203    0.173289   0.0303419
     1.48768    0.181631   0.0293202
     1.51333    0.197031   0.0256476
     1.53898    0.249074   0.0292531
     1.56463    0.354018   0.0348338
     1.59028    0.459929   0.0353808
     1.61593    0.537504   0.0303099
     1.64158    0.655725     0.03284
     1.66723    0.808542   0.0635121
     1.69288    0.949921     0.13608
     1.71853    0.865118   0.0775909
     1.74418    0.753616    0.027218
     1.76983    0.620189   0.0302167
     1.79547    0.515068   0.0403254
     1.82112    0.445305   0.0448935
     1.84677    0.432036   0.0553597
     1.87242    0.460611   0.0629756
     1.89807     0.54198   0.0710206
     1.92372    0.703071   0.0774312
     1.94937    0.897896   0.0779257
     1.97502     1.15876   0.0736761
     2.00067     1.46403   0.0671214
     2.02632     1.85522   0.0636418
     2.05197     2.20007    0.141216
     2.07762     2.55265    0.346929
     2.10327     2.30455    0.203202
     2.12892     1.94303   0.0836396
     2.15457     1.53933   0.0661795
     2.18022     1.18273   0.0740761
     2.20587    0.932718    0.077251
     2.23152    0.790769    0.079535
     2.25717    0.700763   0.0755687
     2.28282    0.645719   0.0708289
     2.30847    0.666702   0.0566412
     2.33412     0.73507   0.0357827
     2.35977    0.853388    0.023132
     2.38542     0.98046   0.0746831
     2.41107     1.02904    0.119478
     2.43672    0.880208   0.0455078
     2.46237    0.741828   0.0227498
     2.48802     0.69293   0.0399377
     2.51366    0.638244   0.0528031
     2.53931    0.643135   0.0588533
