#     BLOCK:  ACTUAL_PE:     PE_AVE:      ERROR:
           1    -52.6005    -52.6005           0
           2    -52.5464    -52.5734   0.0191494
           3    -52.4682    -52.5384   0.0313505
           4    -52.4345    -52.5124   0.0325343
           5    -52.3932    -52.4886   0.0336494
           6    -52.3335    -52.4627   0.0366456
           7    -52.2498    -52.4323   0.0421852
           8     -52.186    -52.4015   0.0468144
           9    -52.1257    -52.3709   0.0506613
          10    -52.0715    -52.3409   0.0537173
          11    -52.0089    -52.3107    0.056684
          12    -51.9636    -52.2818   0.0588821
          13    -51.9648    -52.2574    0.059186
          14    -51.9665    -52.2366   0.0584938
          15     -51.951    -52.2176   0.0576103
          16    -51.9798    -52.2027   0.0558932
          17    -52.0173    -52.1918   0.0536587
          18    -51.9907    -52.1807   0.0518286
          19    -51.9537    -52.1687   0.0504585
          20    -51.9059    -52.1556   0.0496171
