#     BLOCK:   ACTUAL_T:     T_AVE:       ERROR:
           1         1.1         1.1           0
           2         1.1         1.1           0
           3         1.1         1.1           0
           4         1.1         1.1           0
           5         1.1         1.1           0
           6         1.1         1.1 8.60319e-09
           7         1.1         1.1 7.96501e-09
           8         1.1         1.1 7.45058e-09
           9         1.1         1.1 7.02447e-09
          10         1.1         1.1  8.1617e-09
          11         1.1         1.1 7.78188e-09
          12         1.1         1.1 7.45058e-09
          13         1.1         1.1 7.15829e-09
          14         1.1         1.1  6.8979e-09
          15         1.1         1.1 5.44113e-09
          16         1.1         1.1 5.26836e-09
          17         1.1         1.1 5.11106e-09
          18         1.1         1.1 3.51224e-09
          19         1.1         1.1 3.41856e-09
          20         1.1         1.1   3.332e-09
