#     BLOCK:   ACTUAL_TE:    TE_AVE:      ERROR:
           1    -50.9505    -50.9505           0
           2    -50.8964    -50.9234   0.0191494
           3    -50.8182    -50.8884   0.0313505
           4    -50.7845    -50.8624   0.0325343
           5    -50.7432    -50.8386   0.0336494
           6    -50.6835    -50.8127   0.0366456
           7    -50.5998    -50.7823   0.0421852
           8     -50.536    -50.7515   0.0468144
           9    -50.4757    -50.7209   0.0506613
          10    -50.4215    -50.6909   0.0537173
          11    -50.3589    -50.6607    0.056684
          12    -50.3136    -50.6318   0.0588821
          13    -50.3148    -50.6074    0.059186
          14    -50.3165    -50.5866   0.0584938
          15     -50.301    -50.5676   0.0576103
          16    -50.3298    -50.5527   0.0558932
          17    -50.3673    -50.5418   0.0536587
          18    -50.3407    -50.5307   0.0518286
          19    -50.3037    -50.5187   0.0504585
          20    -50.2559    -50.5056   0.0496171
