# DISTANCE:     AVE_GOFR:        ERROR:
           0           0           0
    0.064633           0           0
    0.129266           0           0
    0.193899           0           0
    0.258532           0           0
    0.323165           0           0
    0.387798           0           0
    0.452431           0           0
    0.517064           0           0
    0.581697           0           0
     0.64633           0           0
    0.710963           0           0
    0.775596           0           0
     0.84023 0.000628617 0.000101291
    0.904863    0.121987  0.00126845
    0.969496     1.11349  0.00634615
     1.03413     2.32255   0.0122809
     1.09876     2.60502  0.00954833
     1.16339      2.3628  0.00861842
     1.22803     2.03666  0.00690298
     1.29266      1.7584   0.0064891
     1.35729     1.55934  0.00554929
     1.42193       1.421  0.00438693
     1.48656     1.31183  0.00360162
     1.55119     1.24483   0.0034934
     1.61583     1.19002  0.00330325
     1.68046     1.15641  0.00333727
     1.74509     1.12501  0.00303465
     1.80973     1.10747  0.00279005
     1.87436     1.09581  0.00308982
     1.93899      1.0906  0.00229686
     2.00362     1.09324  0.00285399
     2.06826     1.08601  0.00256924
     2.13289     1.08007  0.00287958
     2.19752     1.07789  0.00250791
     2.26216     1.06963  0.00267842
     2.32679     1.06394  0.00179769
     2.39142     1.05442  0.00145797
     2.45606     1.04416  0.00189056
     2.52069     1.03708  0.00218481
     2.58532     1.03024  0.00167984
     2.64995     1.02334  0.00183274
     2.71459     1.02438  0.00205329
     2.77922     1.01778  0.00173142
     2.84385     1.01168  0.00180621
     2.90849     1.01233  0.00173296
     2.97312     1.00988  0.00145504
     3.03775     1.00949  0.00145315
     3.10239     1.00593  0.00210593
     3.16702     1.00422  0.00122353
     3.23165     1.00121  0.00117404
     3.29629    0.998003  0.00188243
     3.36092    0.998526  0.00138569
     3.42555    0.998577  0.00143343
     3.49018    0.997889  0.00100694
     3.55482    0.995658  0.00135974
     3.61945    0.994707  0.00151669
     3.68408    0.991886  0.00131379
     3.74872    0.991868  0.00142956
     3.81335    0.990525  0.00126613
     3.87798     0.99052  0.00113591
     3.94262     0.99167   0.0014231
     4.00725    0.990572  0.00134273
     4.07188    0.988942  0.00101352
     4.13651    0.988633  0.00115678
     4.20115    0.987102  0.00118928
     4.26578    0.989548  0.00114668
     4.33041    0.985678 0.000618332
     4.39505    0.986707 0.000959898
     4.45968    0.985286  0.00105178
     4.52431    0.986294  0.00118635
     4.58895    0.986202  0.00103923
     4.65358    0.986102  0.00115318
     4.71821    0.988186 0.000995127
     4.78285    0.983857 0.000854535
     4.84748    0.986455  0.00114857
     4.91211    0.984454 0.000927418
     4.97674    0.985508  0.00078419
     5.04138    0.984699  0.00113995
     5.10601    0.983816   0.0008794
     5.17064    0.984131 0.000783399
     5.23528    0.984023 0.000724961
     5.29991    0.983658 0.000950657
     5.36454    0.984782 0.000666927
     5.42918    0.984355 0.000908377
     5.49381    0.984244 0.000810893
     5.55844    0.981818 0.000847137
     5.62307    0.983083 0.000972198
     5.68771    0.982442 0.000777674
     5.75234    0.983458 0.000580451
     5.81697    0.983529  0.00078258
     5.88161    0.982989  0.00059489
     5.94624    0.984701 0.000650676
     6.01087    0.983535 0.000997403
     6.07551    0.983997 0.000786339
     6.14014    0.982659  0.00070733
     6.20477    0.982308  0.00070888
      6.2694    0.983855  0.00074935
     6.33404     0.98478 0.000780998
     6.39867    0.983156 0.000887327
