# DISTANCE:     AVE_GOFR:        ERROR:
           0           0           0
    0.064633           0           0
    0.129266           0           0
    0.193899           0           0
    0.258532           0           0
    0.323165           0           0
    0.387798           0           0
    0.452431           0           0
    0.517064           0           0
    0.581697           0           0
     0.64633           0           0
    0.710963           0           0
    0.775596           0           0
     0.84023  0.00125723  0.00019557
    0.904863    0.155751  0.00351337
    0.969496     1.04629   0.0120277
     1.03413     1.98095   0.0184546
     1.09876      2.1908   0.0246346
     1.16339     2.02564   0.0207576
     1.22803      1.7881   0.0174369
     1.29266     1.56679   0.0149603
     1.35729     1.42695   0.0132347
     1.42193      1.3173   0.0116386
     1.48656     1.24483   0.0107438
     1.55119      1.1812  0.00999713
     1.61583     1.13123  0.00967139
     1.68046     1.10538  0.00967747
     1.74509     1.08698  0.00924431
     1.80973     1.06398  0.00874014
     1.87436     1.05819  0.00875079
     1.93899     1.04496  0.00729209
     2.00362     1.04957  0.00757019
     2.06826      1.0427  0.00652957
     2.13289     1.02836  0.00655271
     2.19752     1.02497  0.00676333
     2.26216     1.03236  0.00667937
     2.32679     1.03295  0.00715019
     2.39142      1.0196  0.00633776
     2.45606     1.01383  0.00593522
     2.52069     1.00235  0.00584849
     2.58532     1.00259  0.00583096
     2.64995     1.00466  0.00566091
     2.71459    0.999701  0.00518756
     2.77922     1.00004   0.0051272
     2.84385    0.994511   0.0049613
     2.90849    0.994881  0.00512842
     2.97312    0.993031  0.00490857
     3.03775    0.994341  0.00459639
     3.10239    0.991089  0.00452019
     3.16702    0.992941  0.00466698
     3.23165    0.993569  0.00479248
     3.29629    0.992984  0.00492059
     3.36092    0.987861  0.00429561
     3.42555    0.989016  0.00421395
     3.49018    0.983957  0.00421496
     3.55482    0.988505  0.00407509
     3.61945    0.989504  0.00383906
     3.68408    0.987653  0.00357963
     3.74872    0.980756  0.00376229
     3.81335    0.988586  0.00356362
     3.87798    0.987545  0.00361989
     3.94262    0.988687  0.00383687
     4.00725    0.984519  0.00342669
     4.07188    0.985458  0.00360804
     4.13651    0.984721  0.00332546
     4.20115    0.977976  0.00341594
     4.26578    0.981845  0.00330761
     4.33041    0.988464  0.00320086
     4.39505    0.986071  0.00300568
     4.45968    0.985047  0.00300743
     4.52431    0.988033  0.00314283
     4.58895    0.986341  0.00285041
     4.65358    0.985179  0.00277686
     4.71821    0.987157  0.00262334
     4.78285    0.987634    0.002635
     4.84748    0.982783  0.00270282
     4.91211    0.985187  0.00272159
     4.97674    0.986386  0.00281442
     5.04138    0.986536   0.0028501
     5.10601    0.986541  0.00295047
     5.17064    0.989129  0.00286695
     5.23528    0.987256  0.00276882
     5.29991    0.984671  0.00265752
     5.36454    0.987231  0.00253731
     5.42918    0.987495  0.00246464
     5.49381    0.986834  0.00241039
     5.55844     0.98661  0.00236625
     5.62307    0.983204  0.00243911
     5.68771    0.988514  0.00244112
     5.75234    0.986655  0.00252084
     5.81697    0.985046  0.00216549
     5.88161    0.988713  0.00227822
     5.94624    0.990614   0.0021795
     6.01087    0.989973  0.00239374
     6.07551    0.990691  0.00225899
     6.14014    0.992029   0.0019298
     6.20477    0.987954  0.00208637
      6.2694    0.988196  0.00205679
     6.33404    0.987413  0.00224793
     6.39867    0.987446  0.00184887
