# DISTANCE:     AVE_GOFR:        ERROR:
           0           0           0
    0.064633           0           0
    0.129266           0           0
    0.193899           0           0
    0.258532           0           0
    0.323165           0           0
    0.387798           0           0
    0.452431           0           0
    0.517064           0           0
    0.581697           0           0
     0.64633           0           0
    0.710963           0           0
    0.775596           0           0
     0.84023  0.00101776 6.48956e-05
    0.904863    0.148466 0.000857613
    0.969496     1.06541  0.00247408
     1.03413      2.0414  0.00424633
     1.09876     2.26092  0.00473898
     1.16339     2.08973  0.00353882
     1.22803     1.83108  0.00291663
     1.29266     1.61649  0.00233188
     1.35729     1.45145  0.00200948
     1.42193     1.33414  0.00152602
     1.48656     1.24779  0.00170587
     1.55119     1.18686  0.00135572
     1.61583     1.14094  0.00162649
     1.68046     1.10924  0.00133044
     1.74509      1.0887  0.00135068
     1.80973     1.07429  0.00113049
     1.87436     1.06548  0.00129091
     1.93899     1.06109  0.00110078
     2.00362     1.05716  0.00124269
     2.06826     1.05629  0.00104656
     2.13289     1.05004 0.000983921
     2.19752     1.04818  0.00102526
     2.26216     1.04382  0.00102324
     2.32679     1.03567  0.00107027
     2.39142     1.03198 0.000906172
     2.45606     1.02638 0.000848686
     2.52069     1.01995 0.000781972
     2.58532     1.01596 0.000877288
     2.64995     1.01267 0.000753974
     2.71459     1.00906 0.000769234
     2.77922     1.00702  0.00073885
     2.84385     1.00609 0.000696258
     2.90849     1.00331 0.000661527
     2.97312     1.00029 0.000655578
     3.03775     0.99931 0.000699652
     3.10239    0.998534  0.00057542
     3.16702    0.998067 0.000576244
     3.23165    0.996428 0.000602682
     3.29629     0.99592 0.000628435
     3.36092    0.995313 0.000606436
     3.42555    0.994289 0.000595739
     3.49018     0.99358 0.000605157
     3.55482    0.992351   0.0005476
     3.61945    0.991606 0.000559648
     3.68408    0.990852 0.000540652
     3.74872    0.990928 0.000550169
     3.81335    0.991051 0.000556998
     3.87798    0.989824 0.000560606
     3.94262    0.988886 0.000498989
     4.00725    0.988718 0.000545852
     4.07188    0.989417 0.000459044
     4.13651    0.988332  0.00052162
     4.20115    0.988751  0.00050924
     4.26578    0.987774 0.000468749
     4.33041    0.987839  0.00044452
     4.39505    0.987599 0.000483192
     4.45968    0.987851 0.000438298
     4.52431    0.988206 0.000423713
     4.58895     0.98713 0.000459469
     4.65358    0.987378 0.000474744
     4.71821    0.987044 0.000437363
     4.78285    0.986876  0.00053572
     4.84748     0.98742 0.000383676
     4.91211    0.986933 0.000452979
     4.97674    0.986796 0.000447355
     5.04138    0.986296 0.000402184
     5.10601    0.985942 0.000333026
     5.17064    0.986872 0.000407533
     5.23528    0.986492 0.000381341
     5.29991    0.986495 0.000353044
     5.36454    0.986436 0.000385982
     5.42918    0.986345 0.000387309
     5.49381     0.98572  0.00041139
     5.55844    0.986131 0.000367269
     5.62307    0.985785 0.000330629
     5.68771    0.985722 0.000349573
     5.75234    0.985815 0.000327492
     5.81697    0.986004  0.00031646
     5.88161    0.985848 0.000343475
     5.94624    0.986322 0.000339092
     6.01087    0.985873 0.000354843
     6.07551    0.986548 0.000312779
     6.14014     0.98612 0.000336751
     6.20477    0.986159 0.000339742
      6.2694    0.985882 0.000355757
     6.33404    0.984982  0.00031491
     6.39867    0.986307 0.000294665
