#     BLOCK:   ACTUAL_KE:    KE_AVE:      ERROR:
           1     1.78275     1.78275           0
           2     1.78804     1.78539  0.00187012
           3     1.78612     1.78564  0.00126238
           4     1.74527     1.77554   0.0087917
           5     1.77894     1.77622  0.00705956
           6     1.75023     1.77189  0.00708887
           7     1.77062     1.77171   0.0060785
           8     1.78827     1.77378  0.00566013
           9     1.79144     1.77574  0.00536067
          10     1.76252     1.77442  0.00498498
          11     1.83073     1.77954  0.00666013
          12     1.83261     1.78396  0.00742963
          13     1.74049     1.78062  0.00757326
          14     1.80419      1.7823  0.00721709
          15     1.78155     1.78225  0.00673612
          16     1.79295     1.78292   0.0063482
          17     1.77501     1.78245  0.00599181
          18     1.81684     1.78436  0.00595569
          19      1.7978     1.78507  0.00568404
          20     1.90623     1.79113  0.00800154
          21     1.88578     1.79564  0.00879885
          22     1.86681     1.79887  0.00897396
          23     1.83079     1.80026  0.00869042
          24     1.87357     1.80331  0.00884891
          25     1.87782     1.80629  0.00898275
          26     1.83399     1.80736   0.0087002
          27     1.80718     1.80735  0.00837798
          28     1.87907     1.80991  0.00846121
          29     1.86959     1.81197  0.00841594
          30     1.80171     1.81163  0.00814236
          31       1.839     1.81251  0.00792742
          32     1.83663     1.81327  0.00771542
          33     1.84808     1.81432  0.00755339
          34     1.82238     1.81456  0.00733495
          35     1.82396     1.81483   0.0071303
          36     1.78348     1.81396  0.00698521
          37     1.79236     1.81337  0.00682076
          38     1.84578     1.81422  0.00669437
          39     1.76607     1.81299  0.00663562
          40     1.79295     1.81249  0.00648861
          41     1.81001     1.81243  0.00633063
          42     1.81115      1.8124  0.00617998
          43     1.80634     1.81226  0.00603786
          44     1.81184     1.81225  0.00590065
          45     1.81156     1.81223  0.00576954
          46     1.80585     1.81209  0.00564579
          47      1.7716     1.81123  0.00559101
          48     1.76644      1.8103  0.00555185
          49     1.78405     1.80976  0.00546434
          50     1.83219     1.81021  0.00537344
          51     1.82233     1.81045  0.00527333
          52     1.77954     1.80985  0.00520532
          53     1.74204     1.80858    0.005262
          54      1.7658     1.80778  0.00522385
          55     1.80001     1.80764  0.00513078
          56     1.83047     1.80805  0.00505533
          57     1.83261     1.80848  0.00498497
          58     1.87493     1.80963  0.00502894
          59     1.83282     1.81002  0.00495905
          60      1.8178     1.81015  0.00487809
          61     1.82435     1.81038  0.00480368
          62     1.84474     1.81094  0.00475806
          63      1.8338      1.8113  0.00469635
          64      1.7907     1.81098  0.00463399
          65     1.82132     1.81114  0.00456543
          66     1.84214     1.81161  0.00452035
          67     1.87327     1.81253  0.00454562
          68     1.80157     1.81237  0.00448163
          69     1.82161      1.8125  0.00441868
          70     1.82686      1.8127  0.00436032
          71     1.84566     1.81317  0.00432355
          72     1.80759     1.81309  0.00426419
          73     1.77316     1.81254  0.00424072
          74     1.80984     1.81251  0.00418357
          75     1.80603     1.81242  0.00412868
          76     1.80984     1.81239   0.0040745
          77     1.78618     1.81205  0.00403577
          78     1.81549     1.81209  0.00398427
          79     1.78395     1.81173  0.00394972
          80      1.7023     1.81037  0.00413045
          81     1.75012     1.80962  0.00414588
          82     1.75145     1.80891  0.00415559
          83     1.77172     1.80847  0.00412961
          84     1.81158      1.8085  0.00408061
          85     1.82366     1.80868   0.0040365
          86     1.82662     1.80889  0.00399495
          87      1.7895     1.80867  0.00395524
          88     1.79293     1.80849  0.00391434
          89     1.81514     1.80856  0.00387107
          90     1.83225     1.80883  0.00383699
          91     1.84182     1.80919  0.00381192
          92     1.84954     1.80963  0.00379564
          93     1.86395     1.81021  0.00379951
          94     1.77531     1.80984  0.00377718
          95     1.82298     1.80998  0.00373996
          96     1.80767     1.80995  0.00370108
          97      1.8322     1.81018  0.00367002
          98     1.82174      1.8103  0.00363447
          99     1.84586     1.81066  0.00361546
         100      1.8431     1.81099  0.00359383
         101     1.84106     1.81128  0.00357056
         102     1.80256      1.8112  0.00353658
         103     1.78547     1.81095  0.00351106
         104     1.85799      1.8114  0.00350631
         105     1.78164     1.81112  0.00348435
         106     1.82788     1.81127  0.00345506
         107     1.80106     1.81118  0.00342409
         108     1.80247      1.8111  0.00339334
         109     1.83728     1.81134   0.0033707
         110     1.85567     1.81174  0.00336406
         111     1.81643     1.81178  0.00333402
         112     1.80056     1.81168  0.00330576
         113     1.79346     1.81152  0.00328044
         114     1.76458     1.81111   0.0032774
         115     1.82871     1.81126  0.00325247
         116     1.86707     1.81174  0.00325981
         117     1.89908     1.81249  0.00331633
         118     1.83921     1.81272  0.00329595
         119     1.80414     1.81265  0.00326904
         120     1.82333     1.81273  0.00324301
         121      1.8118     1.81273  0.00321621
         122     1.77741     1.81244  0.00320285
