#     BLOCK:   ACTUAL_KE:    KE_AVE:      ERROR:
           1         1.8         1.8           0
           2         1.8         1.8           0
           3         1.8         1.8           0
           4         1.8         1.8           0
           5         1.8         1.8  1.3328e-08
           6         1.8         1.8 1.21667e-08
           7         1.8         1.8 1.78103e-08
           8         1.8         1.8   1.666e-08
           9         1.8         1.8 1.57072e-08
          10         1.8         1.8 1.49012e-08
          11         1.8         1.8 1.79715e-08
          12         1.8         1.8 1.72064e-08
          13         1.8         1.8 1.65314e-08
          14         1.8         1.8   1.593e-08
          15         1.8         1.8 1.53899e-08
          16         1.8         1.8 1.49012e-08
          17         1.8         1.8 1.44562e-08
          18         1.8         1.8 1.21667e-08
          19         1.8         1.8 1.18422e-08
          20         1.8         1.8 1.05367e-08
          21         1.8         1.8 1.02828e-08
          22         1.8         1.8 1.10052e-08
          23         1.8         1.8 1.07633e-08
          24         1.8         1.8 9.61866e-09
          25         1.8         1.8 9.42432e-09
          26         1.8         1.8 8.26568e-09
          27         1.8         1.8 8.11116e-09
          28         1.8         1.8  6.8979e-09
          29         1.8         1.8 6.77792e-09
          30         1.8         1.8   6.664e-09
          31         1.8         1.8 5.35266e-09
          32         1.8         1.8 5.26836e-09
          33         1.8         1.8 5.18792e-09
          34         1.8         1.8 3.61406e-09
          35         1.8         1.8 3.56206e-09
          36         1.8         1.8 3.51224e-09
          37         1.8         1.8  6.0006e-09
          38         1.8         1.8 5.92112e-09
          39         1.8         1.8  7.5455e-09
          40         1.8         1.8  8.1617e-09
          41         1.8         1.8 7.35916e-09
          42         1.8         1.8 8.60319e-09
          43         1.8         1.8 9.08962e-09
          44         1.8         1.8 8.98574e-09
          45         1.8         1.8 9.42432e-09
          46         1.8         1.8 9.32132e-09
          47         1.8         1.8 9.22162e-09
          48         1.8         1.8 9.12506e-09
          49         1.8         1.8 9.98466e-09
          50         1.8         1.8 9.42432e-09
          51         1.8         1.8 1.02221e-08
          52         1.8         1.8 9.69237e-09
          53         1.8         1.8 9.60049e-09
          54         1.8         1.8 1.03397e-08
          55         1.8         1.8 9.84338e-09
          56         1.8         1.8 1.05367e-08
          57         1.8         1.8 1.04439e-08
          58         1.8         1.8 1.03535e-08
          59         1.8         1.8 1.02653e-08
          60         1.8         1.8 1.01794e-08
          61         1.8         1.8 1.00956e-08
          62         1.8         1.8 9.64964e-09
          63         1.8         1.8 1.02828e-08
          64         1.8         1.8 1.02021e-08
          65         1.8         1.8 1.01233e-08
          66         1.8         1.8 1.06952e-08
          67         1.8         1.8 1.02981e-08
          68         1.8         1.8 1.02221e-08
          69         1.8         1.8 1.01478e-08
          70         1.8         1.8  1.0075e-08
          71         1.8         1.8 1.06107e-08
          72         1.8         1.8 9.61866e-09
          73         1.8         1.8 8.89294e-09
          74         1.8         1.8 8.83265e-09
          75         1.8         1.8 8.07051e-09
          76         1.8         1.8 7.64413e-09
          77         1.8         1.8 7.20462e-09
          78         1.8         1.8 6.31302e-09
          79         1.8         1.8 6.27293e-09
          80         1.8         1.8 5.77119e-09
          81         1.8         1.8 5.73546e-09
          82         1.8         1.8 5.20371e-09
          83         1.8         1.8 5.66594e-09
          84         1.8         1.8  4.5986e-09
          85         1.8         1.8 5.11106e-09
          86         1.8         1.8 4.54481e-09
          87         1.8         1.8 5.05197e-09
          88         1.8         1.8 3.89094e-09
          89         1.8         1.8 4.46756e-09
          90         1.8         1.8 3.14144e-09
          91         1.8         1.8 3.82626e-09
          92         1.8         1.8 3.80541e-09
          93         1.8         1.8 3.09036e-09
          94         1.8         1.8 3.07387e-09
          95         1.8         1.8 2.16209e-09
          96         1.8         1.8  2.1508e-09
          97         1.8         1.8 3.02597e-09
          98         1.8         1.8 2.12874e-09
          99         1.8         1.8 2.99525e-09
         100         1.8         1.8 2.98023e-09
