#     BLOCK:  ACTUAL_PE:     PE_AVE:      ERROR:
           1   -0.808945   -0.808945           0
           2   -0.810784   -0.809865 0.000650026
           3   -0.807675   -0.809135 0.000736897
           4   -0.808684   -0.809022  0.00056123
           5   -0.813558   -0.809929 0.000927371
           6    -0.81075   -0.810066 0.000782829
           7   -0.804676   -0.809296 0.000979012
           8   -0.812117   -0.809649 0.000917933
           9   -0.813033   -0.810025 0.000889661
          10   -0.813763   -0.810398 0.000875707
          11   -0.811039   -0.810457 0.000798031
          12   -0.814724   -0.810812 0.000806886
          13   -0.812672   -0.810955 0.000757394
          14   -0.810714   -0.810938 0.000703491
          15    -0.81452   -0.811177  0.00069595
          16   -0.815586   -0.811452 0.000704911
          17   -0.809334   -0.811328 0.000674374
          18    -0.81177   -0.811352 0.000637355
          19    -0.81284   -0.811431 0.000608597
          20   -0.813458   -0.811532 0.000586552
