#     BLOCK:  ACTUAL_PE:     PE_AVE:      ERROR:
           1   -0.104752   -0.104752           0
           2   -0.285762   -0.195257   0.0639968
           3   -0.368079   -0.252864   0.0635032
           4   -0.360102   -0.279674   0.0529852
           5   -0.363302   -0.296399   0.0449505
           6   -0.367961   -0.308326    0.039009
           7   -0.376515   -0.318068   0.0346313
           8    -0.36617    -0.32408   0.0308199
           9   -0.433708   -0.336261   0.0297052
          10   -0.441748    -0.34681   0.0285463
          11    -0.46563   -0.357612   0.0279202
          12   -0.411434   -0.362097   0.0259512
          13   -0.390923   -0.364314   0.0240495
          14   -0.393694   -0.366413   0.0224231
          15    -0.37218   -0.366797   0.0209315
          16   -0.358485   -0.366278   0.0196297
          17   -0.360552   -0.365941   0.0184779
          18   -0.380297   -0.366739   0.0174686
          19   -0.354479   -0.366093   0.0165611
          20   -0.383391   -0.366958   0.0157556
