#     BLOCK:  ACTUAL_PE:     PE_AVE:      ERROR:
           1   -0.409541   -0.409541           0
           2   -0.416968   -0.413254  0.00262596
           3   -0.410395   -0.412301  0.00191578
           4   -0.411575    -0.41212  0.00144541
           5   -0.417155   -0.413127  0.00146579
           6   -0.410989   -0.412771  0.00126404
           7    -0.41364   -0.412895  0.00108954
           8   -0.412492   -0.412845 0.000954513
           9   -0.413614    -0.41293  0.00085228
          10   -0.411802   -0.412817 0.000774479
          11    -0.41116   -0.412667 0.000718571
          12   -0.417135   -0.413039 0.000748962
          13    -0.41399   -0.413112 0.000694914
          14   -0.415466    -0.41328 0.000665311
          15   -0.414907   -0.413389 0.000629736
          16    -0.41871   -0.413721 0.000672491
          17   -0.417233   -0.413928 0.000663908
          18   -0.410872   -0.413758 0.000648375
          19   -0.414104   -0.413776 0.000614506
          20   -0.411524   -0.413664 0.000594008
          21   -0.416126   -0.413781 0.000577181
          22   -0.410216   -0.413619 0.000573238
          23   -0.415036   -0.413681 0.000551614
          24   -0.411095   -0.413573 0.000539048
          25   -0.414479   -0.413609 0.000518703
          26   -0.411218   -0.413517 0.000506837
          27   -0.414126    -0.41354 0.000488568
          28     -0.4141    -0.41356 0.000471528
          29   -0.410495   -0.413454 0.000466957
          30   -0.419344    -0.41365  0.00049093
          31   -0.410455   -0.413547 0.000485794
          32   -0.412538   -0.413516 0.000471636
          33    -0.41859    -0.41367 0.000481763
          34   -0.418663   -0.413816 0.000489468
          35   -0.416879   -0.413904 0.000483243
          36   -0.412816   -0.413874 0.000470764
          37   -0.418067   -0.413987 0.000471488
          38    -0.41285   -0.413957 0.000460028
          39   -0.418719   -0.414079 0.000464155
          40   -0.417575   -0.414167 0.000460705
          41   -0.416309   -0.414219 0.000452421
          42   -0.418071   -0.414311 0.000450848
          43   -0.412962   -0.414279 0.000441452
          44   -0.416291   -0.414325 0.000433781
          45    -0.41333   -0.414303 0.000424704
          46   -0.414518   -0.414307 0.000415498
          47   -0.414837   -0.414319  0.00040681
          48   -0.413599   -0.414304 0.000398611
          49   -0.411292   -0.414242 0.000395186
          50   -0.414976   -0.414257 0.000387554
          51   -0.408398   -0.414142 0.000396615
          52   -0.414958   -0.414158 0.000389299
          53   -0.411539   -0.414108 0.000385076
          54   -0.411211   -0.414055 0.000381665
          55   -0.412695    -0.41403 0.000375525
          56    -0.41376   -0.414025  0.00036885
          57   -0.418135   -0.414097 0.000369359
          58   -0.415228   -0.414117 0.000363505
          59   -0.417075   -0.414167 0.000360785
          60   -0.411798   -0.414127 0.000356925
          61   -0.416697    -0.41417  0.00035355
          62   -0.411265   -0.414123 0.000350937
          63   -0.411736   -0.414085 0.000347405
          64   -0.415532   -0.414107 0.000342712
          65   -0.415496   -0.414129 0.000338105
          66   -0.415268   -0.414146 0.000333423
          67   -0.408796   -0.414066 0.000337872
          68   -0.413944   -0.414064 0.000332908
          69   -0.412194   -0.414037 0.000329186
          70   -0.413064   -0.414023 0.000324777
          71   -0.416841   -0.414063 0.000322618
          72   -0.409834   -0.414004 0.000323439
          73   -0.416717   -0.414042 0.000321136
          74   -0.411275   -0.414004 0.000318965
          75   -0.416681    -0.41404 0.000316702
          76   -0.415091   -0.414054 0.000312837
          77   -0.409412   -0.413993 0.000314528
          78   -0.417185   -0.414034 0.000313146
          79   -0.415815   -0.414057 0.000309992
          80   -0.413761   -0.414053 0.000306139
          81   -0.411587   -0.414023  0.00030387
          82   -0.413636   -0.414018 0.000300201
          83   -0.410341   -0.413974 0.000299834
          84   -0.417145   -0.414011 0.000298633
          85   -0.418403   -0.414063 0.000299554
          86   -0.414078   -0.414063 0.000296071
          87   -0.414439   -0.414068 0.000292699
          88   -0.409211   -0.414012 0.000294529
          89   -0.410877   -0.413977  0.00029332
          90   -0.415877   -0.413998 0.000290819
          91   -0.411946   -0.413976 0.000288496
          92   -0.411499   -0.413949 0.000286614
          93   -0.414319   -0.413953 0.000283559
          94   -0.415916   -0.413974 0.000281311
          95   -0.413247   -0.413966 0.000278454
          96   -0.414566   -0.413972 0.000275624
          97   -0.413796    -0.41397 0.000272788
          98   -0.412467   -0.413955 0.000270436
          99   -0.414936   -0.413965 0.000267886
         100   -0.417141   -0.413997 0.000267083
