#     BLOCK:   ACTUAL_P:     P_AVE:       ERROR:
           1   0.0492843   0.0492843           0
           2   0.0482265   0.0487554 0.000373992
           3   0.0514064   0.0496391  0.00076338
           4   0.0500661   0.0497458 0.000579951
           5   0.0502223   0.0498411 0.000471725
           6   0.0494152   0.0497701 0.000398407
           7    0.048891   0.0496445 0.000360744
           8    0.047778   0.0494112 0.000383754
           9   0.0508046    0.049566 0.000371035
          10   0.0459146   0.0492009 0.000481152
          11   0.0521544   0.0494694  0.00050682
          12   0.0523774   0.0497117 0.000519297
          13     0.04787   0.0495701 0.000498301
          14   0.0535857   0.0498569 0.000538975
          15   0.0506904   0.0499124 0.000505899
          16   0.0495926   0.0498925 0.000474675
          17   0.0470306   0.0497241 0.000475669
          18   0.0493408   0.0497028 0.000449719
          19   0.0468706   0.0495538 0.000450076
          20   0.0526024   0.0497062 0.000452649
          21   0.0505333   0.0497456 0.000432804
          22    0.050173    0.049765 0.000413567
          23   0.0494255   0.0497502 0.000395849
          24   0.0512498   0.0498127 0.000384255
          25   0.0497303   0.0498094 0.000368899
          26   0.0530624   0.0499345 0.000375328
          27   0.0507522   0.0499648 0.000362647
          28   0.0546984   0.0501339   0.0003871
          29   0.0514463   0.0501791 0.000376388
          30   0.0473172   0.0500837 0.000375736
          31   0.0515672   0.0501316  0.00036665
          32   0.0492843   0.0501051 0.000356147
          33   0.0493375   0.0500819 0.000346114
          34   0.0513135   0.0501181 0.000337824
          35    0.049803   0.0501091 0.000328292
          36   0.0499277    0.050104 0.000319211
          37   0.0482175   0.0500531  0.00031463
          38   0.0519762   0.0501037 0.000310394
          39   0.0488067   0.0500704 0.000304211
          40   0.0492671   0.0500503 0.000297268
          41   0.0525633   0.0501116 0.000296269
          42   0.0483893   0.0500706 0.000292039
          43   0.0491995   0.0500504 0.000285949
          44   0.0452595   0.0499415 0.000299464
          45   0.0477871   0.0498936 0.000296612
          46   0.0485058   0.0498634 0.000291694
          47   0.0521617   0.0499123 0.000289557
          48   0.0492538   0.0498986  0.00028385
          49   0.0484168   0.0498684 0.000279663
          50   0.0509853   0.0498907 0.000274961
          51   0.0515236   0.0499227 0.000271427
          52   0.0471335   0.0498691 0.000271455
          53   0.0489379   0.0498515 0.000266902
          54   0.0515848   0.0498836 0.000263882
          55   0.0487764   0.0498635 0.000259851
          56   0.0509354   0.0498826 0.000255915
          57   0.0516964   0.0499144 0.000253396
          58   0.0509479   0.0499323 0.000249652
          59   0.0508712   0.0499482 0.000245928
          60   0.0516741   0.0499769 0.000243505
          61   0.0484935   0.0499526 0.000240725
          62   0.0499082   0.0499519 0.000236843
          63   0.0496503   0.0499471 0.000233132
          64   0.0495694   0.0499412 0.000229564
          65   0.0526704   0.0499832  0.00022984
          66   0.0504056   0.0499896 0.000226447
          67   0.0530611   0.0500354  0.00022766
          68   0.0491059   0.0500218 0.000224722
          69   0.0508873   0.0500343 0.000221815
          70   0.0494932   0.0500266 0.000218781
          71   0.0559989   0.0501107 0.000231306
          72   0.0480471    0.050082 0.000229862
