#     BLOCK:   ACTUAL_P:     P_AVE:       ERROR:
           1   0.0488903   0.0488903           0
           2   0.0491174   0.0490039 8.02942e-05
           3   0.0488928   0.0489669 6.14759e-05
           4   0.0492045   0.0490263 6.90813e-05
           5   0.0490991   0.0490408  5.6778e-05
           6   0.0491172   0.0490536 4.87215e-05
           7   0.0486643    0.048998 6.62891e-05
           8   0.0495663    0.049069  8.8205e-05
           9   0.0483557   0.0489897 0.000108306
          10   0.0494127    0.049032  0.00010541
          11   0.0489109    0.049021 9.64004e-05
          12   0.0489046   0.0490113 8.88537e-05
          13   0.0494623    0.049046 8.85328e-05
          14   0.0491299    0.049052 8.24115e-05
          15   0.0488365   0.0490376 7.81601e-05
          16   0.0488607   0.0490266 7.40529e-05
          17   0.0491696    0.049035 7.01731e-05
          18   0.0487147   0.0490172 6.84942e-05
          19    0.049235   0.0490287 6.58412e-05
          20   0.0491829   0.0490364 6.29993e-05
          21   0.0491171   0.0490402 6.01164e-05
          22   0.0489342   0.0490354 5.75766e-05
          23    0.049337   0.0490485 5.65468e-05
          24   0.0493523   0.0490612 5.55897e-05
          25   0.0490472   0.0490606 5.33689e-05
          26   0.0486831   0.0490461 5.32546e-05
          27   0.0491927   0.0490515 5.15582e-05
          28   0.0485961   0.0490353 5.22191e-05
          29   0.0490043   0.0490342 5.04293e-05
          30   0.0491036   0.0490365 4.88015e-05
          31   0.0490295   0.0490363 4.72278e-05
          32   0.0490233   0.0490359 4.57536e-05
          33   0.0489565   0.0490335 4.44303e-05
          34   0.0492877   0.0490409 4.37481e-05
          35   0.0489644   0.0490388 4.25529e-05
          36   0.0490801   0.0490399 4.13863e-05
          37   0.0490803    0.049041 4.02821e-05
          38   0.0490778    0.049042 3.92337e-05
          39   0.0490729   0.0490428 3.82358e-05
          40   0.0489621   0.0490407  3.7333e-05
          41   0.0488356   0.0490357 3.67561e-05
          42   0.0490923   0.0490371 3.59056e-05
          43   0.0491606     0.04904 3.51853e-05
          44   0.0498685   0.0490588 3.91011e-05
          45   0.0493901   0.0490661 3.89189e-05
          46   0.0493429   0.0490722  3.8535e-05
          47   0.0484125   0.0490581   4.019e-05
          48    0.048942   0.0490557 3.94254e-05
          49   0.0491109   0.0490568 3.86369e-05
          50   0.0488845   0.0490534 3.80175e-05
          51   0.0494487   0.0490611 3.80541e-05
          52    0.048918   0.0490584 3.74217e-05
          53   0.0487816   0.0490532 3.70783e-05
          54   0.0493689    0.049059 3.68498e-05
          55   0.0489827   0.0490576 3.62059e-05
          56   0.0494071   0.0490639 3.60932e-05
          57   0.0490755   0.0490641 3.54605e-05
          58   0.0483967   0.0490526 3.66685e-05
          59   0.0493094   0.0490569 3.63045e-05
          60   0.0492722   0.0490605 3.58763e-05
          61   0.0488362   0.0490568 3.54761e-05
          62   0.0491507   0.0490583 3.49362e-05
          63   0.0487525   0.0490535 3.47173e-05
          64   0.0491383   0.0490548 3.42001e-05
          65   0.0489691   0.0490535 3.36993e-05
          66   0.0486794   0.0490478 3.36619e-05
          67   0.0492941   0.0490515 3.33596e-05
          68    0.048836   0.0490483 3.30192e-05
          69   0.0490559   0.0490484 3.25408e-05
          70   0.0494988   0.0490549 3.27057e-05
          71   0.0484817   0.0490468 3.32266e-05
          72   0.0491889   0.0490488 3.28237e-05
          73   0.0491438   0.0490501 3.23998e-05
          74   0.0491173    0.049051 3.19747e-05
          75   0.0488591   0.0490484 3.16507e-05
          76   0.0490249   0.0490481 3.12357e-05
          77   0.0485809   0.0490421 3.14139e-05
          78   0.0489548   0.0490409  3.1031e-05
          79   0.0490164   0.0490406 3.06398e-05
          80   0.0495317   0.0490468 3.08655e-05
          81   0.0492846   0.0490497 3.06239e-05
          82   0.0489438   0.0490484 3.02777e-05
          83   0.0494992   0.0490538 3.03962e-05
          84   0.0491521    0.049055 3.00568e-05
          85   0.0486468   0.0490502 3.00844e-05
          86   0.0486526   0.0490456 3.00877e-05
          87   0.0488961   0.0490439 2.97909e-05
          88   0.0493588   0.0490474 2.96666e-05
          89   0.0489049   0.0490458 2.93765e-05
          90   0.0489204   0.0490444 2.90831e-05
          91   0.0492531   0.0490467 2.88537e-05
          92   0.0489049   0.0490452 2.85813e-05
          93   0.0487771   0.0490423  2.8419e-05
          94   0.0489488   0.0490413  2.8134e-05
          95   0.0491995    0.049043 2.78871e-05
          96   0.0490574   0.0490431  2.7597e-05
          97    0.048975   0.0490424 2.73214e-05
          98   0.0493182   0.0490453 2.71872e-05
          99   0.0486391   0.0490411 2.72205e-05
         100   0.0486842   0.0490376 2.71813e-05
