#     BLOCK:   ACTUAL_T:     T_AVE:       ERROR:
           1     1.26966     1.26966           0
           2     1.26776     1.26871 0.000672282
           3      1.2719     1.26977 0.000976552
           4     1.27219     1.27038   0.0009006
           5     1.27272     1.27085 0.000833968
           6     1.26338      1.2696  0.00133118
           7     1.30385     1.27449  0.00467116
           8      1.2941     1.27695  0.00468629
           9     1.31343       1.281  0.00565344
          10     1.29361     1.28226  0.00522681
          11     1.33694     1.28723  0.00671118
          12     1.32744     1.29058  0.00693805
          13     1.28629     1.29025  0.00641219
          14     1.27861     1.28942  0.00600788
          15     1.29215      1.2896  0.00561012
          16     1.29327     1.28983  0.00526417
          17     1.28221     1.28938  0.00497357
          18     1.27672     1.28868  0.00474673
          19     1.29389     1.28895   0.0045048
          20     1.28763     1.28889  0.00428005
          21     1.31887     1.29032   0.0043078
          22     1.30554     1.29101  0.00416724
          23       1.302     1.29149  0.00401336
          24     1.29747     1.29173  0.00385387
          25     1.28412     1.29143  0.00371173
          26     1.27465     1.29078  0.00362463
          27     1.28163     1.29045  0.00350621
          28     1.27351     1.28984  0.00343276
          29      1.2499     1.28846  0.00358008
          30     1.24771     1.28711  0.00370955
          31     1.25573     1.28609  0.00372543
          32     1.26503     1.28543  0.00366669
          33     1.25869     1.28462  0.00364405
          34     1.25438     1.28373  0.00364384
          35     1.24381     1.28259  0.00371399
          36      1.2627     1.28204  0.00365169
          37     1.25659     1.28135  0.00361722
          38     1.24091     1.28029  0.00367528
          39      1.2538     1.27961  0.00364326
          40     1.26745     1.27931  0.00356483
          41     1.26452     1.27895  0.00349608
          42       1.288     1.27916  0.00341948
          43     1.28206     1.27923  0.00334062
          44     1.29703     1.27963  0.00328911
          45     1.25869     1.27917  0.00324877
          46     1.27013     1.27897  0.00318408
          47     1.31567     1.27975  0.00321065
          48     1.29055     1.27998  0.00315163
          49     1.25285     1.27942  0.00313557
          50      1.2615     1.27906  0.00309328
          51     1.27525     1.27899  0.00303353
          52     1.29117     1.27922  0.00298423
          53      1.3001     1.27962   0.0029538
          54     1.28148     1.27965   0.0028993
          55     1.29089     1.27986  0.00285378
          56     1.31896     1.28056  0.00288697
          57     1.32231     1.28129  0.00292779
          58     1.32802     1.28209  0.00298612
          59     1.29589     1.28233  0.00294464
          60     1.27938     1.28228  0.00289598
          61     1.26499     1.28199  0.00286233
          62     1.27363     1.28186  0.00281934
          63     1.29233     1.28203  0.00277949
          64     1.27394      1.2819  0.00273893
          65      1.2635     1.28162  0.00271138
          66     1.21563     1.28062  0.00284866
          67     1.26629      1.2804  0.00281415
          68     1.26494     1.28018  0.00278194
          69     1.28324     1.28022  0.00274197
          70     1.25869     1.27991     0.00272
          71       1.273     1.27982  0.00268343
          72     1.30686     1.28019  0.00267232
          73     1.27752     1.28015  0.00263596
          74     1.28105     1.28017  0.00260037
          75     1.29367     1.28035  0.00257193
          76     1.31245     1.28077  0.00257253
          77     1.25638     1.28045  0.00255854
          78      1.2898     1.28057  0.00252855
          79     1.26792     1.28041  0.00250161
          80      1.3063     1.28074  0.00249118
          81     1.26498     1.28054    0.002468
          82     1.26633     1.28037  0.00244398
          83     1.26647      1.2802  0.00242026
          84     1.25295     1.27988  0.00241309
          85     1.29011        1.28   0.0023877
          86     1.29499     1.28017   0.0023663
          87     1.31372     1.28056  0.00237031
          88     1.29543     1.28073  0.00234939
          89     1.32993     1.28128  0.00238715
          90     1.32269     1.28174  0.00240457
          91      1.3031     1.28197  0.00238958
          92     1.32988     1.28249  0.00241969
          93     1.33914      1.2831  0.00246914
          94     1.30554     1.28334  0.00245438
          95     1.29116     1.28342  0.00242992
          96     1.32001     1.28381  0.00243432
          97     1.32349     1.28421  0.00244336
          98      1.3315      1.2847  0.00246562
          99     1.31651     1.28502  0.00246157
         100     1.33072     1.28548  0.00247902
