#     BLOCK:   ACTUAL_TE:    TE_AVE:      ERROR:
           1     1.53898     1.53898           0
           2     1.53891     1.53895 2.42456e-05
           3     1.53892     1.53894 1.80461e-05
           4     1.53891     1.53893 1.42861e-05
           5     1.53889     1.53892 1.33949e-05
           6     1.53885     1.53891 1.55057e-05
           7     1.53881      1.5389 1.89133e-05
           8     1.53894      1.5389 1.72079e-05
           9     1.53891      1.5389 1.53045e-05
          10     1.53901     1.53891 1.74545e-05
          11     1.53903     1.53892 1.88437e-05
          12     1.53906     1.53894 2.05595e-05
          13     1.53892     1.53893 1.89999e-05
          14     1.53885     1.53893 1.86412e-05
          15     1.53892     1.53893 1.74006e-05
          16     1.53891     1.53893 1.63482e-05
          17     1.53901     1.53893 1.60578e-05
          18     1.53908     1.53894  1.7152e-05
          19     1.53893     1.53894 1.62522e-05
          20     1.53892     1.53894 1.54811e-05
          21      1.5388     1.53893 1.60424e-05
          22     1.53882     1.53893 1.61084e-05
          23     1.53885     1.53892 1.57585e-05
          24     1.53889     1.53892 1.51779e-05
          25     1.53893     1.53892 1.45785e-05
          26     1.53894     1.53892  1.4037e-05
          27     1.53902     1.53893 1.39553e-05
          28     1.53905     1.53893   1.418e-05
          29     1.53903     1.53893 1.40964e-05
          30     1.53898     1.53894 1.37207e-05
          31      1.5389     1.53894 1.33215e-05
          32     1.53892     1.53893 1.29123e-05
          33     1.53892     1.53893 1.25246e-05
          34       1.539     1.53894 1.22957e-05
          35     1.53889     1.53893 1.20306e-05
          36     1.53888     1.53893 1.17826e-05
          37     1.53897     1.53893 1.15043e-05
          38     1.53893     1.53893 1.12016e-05
          39     1.53889     1.53893 1.09713e-05
          40     1.53903     1.53894 1.09448e-05
          41     1.53901     1.53894 1.08342e-05
          42     1.53903     1.53894 1.08011e-05
          43     1.53896     1.53894 1.05638e-05
          44     1.53913     1.53894 1.12058e-05
          45      1.5391     1.53895 1.14962e-05
          46      1.5389     1.53895  1.1301e-05
          47     1.53902     1.53895 1.11553e-05
          48     1.53902     1.53895 1.10356e-05
          49     1.53893     1.53895  1.0816e-05
          50      1.5387     1.53894 1.17229e-05
          51     1.53879     1.53894 1.18755e-05
          52     1.53871     1.53894 1.24321e-05
          53     1.53877     1.53893 1.25972e-05
          54     1.53881     1.53893 1.25756e-05
          55     1.53878     1.53893 1.26321e-05
          56     1.53871     1.53893 1.30123e-05
          57     1.53876     1.53892 1.31136e-05
          58     1.53886     1.53892 1.29289e-05
          59     1.53894     1.53892 1.27139e-05
          60     1.53883     1.53892 1.25997e-05
          61     1.53886     1.53892 1.24288e-05
          62     1.53892     1.53892 1.22284e-05
          63       1.539     1.53892 1.20955e-05
          64     1.53903     1.53892 1.20209e-05
          65     1.53912     1.53892 1.22286e-05
          66     1.53908     1.53893 1.22578e-05
          67     1.53903     1.53893 1.21663e-05
          68     1.53906     1.53893 1.21428e-05
          69     1.53884     1.53893 1.20358e-05
          70     1.53895     1.53893 1.18681e-05
          71     1.53893     1.53893 1.17011e-05
          72     1.53896     1.53893  1.1545e-05
          73     1.53898     1.53893 1.14079e-05
          74       1.539     1.53893 1.12878e-05
          75     1.53894     1.53893 1.11382e-05
          76     1.53904     1.53893 1.10857e-05
          77     1.53906     1.53893 1.10613e-05
          78     1.53903     1.53894 1.09906e-05
          79     1.53891     1.53894  1.0856e-05
          80     1.53902     1.53894 1.07711e-05
          81     1.53888     1.53894 1.06576e-05
          82     1.53892     1.53894 1.05307e-05
          83     1.53891     1.53894 1.04088e-05
          84     1.53897     1.53894 1.02946e-05
          85     1.53904     1.53894 1.02437e-05
          86     1.53906     1.53894   1.022e-05
          87     1.53894     1.53894 1.01027e-05
          88     1.53886     1.53894 1.00278e-05
          89     1.53876     1.53894 1.01146e-05
          90     1.53885     1.53893  1.0047e-05
          91     1.53876     1.53893 1.01106e-05
          92     1.53859     1.53893 1.06524e-05
          93     1.53845     1.53892 1.17074e-05
          94     1.53849     1.53892 1.24576e-05
          95     1.53862     1.53892 1.27173e-05
          96     1.53873     1.53891 1.27391e-05
          97     1.53892     1.53891 1.26079e-05
          98     1.53885     1.53891 1.24982e-05
          99     1.53893     1.53891  1.2373e-05
         100     1.53893     1.53891 1.22501e-05
