#     BLOCK:   ACTUAL_TE:    TE_AVE:      ERROR:
           1     1.39046     1.39046           0
           2     1.38303     1.38675  0.00262596
           3      1.3896      1.3877  0.00191578
           4     1.38842     1.38788  0.00144541
           5     1.38284     1.38687  0.00146579
           6     1.38901     1.38723  0.00126404
           7     1.38636     1.38711  0.00108954
           8     1.38751     1.38716 0.000954513
           9     1.38639     1.38707  0.00085228
          10      1.3882     1.38718 0.000774479
          11     1.38884     1.38733 0.000718571
          12     1.38287     1.38696 0.000748962
          13     1.38601     1.38689 0.000694914
          14     1.38453     1.38672 0.000665311
          15     1.38509     1.38661 0.000629736
          16     1.38129     1.38628 0.000672491
          17     1.38277     1.38607 0.000663908
          18     1.38913     1.38624 0.000648375
          19      1.3859     1.38622 0.000614506
          20     1.38848     1.38634 0.000594008
          21     1.38387     1.38622 0.000577181
          22     1.38978     1.38638 0.000573238
          23     1.38496     1.38632 0.000551614
          24     1.38891     1.38643 0.000539048
          25     1.38552     1.38639 0.000518703
          26     1.38878     1.38648 0.000506837
          27     1.38587     1.38646 0.000488568
          28      1.3859     1.38644 0.000471528
          29      1.3895     1.38655 0.000466957
          30     1.38066     1.38635  0.00049093
          31     1.38954     1.38645 0.000485794
          32     1.38746     1.38648 0.000471636
          33     1.38141     1.38633 0.000481763
          34     1.38134     1.38618 0.000489468
          35     1.38312      1.3861 0.000483243
          36     1.38718     1.38613 0.000470764
          37     1.38193     1.38601 0.000471488
          38     1.38715     1.38604 0.000460028
          39     1.38128     1.38592 0.000464155
          40     1.38243     1.38583 0.000460705
          41     1.38369     1.38578 0.000452421
          42     1.38193     1.38569 0.000450848
          43     1.38704     1.38572 0.000441452
          44     1.38371     1.38568 0.000433781
          45     1.38667      1.3857 0.000424704
          46     1.38548     1.38569 0.000415498
          47     1.38516     1.38568  0.00040681
          48      1.3864      1.3857 0.000398611
          49     1.38871     1.38576 0.000395186
          50     1.38502     1.38574 0.000387554
          51      1.3916     1.38586 0.000396615
          52     1.38504     1.38584 0.000389299
          53     1.38846     1.38589 0.000385076
          54     1.38879     1.38595 0.000381665
          55      1.3873     1.38597 0.000375525
          56     1.38624     1.38597  0.00036885
          57     1.38187      1.3859 0.000369359
          58     1.38477     1.38588 0.000363505
          59     1.38293     1.38583 0.000360785
          60      1.3882     1.38587 0.000356925
          61      1.3833     1.38583  0.00035355
          62     1.38874     1.38588 0.000350937
          63     1.38826     1.38592 0.000347405
          64     1.38447     1.38589 0.000342712
          65      1.3845     1.38587 0.000338105
          66     1.38473     1.38585 0.000333423
          67      1.3912     1.38593 0.000337872
          68     1.38606     1.38594 0.000332908
          69     1.38781     1.38596 0.000329186
          70     1.38694     1.38598 0.000324777
          71     1.38316     1.38594 0.000322618
          72     1.39017       1.386 0.000323439
          73     1.38328     1.38596 0.000321136
          74     1.38872       1.386 0.000318965
          75     1.38332     1.38596 0.000316702
          76     1.38491     1.38595 0.000312837
          77     1.39059     1.38601 0.000314528
          78     1.38281     1.38597 0.000313146
          79     1.38419     1.38594 0.000309992
          80     1.38624     1.38595 0.000306139
          81     1.38841     1.38598  0.00030387
          82     1.38636     1.38598 0.000300201
          83     1.38966     1.38603 0.000299834
          84     1.38285     1.38599 0.000298633
          85      1.3816     1.38594 0.000299554
          86     1.38592     1.38594 0.000296071
          87     1.38556     1.38593 0.000292699
          88     1.39079     1.38599 0.000294529
          89     1.38912     1.38602  0.00029332
          90     1.38412       1.386 0.000290819
          91     1.38805     1.38602 0.000288496
          92      1.3885     1.38605 0.000286614
          93     1.38568     1.38605 0.000283559
          94     1.38408     1.38603 0.000281311
          95     1.38675     1.38603 0.000278454
          96     1.38543     1.38603 0.000275624
          97      1.3862     1.38603 0.000272788
          98     1.38753     1.38604 0.000270436
          99     1.38506     1.38604 0.000267886
         100     1.38286       1.386 0.000267083
