# DISTANCE:     AVE_GOFR:        ERROR:
           0           0           0
   0.0256496           0           0
   0.0512993           0           0
   0.0769489           0           0
    0.102599           0           0
    0.128248           0           0
    0.153898           0           0
    0.179547           0           0
    0.205197           0           0
    0.230847           0           0
    0.256496           0           0
    0.282146           0           0
    0.307796           0           0
    0.333445           0           0
    0.359095           0           0
    0.384745           0           0
    0.410394           0           0
    0.436044           0           0
    0.461694           0           0
    0.487343           0           0
    0.512993           0           0
    0.538642           0           0
    0.564292           0           0
    0.589942           0           0
    0.615591           0           0
    0.641241           0           0
    0.666891           0           0
     0.69254           0           0
     0.71819           0           0
     0.74384           0           0
    0.769489           0           0
    0.795139           0           0
    0.820788 4.90857e-05  1.8075e-05
    0.846438  0.00282058 0.000148423
    0.872088   0.0384176 0.000270225
    0.897737    0.203661   0.0013365
    0.923387    0.591826  0.00320218
    0.949037     1.14417   0.0050436
    0.974686     1.68332  0.00525984
     1.00034     2.06691   0.0038246
     1.02599     2.24516  0.00352087
     1.05164      2.2694  0.00327332
     1.07728     2.18663  0.00281964
     1.10293     2.04083  0.00296994
     1.12858     1.86907  0.00368478
     1.15423     1.70672  0.00302851
     1.17988     1.54833  0.00329925
     1.20553     1.40771  0.00353889
     1.23118     1.28798  0.00285055
     1.25683     1.18142  0.00298398
     1.28248     1.08749  0.00258486
     1.30813     1.01281  0.00190468
     1.33378    0.944381  0.00118322
     1.35943    0.890334  0.00162947
     1.38508    0.849301  0.00147408
     1.41073    0.812328  0.00166428
     1.43638    0.782012  0.00142962
     1.46203    0.761711  0.00208164
     1.48768    0.745861   0.0017399
     1.51333    0.737323  0.00147177
     1.53898    0.731501  0.00170995
     1.56463     0.73315  0.00189811
     1.59028    0.737834  0.00167565
     1.61593      0.7482   0.0019663
     1.64158    0.763003  0.00172205
     1.66723    0.782258  0.00161585
     1.69288    0.807028  0.00147424
     1.71853    0.831708  0.00148519
     1.74418    0.859924  0.00122121
     1.76983     0.89356  0.00164503
     1.79547    0.925345  0.00159015
     1.82112    0.959004  0.00129506
     1.84677    0.994608  0.00126828
     1.87242     1.02813  0.00154234
     1.89807     1.06385   0.0016894
     1.92372     1.09231   0.0014602
     1.94937     1.12165  0.00153783
     1.97502     1.13978  0.00100375
     2.00067     1.15526  0.00142622
     2.02632       1.162  0.00100518
     2.05197     1.16165  0.00100219
     2.07762     1.15863 0.000969246
     2.10327     1.14583  0.00152911
     2.12892     1.13251  0.00141938
     2.15457     1.11492  0.00172353
     2.18022     1.09409  0.00117868
     2.20587     1.07639  0.00122151
     2.23152     1.05592  0.00166264
     2.25717     1.03426  0.00118396
     2.28282     1.01691  0.00152559
     2.30847     1.00059  0.00119079
     2.33412    0.983081 0.000912551
     2.35977    0.969675 0.000891343
     2.38542    0.955912  0.00128989
     2.41107    0.947432 0.000899602
     2.43672    0.939595  0.00121977
     2.46237    0.933531 0.000974446
     2.48802    0.927436  0.00106669
     2.51366    0.922808    0.001177
     2.53931    0.923639 0.000992481
