# DISTANCE:     AVE_GOFR:        ERROR:
           0           0           0
   0.0256496           0           0
   0.0512993           0           0
   0.0769489           0           0
    0.102599           0           0
    0.128248           0           0
    0.153898           0           0
    0.179547           0           0
    0.205197           0           0
    0.230847           0           0
    0.256496           0           0
    0.282146           0           0
    0.307796           0           0
    0.333445           0           0
    0.359095           0           0
    0.384745           0           0
    0.410394           0           0
    0.436044           0           0
    0.461694           0           0
    0.487343           0           0
    0.512993           0           0
    0.538642           0           0
    0.564292           0           0
    0.589942           0           0
    0.615591           0           0
    0.641241           0           0
    0.666891           0           0
     0.69254           0           0
     0.71819           0           0
     0.74384           0           0
    0.769489           0           0
    0.795139           0           0
    0.820788           0           0
    0.846438 1.41029e-05 1.05719e-05
    0.872088 0.000997294 0.000113994
    0.897737   0.0225871 0.000561586
    0.923387    0.164725  0.00171026
    0.949037    0.563718  0.00308311
    0.974686      1.1998   0.0045488
     1.00034     1.86344   0.0056392
     1.02599     2.34343  0.00757619
     1.05164     2.56221  0.00666739
     1.07728     2.54946  0.00703137
     1.10293     2.41398  0.00691653
     1.12858     2.20989   0.0053646
     1.15423     1.98516  0.00603148
     1.17988     1.76558  0.00521151
     1.20553     1.55645  0.00540961
     1.23118     1.38138  0.00468121
     1.25683     1.23885  0.00443422
     1.28248     1.11264  0.00494908
     1.30813     1.01108  0.00455708
     1.33378    0.928887  0.00406967
     1.35943    0.861341  0.00386235
     1.38508    0.809098  0.00391059
     1.41073    0.769794  0.00376379
     1.43638    0.738129  0.00311833
     1.46203    0.710163  0.00313095
     1.48768    0.691407   0.0028724
     1.51333    0.681292  0.00310585
     1.53898    0.671807  0.00288446
     1.56463    0.669954  0.00286723
     1.59028    0.674376   0.0027125
     1.61593    0.688079  0.00276396
     1.64158    0.704371  0.00283482
     1.66723    0.724421  0.00290362
     1.69288    0.750948   0.0030755
     1.71853    0.784405  0.00319571
     1.74418    0.821087  0.00328674
     1.76983    0.855319  0.00313967
     1.79547    0.896982  0.00269259
     1.82112    0.936497  0.00300175
     1.84677    0.980957  0.00296073
     1.87242     1.02378  0.00310616
     1.89807     1.06424   0.0028295
     1.92372     1.10263  0.00325894
     1.94937     1.13291  0.00268657
     1.97502     1.16262  0.00286761
     2.00067     1.18598  0.00287806
     2.02632     1.20804  0.00262545
     2.05197     1.21345  0.00260485
     2.07762     1.21903  0.00271738
     2.10327      1.2104  0.00295955
     2.12892     1.19701   0.0027527
     2.15457      1.1744  0.00295365
     2.18022     1.14688  0.00274424
     2.20587     1.11878  0.00287833
     2.23152     1.09273  0.00286147
     2.25717     1.06068  0.00270493
     2.28282     1.02851  0.00252985
     2.30847     1.00635  0.00244336
     2.33412    0.982719  0.00274301
     2.35977    0.957163  0.00250775
     2.38542    0.937202  0.00269586
     2.41107    0.922382   0.0022815
     2.43672    0.910465  0.00219359
     2.46237    0.902085  0.00212879
     2.48802    0.897144  0.00213159
     2.51366    0.892515   0.0022612
     2.53931    0.890561  0.00244125
