# DISTANCE:     AVE_GOFR:        ERROR:
           0           0           0
   0.0256496           0           0
   0.0512993           0           0
   0.0769489           0           0
    0.102599           0           0
    0.128248           0           0
    0.153898           0           0
    0.179547           0           0
    0.205197           0           0
    0.230847           0           0
    0.256496           0           0
    0.282146           0           0
    0.307796           0           0
    0.333445           0           0
    0.359095           0           0
    0.384745           0           0
    0.410394           0           0
    0.436044           0           0
    0.461694           0           0
    0.487343           0           0
    0.512993           0           0
    0.538642           0           0
    0.564292           0           0
    0.589942           0           0
    0.615591           0           0
    0.641241           0           0
    0.666891           0           0
     0.69254           0           0
     0.71819           0           0
     0.74384           0           0
    0.769489           0           0
    0.795139           0           0
    0.820788           0           0
    0.846438 1.87228e-05 3.71441e-06
    0.872088  0.00130107  2.7699e-05
    0.897737   0.0242591 0.000129752
    0.923387    0.165182 0.000402533
    0.949037    0.565092 0.000833752
    0.974686      1.2009  0.00112817
     1.00034     1.86221  0.00132984
     1.02599     2.33685  0.00127404
     1.05164     2.55342  0.00111828
     1.07728     2.55171  0.00106623
     1.10293     2.40845  0.00106151
     1.12858     2.19895  0.00108443
     1.15423     1.97296  0.00106094
     1.17988     1.75461  0.00105057
     1.20553     1.55984 0.000919143
     1.23118     1.38938 0.000842187
     1.25683     1.24481 0.000763876
     1.28248     1.12347 0.000796082
     1.30813     1.02341 0.000676928
     1.33378    0.939927 0.000647996
     1.35943     0.87231 0.000585408
     1.38508    0.817085 0.000556953
     1.41073    0.772383 0.000524598
     1.43638    0.738346 0.000481475
     1.46203    0.710805 0.000475225
     1.48768    0.690278   0.0004894
     1.51333    0.678832  0.00050508
     1.53898    0.671574 0.000481868
     1.56463    0.670711 0.000502717
     1.59028    0.675217 0.000563794
     1.61593    0.685707 0.000513187
     1.64158    0.701692 0.000528498
     1.66723    0.723393 0.000482398
     1.69288    0.749642 0.000524726
     1.71853    0.780668 0.000525373
     1.74418     0.81577 0.000533122
     1.76983    0.854193 0.000516152
     1.79547    0.893926 0.000512044
     1.82112    0.935548 0.000534167
     1.84677    0.977548 0.000524917
     1.87242     1.01864 0.000540846
     1.89807      1.0588 0.000546806
     1.92372     1.09619 0.000554603
     1.94937      1.1304 0.000544395
     1.97502     1.16105 0.000508887
     2.00067     1.18603 0.000550945
     2.02632     1.20365 0.000479098
     2.05197     1.21401 0.000441032
     2.07762     1.21526 0.000486486
     2.10327      1.2083 0.000487604
     2.12892     1.19486 0.000474356
     2.15457      1.1752 0.000541571
     2.18022     1.15104 0.000538534
     2.20587     1.12401 0.000531411
     2.23152     1.09596 0.000514858
     2.25717     1.06614 0.000542215
     2.28282     1.03853 0.000485024
     2.30847     1.01218 0.000459782
     2.33412    0.987648  0.00041868
     2.35977    0.966169 0.000424527
     2.38542    0.947307 0.000377176
     2.41107    0.931531 0.000423901
     2.43672    0.918273 0.000394453
     2.46237    0.908907 0.000393207
     2.48802    0.895373 0.000401891
     2.51366    0.885791 0.000383134
     2.53931      0.8861  0.00039175
