#     BLOCK:   ACTUAL_KE:    KE_AVE:      ERROR:
           1        2.94        2.94           0
           2        2.94        2.94           0
           3        2.94        2.94 3.44128e-08
           4        2.94        2.94           0
           5        2.94        2.94           0
           6        2.94        2.94 1.72064e-08
           7        2.94        2.94   1.593e-08
           8        2.94        2.94 1.49012e-08
           9        2.94        2.94 1.40489e-08
          10        2.94        2.94  1.3328e-08
          11        2.94        2.94 1.27078e-08
          12        2.94        2.94 1.21667e-08
          13        2.94        2.94 1.16894e-08
          14        2.94        2.94 1.12642e-08
          15        2.94        2.94 1.08823e-08
          16        2.94        2.94 1.05367e-08
          17        2.94        2.94 1.02221e-08
          18        2.94        2.94 9.93411e-09
          19        2.94        2.94 9.66915e-09
          20        2.94        2.94 9.42432e-09
