#     BLOCK:   ACTUAL_KE:    KE_AVE:      ERROR:
           1     1.68458     1.68458           0
           2      1.6776     1.68109  0.00246925
           3     1.62239     1.66152   0.0160619
           4     1.69213     1.66917   0.0137488
           5     1.69514     1.67437   0.0119392
           6     1.64547     1.66955   0.0108773
           7     1.65903     1.66805  0.00942668
           8     1.65666     1.66663  0.00835507
           9     1.67781     1.66787  0.00751861
          10     1.68002     1.66908  0.00686425
          11     1.67709     1.66981  0.00627872
          12      1.6758     1.67031  0.00577531
          13     1.64503     1.66837  0.00564902
          14     1.67416     1.66878  0.00526064
          15     1.68951     1.67016  0.00508824
          16     1.65271     1.66907  0.00488571
          17     1.66828     1.66902  0.00459853
          18      1.6956      1.6705  0.00457401
          19     1.63132     1.66844  0.00477558
          20     1.64025     1.66703   0.0047403
          21     1.66831     1.66709  0.00451496
          22     1.66851     1.66715  0.00431019
          23     1.64148     1.66604  0.00426491
          24      1.6757     1.66644  0.00410617
          25     1.68565     1.66721  0.00401318
          26     1.69808      1.6684  0.00403067
          27     1.67077     1.66848  0.00388235
          28     1.65202      1.6679  0.00378798
          29     1.65425     1.66743  0.00368646
          30     1.67371     1.66764  0.00356953
          31     1.68102     1.66807  0.00348039
          32     1.66428     1.66795  0.00337364
          33     1.69224     1.66868  0.00335077
          34     1.66757     1.66865  0.00325238
          35     1.66889     1.66866  0.00315946
          36     1.66882     1.66866   0.0030717
          37     1.67521     1.66884  0.00299378
          38     1.62847     1.66778  0.00309775
          39     1.65732     1.66751  0.00302991
          40     1.67929      1.6678  0.00296845
          41       1.672     1.66791  0.00289781
          42     1.67663     1.66811  0.00283625
          43     1.70218     1.66891  0.00287883
          44     1.71239      1.6699   0.0029782
          45     1.63833     1.66919   0.0029935
          46     1.66797     1.66917  0.00292854
          47      1.6789     1.66937  0.00287354
          48     1.66585      1.6693  0.00281461
          49     1.65916     1.66909  0.00276477
          50     1.67101     1.66913  0.00270974
          51     1.67339     1.66922   0.0026579
          52     1.66775     1.66919  0.00260693
          53     1.68577      1.6695  0.00257645
          54     1.66766     1.66947  0.00252896
          55     1.64369       1.669  0.00252604
          56     1.62368     1.66819  0.00260733
          57     1.65998     1.66804  0.00256556
          58     1.71161      1.6688  0.00262897
          59     1.68692      1.6691   0.0026023
          60     1.66544     1.66904  0.00255964
          61     1.68092     1.66924  0.00252507
          62     1.66017     1.66909  0.00248858
          63     1.67689     1.66921  0.00245215
          64     1.65351     1.66897  0.00242608
          65     1.66953     1.66898  0.00238877
          66     1.67773     1.66911  0.00235626
          67      1.6241     1.66844  0.00241494
          68     1.64077     1.66803  0.00241346
          69      1.6339     1.66754  0.00242865
          70     1.66706     1.66753  0.00239396
          71     1.67881     1.66769  0.00236551
          72     1.69992     1.66814  0.00237465
          73     1.68228     1.66833  0.00235002
          74     1.66917     1.66834  0.00231829
          75     1.69861     1.66874  0.00232224
          76       1.651     1.66851   0.0023034
          77     1.67705     1.66862  0.00227615
          78     1.66566     1.66858  0.00224729
          79      1.6729     1.66864   0.0022195
          80      1.6254      1.6681  0.00225662
          81     1.67519     1.66819  0.00223046
          82     1.66274     1.66812  0.00220425
          83     1.66194     1.66804  0.00217895
          84     1.66225     1.66798   0.0021541
          85     1.69293     1.66827  0.00214867
          86     1.68574     1.66847  0.00213326
          87     1.63853     1.66813  0.00213632
          88     1.69993     1.66849   0.0021424
          89     1.67185     1.66853  0.00211866
          90     1.66882     1.66853  0.00209512
          91     1.66843     1.66853   0.0020721
          92     1.65957     1.66843  0.00205187
          93     1.64895     1.66822  0.00204047
          94      1.6742     1.66829  0.00201976
          95     1.64644     1.66806  0.00201155
          96     1.62925     1.66765   0.0020308
          97     1.65492     1.66752   0.0020141
          98     1.67797     1.66763  0.00199637
          99      1.6921     1.66787  0.00199144
         100     1.66012      1.6678  0.00197304
         101     1.66704     1.66779  0.00195352
         102     1.68085     1.66792  0.00193856
         103     1.65582      1.6678  0.00192329
         104     1.67648     1.66788  0.00190661
         105     1.63191     1.66754  0.00191899
         106     1.66105     1.66748  0.00190186
         107     1.66534     1.66746  0.00188419
         108      1.7038      1.6678  0.00189656
         109     1.67526     1.66786   0.0018804
         110     1.63954     1.66761  0.00188085
         111     1.66909     1.66762  0.00186395
         112     1.65426      1.6675  0.00185113
         113     1.67169     1.66754  0.00183512
         114      1.6683     1.66755  0.00181903
         115      1.6825     1.66768  0.00180785
         116     1.65363     1.66755  0.00179632
         117     1.65377     1.66744  0.00178483
         118     1.68136     1.66755   0.0017736
         119     1.67749     1.66764  0.00176066
         120     1.67991     1.66774  0.00174895
         121     1.64365     1.66754  0.00174579
         122     1.68315     1.66767  0.00173616
         123     1.65148     1.66754  0.00172703
         124     1.67577      1.6676  0.00171438
         125     1.67972      1.6677   0.0017034
         126     1.67393     1.66775   0.0016906
         127     1.65316     1.66763  0.00168118
         128     1.66287      1.6676  0.00166846
         129     1.69899     1.66784  0.00167318
         130     1.69284     1.66803  0.00167132
         131     1.64553     1.66786  0.00166737
         132     1.67192     1.66789  0.00165502
         133      1.6452     1.66772  0.00165135
         134     1.67069     1.66774  0.00163917
         135     1.65238     1.66763  0.00163097
         136     1.68504     1.66776    0.001624
         137     1.64301     1.66758  0.00162216
         138     1.64971     1.66745  0.00161556
         139     1.67383     1.66749  0.00160459
         140     1.71269     1.66782  0.00162528
         141     1.68846     1.66796  0.00162033
         142      1.7056     1.66823  0.00163046
         143      1.6195     1.66789  0.00165428
         144     1.67844     1.66796  0.00164442
         145     1.66365     1.66793  0.00163335
         146     1.64611     1.66778  0.00162898
         147     1.63998     1.66759  0.00162884
         148     1.68622     1.66772  0.00162269
         149     1.65508     1.66763  0.00161402
         150     1.66639     1.66763  0.00160328
         151      1.6583     1.66756  0.00159385
         152     1.66229     1.66753  0.00158374
         153     1.68972     1.66767  0.00158002
         154     1.66236     1.66764  0.00157013
         155     1.64076     1.66747  0.00156955
         156     1.68143     1.66756  0.00156204
         157     1.66762     1.66756  0.00155209
         158     1.65888      1.6675  0.00154324
         159      1.7004     1.66771  0.00154734
         160      1.6644     1.66769  0.00153781
         161      1.6533      1.6676  0.00153085
         162     1.67005     1.66761  0.00152147
         163     1.64616     1.66748  0.00151782
         164     1.69833     1.66767  0.00152018
         165     1.65049     1.66757  0.00151453
         166      1.6497     1.66746  0.00150922
         167     1.68614     1.66757  0.00150433
         168      1.6815     1.66765  0.00149765
         169     1.65087     1.66755  0.00149208
