#     BLOCK:   ACTUAL_KE:    KE_AVE:      ERROR:
           1        1.65        1.65           0
           2        1.65        1.65           0
           3        1.65        1.65 1.72064e-08
           4        1.65        1.65           0
           5        1.65        1.65           0
           6        1.65        1.65 1.21667e-08
           7        1.65        1.65 1.37958e-08
           8        1.65        1.65 1.05367e-08
           9        1.65        1.65 9.93411e-09
          10        1.65        1.65   6.664e-09
          11        1.65        1.65 6.35388e-09
          12        1.65        1.65 1.05367e-08
          13        1.65        1.65 1.16894e-08
          14        1.65        1.65 1.12642e-08
          15        1.65        1.65 1.21667e-08
          16        1.65        1.65 1.17804e-08
          17        1.65        1.65 1.14287e-08
          18        1.65        1.65 1.11067e-08
          19        1.65        1.65 1.27911e-08
          20        1.65        1.65 1.24672e-08
          21        1.65        1.65 1.02828e-08
          22        1.65        1.65 1.10052e-08
          23        1.65        1.65 9.82553e-09
          24        1.65        1.65 9.61866e-09
          25        1.65        1.65 5.96046e-09
          26        1.65        1.65 5.84472e-09
          27        1.65        1.65 4.05558e-09
          28        1.65        1.65  3.9825e-09
          29        1.65        1.65 5.53415e-09
          30        1.65        1.65 5.44113e-09
          31        1.65        1.65  7.5698e-09
          32        1.65        1.65 7.45058e-09
          33        1.65        1.65 7.33682e-09
          34        1.65        1.65 8.08129e-09
          35        1.65        1.65 9.42432e-09
          36        1.65        1.65 9.29251e-09
          37        1.65        1.65 9.16607e-09
          38        1.65        1.65 9.66915e-09
          39        1.65        1.65 9.54438e-09
          40        1.65        1.65  8.1617e-09
          41        1.65        1.65 7.35916e-09
          42        1.65        1.65 7.96501e-09
          43        1.65        1.65 6.42733e-09
          44        1.65        1.65 6.35388e-09
          45        1.65        1.65 4.44267e-09
          46        1.65        1.65 4.39411e-09
          47        1.65        1.65 4.34712e-09
          48        1.65        1.65 3.04169e-09
          49        1.65        1.65 3.01049e-09
          50        1.65        1.65 2.98023e-09
          51        1.65        1.65 2.95087e-09
          52        1.65        1.65 4.13284e-09
          53        1.65        1.65 4.09366e-09
          54        1.65        1.65 4.05558e-09
          55        1.65        1.65 4.92169e-09
          56        1.65        1.65 4.87755e-09
          57        1.65        1.65 4.83458e-09
          58        1.65        1.65 4.79272e-09
          59        1.65        1.65 6.13471e-09
          60        1.65        1.65 5.44113e-09
          61        1.65        1.65 5.39635e-09
          62        1.65        1.65 6.55564e-09
          63        1.65        1.65  6.5034e-09
          64        1.65        1.65 6.45239e-09
          65        1.65        1.65 6.40257e-09
          66        1.65        1.65 6.35388e-09
          67        1.65        1.65 6.81156e-09
          68        1.65        1.65 6.76129e-09
          69        1.65        1.65 6.71212e-09
          70        1.65        1.65 6.16967e-09
          71        1.65        1.65 6.12606e-09
          72        1.65        1.65 7.02447e-09
          73        1.65        1.65  6.9762e-09
          74        1.65        1.65  6.9289e-09
          75        1.65        1.65 6.88255e-09
          76        1.65        1.65 6.83712e-09
          77        1.65        1.65 7.59433e-09
          78        1.65        1.65  6.7489e-09
          79        1.65        1.65 6.70605e-09
          80        1.65        1.65   6.664e-09
          81        1.65        1.65 6.62274e-09
          82        1.65        1.65 7.35916e-09
          83        1.65        1.65 7.31469e-09
          84        1.65        1.65 7.27102e-09
          85        1.65        1.65 7.22812e-09
          86        1.65        1.65 6.81722e-09
          87        1.65        1.65 6.77792e-09
          88        1.65        1.65  6.7393e-09
          89        1.65        1.65 6.70134e-09
          90        1.65        1.65 7.02447e-09
          91        1.65        1.65 6.98577e-09
          92        1.65        1.65  6.9477e-09
          93        1.65        1.65 6.91025e-09
          94        1.65        1.65 6.87339e-09
          95        1.65        1.65 6.83712e-09
          96        1.65        1.65 6.80142e-09
          97        1.65        1.65 6.76627e-09
          98        1.65        1.65 7.37416e-09
          99        1.65        1.65 7.33682e-09
         100        1.65        1.65 7.30005e-09
         101        1.65        1.65 7.26382e-09
         102        1.65        1.65 7.22812e-09
         103        1.65        1.65 7.19295e-09
         104        1.65        1.65 7.15829e-09
         105        1.65        1.65 7.12412e-09
         106        1.65        1.65 7.09043e-09
         107        1.65        1.65 7.05722e-09
         108        1.65        1.65 7.31131e-09
         109        1.65        1.65 7.27769e-09
         110        1.65        1.65 6.96032e-09
         111        1.65        1.65  6.9289e-09
         112        1.65        1.65  6.8979e-09
         113        1.65        1.65 6.86731e-09
         114        1.65        1.65 6.83712e-09
         115        1.65        1.65 6.80733e-09
         116        1.65        1.65 6.77792e-09
         117        1.65        1.65  6.7489e-09
         118        1.65        1.65 6.72024e-09
         119        1.65        1.65 6.69194e-09
         120        1.65        1.65   6.664e-09
         121        1.65        1.65 7.16814e-09
         122        1.65        1.65  7.1387e-09
         123        1.65        1.65 7.10962e-09
         124        1.65        1.65  7.0809e-09
         125        1.65        1.65 7.05252e-09
         126        1.65        1.65 7.02447e-09
         127        1.65        1.65 6.99676e-09
         128        1.65        1.65 6.96938e-09
         129        1.65        1.65 6.94231e-09
         130        1.65        1.65 6.91556e-09
         131        1.65        1.65 6.88912e-09
         132        1.65        1.65 6.86297e-09
         133        1.65        1.65 6.83712e-09
         134        1.65        1.65 6.81156e-09
         135        1.65        1.65 6.78629e-09
         136        1.65        1.65 6.76129e-09
         137        1.65        1.65  7.2017e-09
         138        1.65        1.65 7.17556e-09
         139        1.65        1.65  7.1497e-09
         140        1.65        1.65 7.12412e-09
         141        1.65        1.65 7.09881e-09
         142        1.65        1.65 7.07377e-09
         143        1.65        1.65 7.04899e-09
         144        1.65        1.65 7.02447e-09
         145        1.65        1.65 7.00021e-09
         146        1.65        1.65  6.9762e-09
         147        1.65        1.65 6.95243e-09
         148        1.65        1.65  6.9289e-09
         149        1.65        1.65 6.90561e-09
         150        1.65        1.65 6.88255e-09
         151        1.65        1.65 6.85972e-09
         152        1.65        1.65 6.83712e-09
         153        1.65        1.65 6.81474e-09
         154        1.65        1.65 6.57689e-09
         155        1.65        1.65 6.55564e-09
         156        1.65        1.65 6.53459e-09
         157        1.65        1.65 6.51375e-09
         158        1.65        1.65 6.04475e-09
         159        1.65        1.65 5.54285e-09
         160        1.65        1.65 5.26836e-09
         161        1.65        1.65 5.25197e-09
         162        1.65        1.65 4.68298e-09
         163        1.65        1.65 4.36707e-09
         164        1.65        1.65 4.35374e-09
         165        1.65        1.65 3.66841e-09
         166        1.65        1.65 2.83297e-09
         167        1.65        1.65 2.30617e-09
         168        1.65        1.65  2.2993e-09
         169        1.65        1.65           0
         170        1.65        1.65 2.28573e-09
         171        1.65        1.65 2.27904e-09
         172        1.65        1.65 2.78312e-09
         173        1.65        1.65 2.77506e-09
         174        1.65        1.65 3.57228e-09
         175        1.65        1.65 4.21468e-09
         176        1.65        1.65 4.20269e-09
         177        1.65        1.65 4.48016e-09
         178        1.65        1.65 4.99488e-09
         179        1.65        1.65 4.98091e-09
         180        1.65        1.65 5.44113e-09
         181        1.65        1.65 5.42608e-09
         182        1.65        1.65 5.63211e-09
         183        1.65        1.65  5.6167e-09
         184        1.65        1.65 6.01689e-09
         185        1.65        1.65 6.38813e-09
         186        1.65        1.65 6.37093e-09
         187        1.65        1.65 6.53808e-09
         188        1.65        1.65 6.52067e-09
         189        1.65        1.65 6.68161e-09
         190        1.65        1.65   6.664e-09
         191        1.65        1.65  6.9876e-09
         192        1.65        1.65 6.96938e-09
         193        1.65        1.65 7.11488e-09
         194        1.65        1.65 7.09652e-09
         195        1.65        1.65 7.39305e-09
         196        1.65        1.65 7.37416e-09
         197        1.65        1.65  7.5071e-09
         198        1.65        1.65 7.48812e-09
         199        1.65        1.65  7.7623e-09
         200        1.65        1.65 7.74287e-09
