#     BLOCK:  ACTUAL_PE:     PE_AVE:      ERROR:
           1    -5.48754    -5.48754           0
           2    -5.46182    -5.47468   0.0090907
           3    -5.46203    -5.47046  0.00696968
           4    -5.47686    -5.47206  0.00540746
           5    -5.44318    -5.46629  0.00673869
           6    -5.46932    -5.46679  0.00563448
           7    -5.46341    -5.46631  0.00485026
           8    -5.43759    -5.46272  0.00541182
           9     -5.4516    -5.46148  0.00494952
          10    -5.42575    -5.45791  0.00559801
          11    -5.51625    -5.46321  0.00717406
          12    -5.47139    -5.46389  0.00660848
          13    -5.48833    -5.46577  0.00636182
          14     -5.4666    -5.46583  0.00590768
          15    -5.47578     -5.4665  0.00555094
          16    -5.45396    -5.46571  0.00525902
          17    -5.44292    -5.46437  0.00511776
          18      -5.492    -5.46591  0.00505837
          19    -5.47226    -5.46624  0.00480318
          20    -5.46152      -5.466  0.00456881
          21    -5.42975    -5.46428   0.0046661
          22    -5.44115    -5.46323  0.00457093
          23    -5.47732    -5.46384  0.00441305
          24    -5.47893    -5.46447  0.00427371
          25    -5.41517     -5.4625  0.00453487
          26    -5.44556    -5.46184  0.00440699
          27    -5.45599    -5.46163   0.0042491
          28    -5.45748    -5.46148  0.00409993
          29    -5.45429    -5.46123  0.00396604
          30    -5.45782    -5.46112  0.00383547
          31    -5.49729    -5.46228  0.00388514
          32    -5.45973     -5.4622  0.00376455
          33    -5.42298    -5.46102  0.00383351
          34    -5.45937    -5.46097  0.00372107
          35    -5.48793    -5.46174  0.00369362
          36    -5.46144    -5.46173  0.00359103
          37    -5.48065    -5.46224  0.00353018
          38    -5.48243    -5.46277  0.00347705
          39    -5.48432    -5.46332  0.00343149
          40    -5.49053      -5.464  0.00341243
          41    -5.44058    -5.46343  0.00337667
          42    -5.47428    -5.46369  0.00330612
          43    -5.48077    -5.46409  0.00325301
          44    -5.44688     -5.4637  0.00320251
          45    -5.46058    -5.46363  0.00313209
          46    -5.47579    -5.46389  0.00307514
          47    -5.48148    -5.46427  0.00303239
          48     -5.4389    -5.46374  0.00301491
          49    -5.43863    -5.46323  0.00299662
          50    -5.47419    -5.46345  0.00294471
          51     -5.4862    -5.46389  0.00292057
          52    -5.41561    -5.46296  0.00300839
          53    -5.46425    -5.46299  0.00295173
          54    -5.46657    -5.46305  0.00289781
          55    -5.47615    -5.46329   0.0028549
          56    -5.43893    -5.46286  0.00283686
          57    -5.45422    -5.46271  0.00279113
          58    -5.47675    -5.46295  0.00275349
          59    -5.46946    -5.46306  0.00270904
          60    -5.48648    -5.46345  0.00269187
          61    -5.48076    -5.46373  0.00266267
          62    -5.46313    -5.46372  0.00261974
          63    -5.47919    -5.46397  0.00258963
          64    -5.48087    -5.46423   0.0025626
          65    -5.47415    -5.46438  0.00252772
          66    -5.48088    -5.46463  0.00250174
          67    -5.46077    -5.46458  0.00246507
          68    -5.41184     -5.4638  0.00254787
          69    -5.46368     -5.4638  0.00251095
          70    -5.46452    -5.46381   0.0024751
          71    -5.47303    -5.46394  0.00244364
          72    -5.47859    -5.46414  0.00241816
          73    -5.44569    -5.46389  0.00239821
          74     -5.4851    -5.46418  0.00238286
          75    -5.46837    -5.46423  0.00235175
          76    -5.45015    -5.46405   0.0023281
          77    -5.45807    -5.46397  0.00229915
          78     -5.4567    -5.46388  0.00227157
          79    -5.48195    -5.46411   0.0022543
          80    -5.45241    -5.46396  0.00223086
          81    -5.46601    -5.46398  0.00220346
          82    -5.48493    -5.46424  0.00219135
          83    -5.49394     -5.4646  0.00219397
          84    -5.47936    -5.46477  0.00217488
          85    -5.47729    -5.46492  0.00215427
          86    -5.44118    -5.46464  0.00214683
          87    -5.45795    -5.46457  0.00212353
          88    -5.46767     -5.4646  0.00209969
          89    -5.48178     -5.4648  0.00208494
          90    -5.44974    -5.46463  0.00206848
          91    -5.49001    -5.46491  0.00206446
          92    -5.46592    -5.46492  0.00204205
          93    -5.48271    -5.46511  0.00202904
          94    -5.44681    -5.46492  0.00201677
          95    -5.45261    -5.46479   0.0019997
          96    -5.49853    -5.46514  0.00200951
          97    -5.47386    -5.46523  0.00199081
          98    -5.49075    -5.46549  0.00198746
          99    -5.43749    -5.46521   0.0019874
         100    -5.44447      -5.465  0.00197831
