#     BLOCK:  ACTUAL_PE:     PE_AVE:      ERROR:
           1    -6.78293    -6.78293           0
           2    -6.77422    -6.77858  0.00308073
           3     -6.7635    -6.77355  0.00458872
           4    -6.75398    -6.76866  0.00545874
           5    -6.74047    -6.76302   0.0066699
           6    -6.72855    -6.75728  0.00764168
           7    -6.71456    -6.75117  0.00865012
           8    -6.70956    -6.74597  0.00899792
           9    -6.70274    -6.74117  0.00919149
          10    -6.69125    -6.73618   0.0095318
          11    -6.68696     -6.7317  0.00965858
          12    -6.68541    -6.72784  0.00959334
          13    -6.67783      -6.724  0.00959592
          14    -6.66892    -6.72006  0.00968327
          15     -6.6551    -6.71573  0.00995925
          16    -6.64699    -6.71144   0.0102215
          17    -6.61312    -6.70565   0.0111368
          18    -6.59615    -6.69957   0.0120657
          19     -6.5873    -6.69366    0.012796
          20    -6.58508    -6.68823    0.013258
          21    -6.57187    -6.68269   0.0137358
          22    -6.53492    -6.67597    0.014662
          23    -6.52503    -6.66941   0.0154236
          24    -6.50925    -6.66274   0.0161602
          25    -6.48526    -6.65564   0.0170017
          26     -6.4943    -6.64943   0.0174434
          27     -6.4992    -6.64387   0.0176626
          28    -6.49218    -6.63845   0.0178433
          29    -6.48762    -6.63325     0.01797
          30    -6.46814    -6.62775   0.0181943
          31    -6.44093    -6.62172   0.0185786
          32    -6.43116    -6.61577   0.0189284
          33     -6.4357    -6.61031   0.0191251
          34    -6.43007    -6.60501   0.0192834
          35    -6.43006    -6.60001   0.0193694
          36    -6.43871    -6.59553   0.0193426
          37    -6.41722    -6.59071   0.0194109
          38    -6.39698    -6.58561   0.0195581
          39     -6.3763    -6.58024   0.0197793
          40    -6.35764    -6.57468   0.0200524
          41    -6.35505    -6.56932   0.0202662
          42    -6.32031    -6.56339   0.0206327
          43    -6.29764    -6.55721   0.0210582
          44    -6.26572    -6.55059   0.0215966
          45    -6.27393    -6.54444   0.0219743
          46    -6.22999     -6.5376   0.0225348
          47    -6.21413    -6.53072   0.0230824
          48    -6.21613    -6.52417   0.0235136
          49    -6.19826    -6.51752    0.023956
          50    -6.17653     -6.5107   0.0244283
          51    -6.13676    -6.50337   0.0250255
          52    -6.12249    -6.49604   0.0255937
          53    -6.07397    -6.48808   0.0263206
          54    -6.04687    -6.47991   0.0270716
          55    -5.96331    -6.47051   0.0281617
          56    -5.95483    -6.46131   0.0291255
          57    -5.88934    -6.45127   0.0302938
          58    -5.90104    -6.44178   0.0312216
          59    -5.89717    -6.43255   0.0320279
          60    -5.94219    -6.42438   0.0325201
          61    -5.98596    -6.41719   0.0327716
          62    -5.97982    -6.41014   0.0329936
          63    -5.99678    -6.40358   0.0331158
          64    -5.96274    -6.39669   0.0333071
          65    -5.98394    -6.39034   0.0333945
          66    -6.03267    -6.38492   0.0333253
          67    -6.06829    -6.38019   0.0331613
          68    -6.07046    -6.37564    0.032985
          69    -6.05699    -6.37102   0.0328286
          70    -6.06451    -6.36664   0.0326504
          71    -6.10779      -6.363   0.0323934
          72    -6.11261    -6.35952   0.0321296
          73     -6.1246     -6.3563   0.0318502
          74    -6.13452     -6.3533   0.0315605
          75    -6.13857    -6.35044   0.0312693
          76    -6.13868    -6.34765   0.0309818
          77    -6.13897    -6.34494   0.0306977
          78     -6.1462     -6.3424   0.0304097
          79    -6.12709    -6.33967   0.0301467
          80    -6.11149    -6.33682   0.0299045
          81    -6.13019    -6.33427   0.0296439
          82      -6.117    -6.33162   0.0294005
          83    -6.09434    -6.32876    0.029185
          84    -6.10924    -6.32615   0.0289543
          85     -6.1016     -6.3235   0.0287339
          86    -6.10628    -6.32098   0.0285106
          87    -6.12715    -6.31875   0.0282698
          88    -6.08675    -6.31611   0.0280712
          89    -6.07978    -6.31346   0.0278811
          90    -6.08567    -6.31093    0.027686
          91    -6.06747    -6.30825   0.0275107
          92    -6.06796    -6.30564   0.0273354
          93     -6.0984    -6.30341   0.0271321
          94    -6.08517    -6.30109   0.0269426
          95    -6.06269    -6.29858   0.0267756
          96    -6.05795    -6.29607   0.0266138
          97    -6.03746    -6.29341   0.0264726
          98     -6.0808    -6.29124   0.0262913
          99    -6.10848    -6.28939   0.0260904
         100    -6.08559    -6.28736    0.025909
         101    -6.12348    -6.28573   0.0257032
         102    -6.14794    -6.28438   0.0254867
         103    -6.14632    -6.28304   0.0252745
         104    -6.15927    -6.28185   0.0250595
         105     -6.1366    -6.28047   0.0248589
         106    -6.13472    -6.27909   0.0246624
         107    -6.13249    -6.27772     0.02447
         108    -6.12616    -6.27632   0.0242836
         109    -6.10925    -6.27479   0.0241091
         110    -6.08952     -6.2731   0.0239487
         111    -6.09732    -6.27152   0.0237853
         112    -6.10421    -6.27002   0.0236198
         113    -6.08287    -6.26837   0.0234687
         114    -6.07483    -6.26667   0.0233242
         115    -6.04491    -6.26474    0.023201
         116     -6.0786    -6.26314   0.0230564
         117    -6.11763    -6.26189   0.0228928
         118     -6.1229    -6.26072   0.0227291
         119    -6.12223    -6.25955   0.0225679
         120    -6.12625    -6.25844   0.0224071
         121    -6.14333    -6.25749   0.0222421
         122    -6.15401    -6.25664    0.022076
         123     -6.1093    -6.25544    0.021929
         124    -6.09967    -6.25419   0.0217881
         125    -6.05558     -6.2526   0.0216716
         126    -6.02116    -6.25076   0.0215773
         127    -5.99143    -6.24872   0.0215039
         128    -5.99089    -6.24671     0.02143
         129    -6.02043    -6.24495   0.0213355
         130    -6.01147    -6.24316   0.0212469
         131    -6.01269     -6.2414   0.0211574
         132    -6.01628    -6.23969   0.0210657
         133    -6.01447      -6.238   0.0209753
         134    -6.00786    -6.23628    0.020889
         135    -6.02096    -6.23469    0.020795
         136    -6.05464    -6.23336   0.0206842
         137    -6.06384    -6.23212   0.0205702
         138    -6.06062    -6.23088   0.0204587
         139    -6.07377    -6.22975   0.0203427
         140    -6.06735    -6.22859   0.0202304
         141    -6.05328    -6.22735   0.0201251
         142    -6.04487    -6.22606   0.0200244
         143    -6.09683    -6.22516   0.0199047
         144    -6.10455    -6.22432   0.0197841
         145    -6.09537    -6.22343   0.0196676
         146    -6.08526    -6.22249   0.0195557
         147     -6.0562    -6.22135   0.0194553
         148    -6.04924    -6.22019   0.0193586
         149    -6.06366    -6.21914   0.0192572
         150     -6.0334     -6.2179   0.0191686
         151    -6.00241    -6.21648   0.0190947
         152    -5.99604    -6.21503    0.019024
         153    -6.00194    -6.21363   0.0189506
         154    -6.01695    -6.21236   0.0188706
         155    -5.99055    -6.21092    0.018803
         156    -5.96609    -6.20936   0.0187478
         157    -6.02364    -6.20817   0.0186657
         158    -6.02994    -6.20704   0.0185816
         159    -6.01599    -6.20584   0.0185036
         160     -5.9909     -6.2045   0.0184366
         161    -5.98493    -6.20314   0.0183725
         162    -5.98056    -6.20176   0.0183104
         163    -5.96896    -6.20033   0.0182536
         164    -5.96247    -6.19888   0.0181999
         165    -5.96909    -6.19749   0.0181428
         166    -5.97227    -6.19613   0.0180841
         167    -5.99193    -6.19491   0.0180171
         168      -5.995    -6.19372   0.0179492
         169    -5.98018    -6.19246   0.0178874
         170    -5.96565    -6.19112   0.0178318
         171    -5.97905    -6.18988   0.0177706
         172    -5.98314    -6.18868   0.0177079
         173    -6.03746    -6.18781   0.0176271
         174    -6.04567    -6.18699   0.0175447
         175    -6.02097    -6.18604   0.0174701
         176    -6.02891    -6.18515   0.0173936
         177    -6.02489    -6.18424   0.0173189
         178    -5.98439    -6.18312    0.017258
         179     -6.0081    -6.18214   0.0171892
         180     -5.9915    -6.18108   0.0171263
         181    -6.02158     -6.1802   0.0170544
