#     BLOCK:   ACTUAL_P:     P_AVE:       ERROR:
           1      1.3924      1.3924           0
           2     1.45762     1.42501   0.0230582
           3     1.67137     1.50713   0.0687893
           4      1.5402      1.5154   0.0520865
           5     1.41388     1.49509   0.0454543
           6     1.64553     1.52017   0.0442567
           7     1.48334     1.51491   0.0382458
           8     1.58095     1.52316   0.0343446
           9     1.44772     1.51478   0.0315349
          10     1.38024     1.50133   0.0311193
          11     1.42748     1.49461   0.0290053
          12     1.49602     1.49473   0.0265884
          13     1.60387     1.50312   0.0258346
          14     1.49177     1.50231    0.024002
          15     1.39308     1.49503   0.0234805
          16     1.61754     1.50269   0.0232279
          17     1.60503     1.50871   0.0226282
          18     1.37736     1.50141   0.0225169
          19     1.59559     1.50637   0.0218706
          20     1.74621     1.51836   0.0238392
          21     1.56288     1.52048   0.0227981
          22     1.43646     1.51666   0.0220793
          23      1.6451     1.52225   0.0218142
          24     1.45119     1.51929   0.0211052
          25     1.46617     1.51716   0.0203677
          26     1.32944     1.50994   0.0208248
          27     1.55315     1.51154   0.0201149
          28     1.60762     1.51497    0.019687
          29     1.56452     1.51668   0.0190821
          30     1.45484     1.51462    0.018557
          31     1.38972     1.51059   0.0183906
          32     1.35123     1.50561   0.0184779
          33      1.3324     1.50036   0.0186486
          34     1.47116      1.4995   0.0181198
          35     1.51704         1.5   0.0176091
          36     1.44679     1.49853   0.0171818
          37     1.34035     1.49425   0.0172411
          38     1.61491     1.49743   0.0170773
          39     1.50495     1.49762   0.0166405
          40     1.39763     1.49512   0.0164111
          41     1.57028     1.49695   0.0161129
          42     1.47742     1.49649    0.015736
          43     1.40675      1.4944   0.0155078
          44     1.31983     1.49043   0.0156547
          45     1.63222     1.49358   0.0156206
          46     1.40505     1.49166   0.0153992
          47      1.4446     1.49066   0.0151041
          48     1.48725     1.49059   0.0147896
          49     1.45311     1.48982   0.0145075
          50     1.48158     1.48966   0.0142183
          51     1.49301     1.48972   0.0139397
          52     1.55281     1.49094   0.0137243
          53     1.48251     1.49078   0.0134663
          54     1.51225     1.49117   0.0132227
          55     1.55099     1.49226    0.013027
          56     1.71174     1.49618   0.0133709
          57      1.5022     1.49629   0.0131368
          58     1.42624     1.49508   0.0129657
          59     1.40148     1.49349   0.0128426
          60     1.45733     1.49289   0.0126427
          61     1.40807      1.4915   0.0125117
          62      1.4561     1.49093   0.0123229
          63      1.3796     1.48916   0.0122533
          64     1.53811     1.48993   0.0120857
          65     1.53962     1.49069   0.0119239
          66     1.35975     1.48871   0.0119072
          67     1.64176     1.49099   0.0119466
          68     1.56081     1.49202   0.0118149
          69     1.59125     1.49346   0.0117309
          70      1.5137     1.49375   0.0115669
          71     1.52458     1.49418   0.0114121
          72     1.40548     1.49295   0.0113199
          73     1.46806     1.49261     0.01117
          74     1.51943     1.49297   0.0110249
          75     1.35983     1.49119   0.0110199
          76     1.53405     1.49176   0.0108893
          77      1.6067     1.49325   0.0108497
          78     1.55146       1.494   0.0107363
          79     1.42498     1.49312   0.0106358
          80     1.63073     1.49484   0.0106411
          81     1.42508     1.49398   0.0105445
          82     1.49887     1.49404   0.0104161
          83     1.42959     1.49326   0.0103195
          84     1.52494     1.49364   0.0102035
          85     1.39082     1.49243   0.0101549
          86     1.41661     1.49155    0.010075
          87     1.56842     1.49243  0.00999791
          88     1.42609     1.49168  0.00991268
          89      1.4627     1.49135  0.00980664
          90     1.48003     1.49123  0.00969849
          91     1.51471     1.49149  0.00959534
          92     1.44291     1.49096  0.00950556
          93     1.58911     1.49201  0.00946176
          94     1.57573      1.4929  0.00940292
          95     1.67635     1.49484  0.00950014
          96     1.68491     1.49682  0.00960529
          97     1.64836     1.49838  0.00963249
          98     1.58354     1.49925  0.00957331
          99     1.38355     1.49808  0.00954768
         100      1.5701      1.4988  0.00947933
         101     1.56778     1.49948  0.00941004
         102      1.4718     1.49921   0.0093217
         103     1.49842      1.4992   0.0092312
         104     1.50438     1.49925  0.00914258
         105     1.57191     1.49994  0.00908165
         106     1.50015     1.49995  0.00899598
         107     1.54952     1.50041  0.00892383
         108     1.34874     1.49901  0.00895102
         109     1.54701     1.49945  0.00887973
         110     1.62718     1.50061   0.0088746
         111     1.67853     1.50221  0.00893824
         112     1.67064     1.50371  0.00898406
         113     1.48883     1.50358  0.00890552
         114     1.58906     1.50433  0.00885891
         115     1.47955     1.50412   0.0087845
         116     1.55502     1.50456  0.00871972
         117     1.62294     1.50557   0.0087037
         118     1.41853     1.50483  0.00866114
         119     1.42411     1.50415  0.00861487
         120     1.50776     1.50418  0.00854314
         121     1.64189     1.50532    0.008548
         122       1.569     1.50584  0.00849385
         123     1.53741      1.5061  0.00842867
         124     1.49006     1.50597  0.00836169
         125      1.3582     1.50479  0.00837795
         126     1.49924     1.50474  0.00831157
         127      1.5321     1.50496  0.00824892
         128     1.51098       1.505  0.00818461
         129     1.42293     1.50437  0.00814585
         130     1.44841     1.50394  0.00809456
         131     1.63301     1.50492  0.00809251
         132     1.38332       1.504  0.00808347
         133     1.68465     1.50536    0.008136
         134     1.54894     1.50569  0.00808178
         135     1.49959     1.50564  0.00802205
         136     1.47124     1.50539  0.00796705
         137     1.59106     1.50601   0.0079334
         138     1.61371     1.50679  0.00791421
         139     1.41865     1.50616  0.00788263
         140     1.29574     1.50466  0.00796833
         141     1.40808     1.50397   0.0079412
         142     1.30508     1.50257  0.00800784
         143     1.86508     1.50511  0.00834346
         144     1.46641     1.50484  0.00828985
         145     1.51395      1.5049  0.00823292
         146     1.69116     1.50618  0.00827478
         147     1.64433     1.50712  0.00827169
         148     1.53148     1.50728  0.00821743
         149     1.57421     1.50773  0.00817455
         150     1.51501     1.50778   0.0081202
         151     1.51256     1.50781  0.00806648
         152     1.45784     1.50748  0.00802011
         153      1.4312     1.50698  0.00798317
         154      1.4708     1.50675  0.00793479
         155     1.69648     1.50797  0.00797746
         156     1.55817     1.50829  0.00793281
         157     1.55468     1.50859  0.00788779
         158     1.51676     1.50864  0.00783803
         159     1.35285     1.50766  0.00784974
         160     1.52011     1.50774  0.00780107
         161     1.54349     1.50796  0.00775577
         162     1.50469     1.50794  0.00770793
         163     1.69685      1.5091  0.00774728
         164      1.3621      1.5082  0.00775171
         165      1.6498     1.50906  0.00775209
         166     1.59263     1.50956  0.00772172
         167     1.40901     1.50896  0.00769892
         168     1.44701     1.50859  0.00766192
         169     1.61933     1.50925  0.00764455
         170      1.6164     1.50988  0.00762553
         171     1.54558     1.51009  0.00758379
         172     1.65967     1.51096   0.0075894
         173      1.4931     1.51085  0.00754623
         174     1.43517     1.51042  0.00751539
         175     1.83067     1.51225  0.00769202
         176     1.50097     1.51219  0.00764858
         177     1.52874     1.51228  0.00760594
         178      1.5108     1.51227  0.00756321
         179     1.28282     1.51099  0.00762882
         180     1.54193     1.51116  0.00758837
         181     1.44331     1.51079   0.0075557
         182     1.30647     1.50966  0.00759712
         183     1.49875      1.5096  0.00755584
         184     1.44496     1.50925  0.00752294
         185     1.54788     1.50946  0.00748518
         186     1.39376     1.50884  0.00747073
         187     1.55082     1.50906  0.00743415
         188     1.45322     1.50877  0.00740054
         189      1.5868     1.50918   0.0073729
         190      1.4624     1.50893   0.0073382
         191     1.44836     1.50862  0.00730663
         192     1.57972     1.50899  0.00727795
         193     1.61597     1.50954  0.00726132
         194     1.70984     1.51057  0.00729692
