#     BLOCK:   ACTUAL_P:     P_AVE:       ERROR:
           1     1.40776     1.40776           0
           2     1.34346     1.37561   0.0227319
           3     1.33288     1.36137   0.0191024
           4     1.44724     1.38283   0.0234717
           5     1.48093     1.40245    0.025701
           6     1.37858     1.39847   0.0217232
           7     1.40766     1.39979   0.0186595
           8      1.4243     1.40285   0.0165768
           9     1.43016     1.40589   0.0150101
          10     1.38448     1.40375   0.0136609
          11     1.42974     1.40611   0.0126217
          12      1.4431     1.40919   0.0119404
          13     1.45778     1.41293   0.0115921
          14     1.29088     1.40421   0.0136541
          15      1.3996      1.4039   0.0127473
          16     1.50541     1.41025   0.0134367
          17     1.36767     1.40774   0.0128776
          18     1.28558     1.40096   0.0138356
          19     1.43281     1.40263   0.0132085
          20     1.46646     1.40582   0.0129279
          21     1.41024     1.40603    0.012314
          22     1.41135     1.40628   0.0117567
          23     1.34602     1.40366   0.0115337
          24     1.38619     1.40293    0.011076
          25     1.34439     1.40059   0.0108777
          26     1.42851     1.40166   0.0105122
          27     1.42186     1.40241   0.0101494
          28      1.4208     1.40307  0.00980816
          29      1.4994     1.40639   0.0100167
          30     1.39534     1.40602  0.00968958
          31     1.33583     1.40375  0.00963795
          32     1.28855     1.40015  0.00998657
          33     1.29375     1.39693   0.0101912
          34     1.40221     1.39709  0.00989266
          35     1.46355     1.39898   0.0097906
          36     1.40504     1.39915  0.00952009
          37     1.38718     1.39883  0.00926829
          38     1.43917     1.39989  0.00908498
          39      1.3887      1.3996  0.00885656
          40     1.49971     1.40211  0.00898175
          41     1.38572     1.40171  0.00877157
          42     1.43054     1.40239  0.00858954
          43     1.44456     1.40337  0.00844557
          44     1.41648     1.40367  0.00825888
          45     1.33369     1.40212  0.00822046
          46     1.28361     1.39954   0.0084358
          47     1.46854     1.40101  0.00838309
          48     1.32946     1.39952  0.00833991
          49     1.42782      1.4001  0.00818968
          50     1.41969     1.40049  0.00803526
          51     1.47273      1.4019  0.00800159
          52     1.44055     1.40265  0.00788214
          53     1.33533     1.40138  0.00783508
          54      1.4249     1.40181  0.00770208
          55     1.33158     1.40054  0.00766716
          56     1.41483     1.40079   0.0075345
          57     1.33492     1.39964  0.00749042
          58     1.42192     1.40002  0.00737112
          59     1.45127     1.40089   0.0072972
          60     1.34296     1.39992  0.00723916
          61     1.27241     1.39783  0.00741614
          62     1.41861     1.39817  0.00730409
          63     1.39862     1.39817  0.00718816
          64     1.35878     1.39756  0.00710216
          65     1.38479     1.39736  0.00699561
          66     1.46088     1.39832  0.00695549
          67     1.40701     1.39845  0.00685288
          68     1.41258     1.39866  0.00675526
          69     1.34266     1.39785  0.00670593
          70     1.43799     1.39842  0.00663461
          71     1.29322     1.39694   0.0067046
          72     1.48323     1.39814  0.00671773
          73     1.42576     1.39852  0.00663635
          74     1.48391     1.39967  0.00664625
          75     1.42385         1.4  0.00656544
          76     1.31913     1.39893   0.0065647
          77     1.38731     1.39878  0.00648118
          78     1.40968     1.39892  0.00639959
          79     1.45117     1.39958  0.00635267
          80     1.47385     1.40051  0.00634073
          81     1.41406     1.40068  0.00626465
          82     1.30719     1.39954  0.00629114
          83     1.47363     1.40043  0.00627835
          84     1.40385     1.40047  0.00620374
          85     1.31679     1.39949  0.00620838
          86     1.42856     1.39982  0.00614539
          87     1.33416     1.39907  0.00612093
          88     1.41634     1.39927  0.00605452
          89     1.44355     1.39976   0.0060069
          90     1.34902      1.3992  0.00596656
          91     1.39631     1.39917  0.00590108
          92     1.39933     1.39917  0.00583693
          93      1.3267     1.39839  0.00582596
          94     1.35607     1.39794  0.00578136
          95       1.413      1.3981  0.00572267
          96     1.42363     1.39836  0.00566924
          97     1.32936     1.39765  0.00565525
          98     1.34224     1.39709  0.00562574
          99     1.37141     1.39683  0.00557489
         100     1.38058     1.39667  0.00552151
         101     1.41494     1.39685   0.0054698
         102     1.39369     1.39682  0.00541626
         103       1.395      1.3968  0.00536371
         104     1.42695     1.39709  0.00531996
         105     1.40792     1.39719   0.0052703
         106     1.36436     1.39688  0.00522967
         107     1.53253     1.39815  0.00533224
         108     1.31755      1.3974  0.00533485
         109     1.36151     1.39707  0.00529606
         110     1.35826     1.39672  0.00525965
         111     1.47896     1.39746  0.00526419
         112     1.45317     1.39796  0.00524064
         113     1.49206     1.39879     0.00526
         114     1.33421     1.39823  0.00524428
         115     1.34887      1.3978  0.00521621
         116     1.46304     1.39836  0.00520147
         117     1.34467      1.3979  0.00517722
         118     1.38121     1.39776  0.00513528
         119     1.34699     1.39733  0.00510981
         120     1.41414     1.39747  0.00506915
         121     1.44447     1.39786  0.00504211
         122     1.32304     1.39725  0.00503795
         123     1.31281     1.39656  0.00504354
         124      1.2987     1.39577  0.00506424
         125     1.44433     1.39616   0.0050386
         126     1.42434     1.39638  0.00500357
         127     1.46024     1.39689  0.00498937
         128     1.46644     1.39743   0.0049799
         129     1.48038     1.39807  0.00498264
         130     1.56833     1.39938  0.00511354
         131     1.47875     1.39999  0.00511027
         132     1.36135      1.3997  0.00507993
         133     1.42461     1.39988  0.00504518
         134     1.39747     1.39986  0.00500757
         135     1.35858     1.39956   0.0049798
         136     1.43963     1.39985   0.0049519
         137     1.43918     1.40014  0.00492407
         138     1.50242     1.40088  0.00494385
         139     1.44621     1.40121  0.00491903
         140     1.44255      1.4015  0.00489275
         141      1.4449     1.40181  0.00486772
         142     1.47029     1.40229  0.00485727
         143     1.48844      1.4029  0.00486052
         144     1.22557     1.40166  0.00498032
         145     1.31158     1.40104  0.00498458
         146     1.41503     1.40114  0.00495136
         147     1.33141     1.40066  0.00494034
         148     1.41605     1.40077  0.00490805
         149     1.40633     1.40081  0.00487526
         150     1.41077     1.40087  0.00484321
         151     1.33353     1.40043  0.00483162
         152     1.47272      1.4009  0.00482319
         153      1.3104     1.40031   0.0048278
         154     1.40537     1.40034  0.00479656
         155     1.45427     1.40069  0.00477822
         156     1.39205     1.40064  0.00474791
         157     1.39103     1.40057  0.00471806
         158     1.35856     1.40031  0.00469569
         159     1.32853     1.39986   0.0046878
