#     BLOCK:   ACTUAL_T:     T_AVE:       ERROR:
           1     1.10045     1.10045           0
           2     1.08203     1.09124  0.00651552
           3     1.08323     1.08857  0.00486052
           4      1.0936     1.08983  0.00380473
           5      1.0718     1.08622  0.00443466
           6     1.08788      1.0865  0.00370412
           7     1.08508      1.0863  0.00318046
           8      1.0678     1.08398  0.00352472
           9     1.07709     1.08322  0.00321517
          10     1.06177     1.08107  0.00353735
          11     1.11789     1.08442  0.00453026
          12     1.08802     1.08472  0.00416265
          13     1.10202     1.08605  0.00404959
          14     1.08724     1.08613  0.00376122
          15     1.09342     1.08662  0.00354165
          16     1.07898     1.08614  0.00335231
          17     1.07167     1.08529  0.00326135
          18     1.10348      1.0863  0.00323298
          19     1.08934     1.08646  0.00306677
          20     1.08226     1.08625  0.00292063
          21     1.06287     1.08514  0.00298624
          22     1.06954     1.08443  0.00293342
          23     1.09365     1.08483  0.00283316
          24     1.09418     1.08522  0.00274178
          25     1.05165     1.08388  0.00294263
          26      1.0721     1.08342  0.00286411
          27     1.08067     1.08332  0.00275985
          28     1.08076     1.08323  0.00266279
          29     1.07934      1.0831  0.00257435
          30      1.0807     1.08302  0.00248979
          31     1.10609     1.08376  0.00251831
          32      1.0822     1.08371  0.00244009
          33     1.05909     1.08297  0.00247761
          34     1.08076      1.0829  0.00240559
          35     1.10077     1.08341  0.00239043
          36     1.08334     1.08341  0.00232403
          37     1.09506     1.08372  0.00228246
          38     1.09577     1.08404  0.00224429
          39     1.09758     1.08439  0.00221342
          40     1.10172     1.08482  0.00220009
          41     1.07003     1.08446  0.00217583
          42     1.09149     1.08463  0.00213045
          43     1.09477     1.08486  0.00209393
          44     1.07278     1.08459  0.00206426
          45     1.08242     1.08454  0.00201896
          46     1.09341     1.08473  0.00198424
          47     1.09602     1.08497   0.0019565
          48     1.06845     1.08463   0.0019458
          49      1.0681     1.08429  0.00193512
          50      1.0904     1.08442  0.00190027
          51     1.10006     1.08472  0.00188762
          52     1.05315     1.08411  0.00194651
          53     1.08419     1.08412  0.00190979
          54     1.08565     1.08414  0.00187463
          55     1.09441     1.08433  0.00184981
          56     1.06723     1.08403  0.00184182
          57      1.0767      1.0839  0.00181398
          58     1.09253     1.08405  0.00178881
          59     1.08917     1.08413  0.00176059
          60     1.09929     1.08439  0.00174929
          61     1.09539     1.08457  0.00172988
          62     1.08342     1.08455  0.00170208
          63     1.09498     1.08471  0.00168309
          64     1.09518     1.08488  0.00166472
          65     1.09183     1.08498  0.00164254
          66     1.09568     1.08515  0.00162563
          67     1.08186      1.0851  0.00160211
          68     1.05128      1.0846  0.00165392
          69     1.08611     1.08462   0.0016301
          70     1.08621     1.08464  0.00160697
          71     1.09171     1.08474  0.00158742
          72     1.09269     1.08485   0.0015692
          73     1.07307     1.08469  0.00155598
          74     1.09867     1.08488  0.00154638
          75     1.08894     1.08494  0.00152671
          76     1.07628     1.08482  0.00151087
          77     1.08095     1.08477  0.00149208
          78     1.08053     1.08472  0.00147394
          79     1.09715     1.08487  0.00146366
          80     1.07688     1.08477  0.00144877
          81     1.08736     1.08481  0.00143124
          82     1.09809     1.08497  0.00142293
          83     1.10528     1.08521  0.00142669
          84     1.09467     1.08533  0.00141413
          85     1.09336     1.08542  0.00140065
          86     1.07045     1.08525  0.00139514
          87     1.08167     1.08521  0.00137971
          88     1.08699     1.08523  0.00136418
          89     1.09487     1.08533  0.00135315
          90     1.07536     1.08522  0.00134265
          91     1.10368     1.08543  0.00134312
          92     1.08658     1.08544  0.00132858
          93     1.09717     1.08556  0.00132027
          94      1.0726     1.08543  0.00131341
          95     1.07836     1.08535  0.00130169
          96     1.10822     1.08559  0.00130974
          97     1.09176     1.08565  0.00129778
          98     1.10289     1.08583  0.00129641
          99     1.06716     1.08564  0.00129695
         100     1.07094     1.08549   0.0012923
