#     BLOCK:   ACTUAL_T:     T_AVE:       ERROR:
           1         1.1         1.1           0
           2         1.1         1.1           0
           3         1.1         1.1           0
           4         1.1         1.1           0
           5         1.1         1.1           0
           6         1.1         1.1           0
           7         1.1         1.1 5.63211e-09
           8         1.1         1.1           0
           9         1.1         1.1           0
          10         1.1         1.1 4.71216e-09
          11         1.1         1.1 4.49287e-09
          12         1.1         1.1 4.30159e-09
          13         1.1         1.1 5.84472e-09
          14         1.1         1.1 5.63211e-09
          15         1.1         1.1 5.44113e-09
          16         1.1         1.1 5.26836e-09
          17         1.1         1.1 5.11106e-09
          18         1.1         1.1 4.96705e-09
          19         1.1         1.1 4.83458e-09
          20         1.1         1.1 4.71216e-09
          21         1.1         1.1  4.5986e-09
          22         1.1         1.1 5.50262e-09
          23         1.1         1.1 5.38167e-09
          24         1.1         1.1 5.26836e-09
          25         1.1         1.1 5.16191e-09
          26         1.1         1.1 5.06167e-09
          27         1.1         1.1 4.96705e-09
          28         1.1         1.1 4.87755e-09
          29         1.1         1.1 4.79272e-09
          30         1.1         1.1 4.71216e-09
          31         1.1         1.1 4.63554e-09
          32         1.1         1.1 4.56253e-09
          33         1.1         1.1 4.49287e-09
          34         1.1         1.1  4.4263e-09
          35         1.1         1.1 4.36261e-09
          36         1.1         1.1 4.30159e-09
          37         1.1         1.1 4.24307e-09
          38         1.1         1.1 4.18686e-09
          39         1.1         1.1 4.13284e-09
          40         1.1         1.1 4.08085e-09
          41         1.1         1.1 4.03078e-09
          42         1.1         1.1  3.9825e-09
          43         1.1         1.1 3.93592e-09
          44         1.1         1.1 3.89094e-09
          45         1.1         1.1 3.84746e-09
          46         1.1         1.1 3.80541e-09
          47         1.1         1.1 3.76471e-09
          48         1.1         1.1 3.72529e-09
          49         1.1         1.1 3.68708e-09
          50         1.1         1.1 3.65002e-09
          51         1.1         1.1 3.61406e-09
          52         1.1         1.1 3.57914e-09
          53         1.1         1.1 3.54522e-09
          54         1.1         1.1 3.51224e-09
          55         1.1         1.1 3.48016e-09
          56         1.1         1.1 3.44895e-09
          57         1.1         1.1 3.41856e-09
          58         1.1         1.1 3.38896e-09
          59         1.1         1.1 1.93997e-09
          60         1.1         1.1   3.332e-09
          61         1.1         1.1 4.26619e-09
          62         1.1         1.1 4.23165e-09
          63         1.1         1.1 4.96705e-09
          64         1.1         1.1  4.9281e-09
          65         1.1         1.1 4.89004e-09
          66         1.1         1.1 5.50262e-09
          67         1.1         1.1  5.4614e-09
          68         1.1         1.1 6.25974e-09
          69         1.1         1.1 6.21421e-09
          70         1.1         1.1   6.664e-09
          71         1.1         1.1 6.61691e-09
          72         1.1         1.1 6.57079e-09
          73         1.1         1.1  6.9762e-09
          74         1.1         1.1  6.9289e-09
          75         1.1         1.1 6.88255e-09
          76         1.1         1.1 7.25186e-09
          77         1.1         1.1 7.20462e-09
          78         1.1         1.1 7.15829e-09
          79         1.1         1.1 7.49759e-09
          80         1.1         1.1 7.45058e-09
          81         1.1         1.1 7.40445e-09
          82         1.1         1.1 7.89182e-09
          83         1.1         1.1 7.84413e-09
          84         1.1         1.1  7.7973e-09
          85         1.1         1.1  7.7513e-09
          86         1.1         1.1 8.03417e-09
          87         1.1         1.1 7.98786e-09
          88         1.1         1.1 7.94235e-09
          89         1.1         1.1  7.8976e-09
          90         1.1         1.1  8.1617e-09
          91         1.1         1.1 8.11673e-09
          92         1.1         1.1  8.0725e-09
          93         1.1         1.1 8.02898e-09
          94         1.1         1.1 8.27666e-09
          95         1.1         1.1 8.23298e-09
          96         1.1         1.1 8.18999e-09
          97         1.1         1.1 8.14767e-09
          98         1.1         1.1 8.10599e-09
          99         1.1         1.1 8.33841e-09
         100         1.1         1.1 8.29662e-09
         101         1.1         1.1 8.25544e-09
         102         1.1         1.1 8.21487e-09
         103         1.1         1.1  8.1749e-09
         104         1.1         1.1 8.52006e-09
         105         1.1         1.1  8.4794e-09
         106         1.1         1.1  8.4393e-09
         107         1.1         1.1 8.27533e-09
         108         1.1         1.1 8.23693e-09
         109         1.1         1.1 8.07387e-09
         110         1.1         1.1 8.28444e-09
         111         1.1         1.1 8.12485e-09
         112         1.1         1.1 7.96501e-09
         113         1.1         1.1 7.92968e-09
         114         1.1         1.1 7.77049e-09
         115         1.1         1.1 7.73663e-09
         116         1.1         1.1 7.57795e-09
         117         1.1         1.1 7.79296e-09
         118         1.1         1.1 7.63765e-09
         119         1.1         1.1 7.60549e-09
         120         1.1         1.1 7.45058e-09
         121         1.1         1.1 7.41973e-09
         122         1.1         1.1 7.38926e-09
         123         1.1         1.1 7.23547e-09
         124         1.1         1.1 7.45058e-09
         125         1.1         1.1 7.30005e-09
         126         1.1         1.1 7.27102e-09
         127         1.1         1.1 7.12061e-09
         128         1.1         1.1 7.09274e-09
         129         1.1         1.1  7.0652e-09
         130         1.1         1.1 6.91556e-09
         131         1.1         1.1 6.88912e-09
         132         1.1         1.1  6.7393e-09
         133         1.1         1.1 6.95814e-09
         134         1.1         1.1 6.93213e-09
         135         1.1         1.1 6.78629e-09
         136         1.1         1.1 6.76129e-09
         137         1.1         1.1 6.73657e-09
         138         1.1         1.1 6.59117e-09
         139         1.1         1.1 6.56742e-09
         140         1.1         1.1 6.54392e-09
         141         1.1         1.1 6.39878e-09
         142         1.1         1.1 6.37621e-09
         143         1.1         1.1 6.71044e-09
         144         1.1         1.1 6.57079e-09
         145         1.1         1.1  6.5481e-09
         146         1.1         1.1 6.52563e-09
         147         1.1         1.1 6.38621e-09
         148         1.1         1.1  6.3646e-09
         149         1.1         1.1 6.34321e-09
         150         1.1         1.1 6.20385e-09
         151         1.1         1.1 6.18327e-09
         152         1.1         1.1  6.1629e-09
         153         1.1         1.1 6.14272e-09
         154         1.1         1.1 6.23938e-09
         155         1.1         1.1 6.21922e-09
         156         1.1         1.1 6.19926e-09
         157         1.1         1.1 6.06397e-09
         158         1.1         1.1 6.04475e-09
         159         1.1         1.1 6.02571e-09
         160         1.1         1.1 6.00685e-09
         161         1.1         1.1 5.87188e-09
         162         1.1         1.1 5.85373e-09
         163         1.1         1.1 5.83575e-09
         164         1.1         1.1 5.81793e-09
         165         1.1         1.1 5.68308e-09
         166         1.1         1.1 5.66594e-09
         167         1.1         1.1 5.87961e-09
         168         1.1         1.1 5.86209e-09
         169         1.1         1.1 5.73122e-09
         170         1.1         1.1 5.71433e-09
         171         1.1         1.1  5.6976e-09
         172         1.1         1.1 5.68101e-09
         173         1.1         1.1 5.55012e-09
         174         1.1         1.1 5.53415e-09
         175         1.1         1.1 5.51832e-09
         176         1.1         1.1 5.50262e-09
         177         1.1         1.1 5.48705e-09
         178         1.1         1.1 5.35641e-09
         179         1.1         1.1 5.34143e-09
         180         1.1         1.1 5.32657e-09
         181         1.1         1.1 5.31184e-09
         182         1.1         1.1 5.29722e-09
         183         1.1         1.1 5.39635e-09
         184         1.1         1.1 5.38167e-09
         185         1.1         1.1  5.3671e-09
         186         1.1         1.1 5.35266e-09
         187         1.1         1.1 5.33832e-09
         188         1.1         1.1 5.21201e-09
         189         1.1         1.1  5.1982e-09
         190         1.1         1.1  5.1845e-09
         191         1.1         1.1 5.17091e-09
         192         1.1         1.1 5.15743e-09
         193         1.1         1.1 5.03098e-09
         194         1.1         1.1   5.018e-09
         195         1.1         1.1 5.00512e-09
         196         1.1         1.1 4.99233e-09
         197         1.1         1.1 4.97964e-09
         198         1.1         1.1 4.96705e-09
         199         1.1         1.1 4.84064e-09
         200         1.1         1.1 4.82853e-09
