#     BLOCK:   ACTUAL_TE:    TE_AVE:      ERROR:
           1    -47.7444    -47.7444           0
           2    -47.6572    -47.7008   0.0308575
           3    -47.6931    -47.6982   0.0206775
           4    -47.6953    -47.6975   0.0155209
           5    -47.7061    -47.6992   0.0125121
           6    -47.7136    -47.7016   0.0106518
           7    -47.6908    -47.7001  0.00924166
           8    -47.6635    -47.6955  0.00914764
           9    -47.7098    -47.6971  0.00826853
          10    -47.6714    -47.6945  0.00783048
          11    -47.6688    -47.6922  0.00745883
          12     -47.675    -47.6908  0.00697271
          13    -47.7104    -47.6923  0.00659807
          14    -47.6707    -47.6907  0.00630449
          15    -47.7051    -47.6917  0.00595653
          16    -47.6763    -47.6907  0.00566171
          17    -47.6586    -47.6888  0.00563602
          18    -47.7155    -47.6903  0.00551452
          19    -47.6895    -47.6903  0.00522447
          20    -47.6682    -47.6892  0.00507798
