#     BLOCK:   ACTUAL_TE:    TE_AVE:      ERROR:
           1    -3.77708    -3.77708           0
           2    -3.77586    -3.77647 0.000433379
           3    -3.77308    -3.77534 0.000966593
           4     -3.7745    -3.77513 0.000747356
           5    -3.77492    -3.77509  0.00059905
           6    -3.77427    -3.77495 0.000514603
           7    -3.77673    -3.77521 0.000499975
           8    -3.77486    -3.77516  0.00043933
           9    -3.77739    -3.77541 0.000454676
          10     -3.7759    -3.77546 0.000411825
          11    -3.77728    -3.77562  0.00040618
          12    -3.77583    -3.77564 0.000372693
          13    -3.77571    -3.77565  0.00034406
          14     -3.7756    -3.77564 0.000319503
          15    -3.77625    -3.77568 0.000300726
          16    -3.77436     -3.7756 0.000293027
          17    -3.77381     -3.7755  0.00029419
          18    -3.77519    -3.77548 0.000278337
          19    -3.77543    -3.77548 0.000263698
          20    -3.77461    -3.77543 0.000254003
          21    -3.77461    -3.77539 0.000244912
          22    -3.77671    -3.77545 0.000240959
          23    -3.77395    -3.77539 0.000239221
          24    -3.77594    -3.77541 0.000230351
          25    -3.77583    -3.77543 0.000221755
          26    -3.77651    -3.77547 0.000217079
          27    -3.77679    -3.77552 0.000214458
          28    -3.77747    -3.77559 0.000217847
          29    -3.77708    -3.77564 0.000216349
          30    -3.77763    -3.77571 0.000219089
          31    -3.77591    -3.77571 0.000212119
          32    -3.77867     -3.7758 0.000224741
          33    -3.77652    -3.77583 0.000218959
          34    -3.77706    -3.77586 0.000215526
          35     -3.7769    -3.77589 0.000211391
          36     -3.7772    -3.77593 0.000208617
          37    -3.77929    -3.77602 0.000221842
          38    -3.77669    -3.77604 0.000216709
          39    -3.77664    -3.77605 0.000211708
          40    -3.77595    -3.77605  0.00020643
          41    -3.77484    -3.77602 0.000203508
          42    -3.77478    -3.77599 0.000200809
          43    -3.77604    -3.77599 0.000196142
          44    -3.77585    -3.77599  0.00019171
          45    -3.77398    -3.77594  0.00019258
          46    -3.77672    -3.77596 0.000189131
          47    -3.77489    -3.77594 0.000186472
          48    -3.77399     -3.7759 0.000186962
          49    -3.77599     -3.7759 0.000183157
          50    -3.77607     -3.7759 0.000179524
          51    -3.77424    -3.77587 0.000178929
          52    -3.77525    -3.77586 0.000175884
          53    -3.77418    -3.77583 0.000175407
          54    -3.77461     -3.7758 0.000173594
          55    -3.77352    -3.77576 0.000175347
          56    -3.77423    -3.77574 0.000174338
          57    -3.77573    -3.77574  0.00017128
          58    -3.77721    -3.77576 0.000170197
          59    -3.77548    -3.77576 0.000167378
          60    -3.77622    -3.77576 0.000164767
          61    -3.77765    -3.77579 0.000164946
          62    -3.77512    -3.77578 0.000162646
          63    -3.77747    -3.77581  0.00016226
          64    -3.77632    -3.77582 0.000159922
          65    -3.77557    -3.77581 0.000157508
          66    -3.77761    -3.77584 0.000157448
          67    -3.77467    -3.77582 0.000156074
          68    -3.77701    -3.77584 0.000154757
          69     -3.7744    -3.77582 0.000153914
          70    -3.77401     -3.7758 0.000153876
          71    -3.77529    -3.77579 0.000151874
          72    -3.77455    -3.77577 0.000150728
          73    -3.77397    -3.77575 0.000150677
          74    -3.77512    -3.77574  0.00014888
          75    -3.77515    -3.77573 0.000147101
          76    -3.77602    -3.77573 0.000145216
          77    -3.77438    -3.77572  0.00014439
          78    -3.77437     -3.7757 0.000143563
          79    -3.77679    -3.77571 0.000142405
          80    -3.77686    -3.77573 0.000141347
          81    -3.77722    -3.77575 0.000140798
          82    -3.77755    -3.77577 0.000140795
          83    -3.77732    -3.77579 0.000140341
          84    -3.77389    -3.77576 0.000140467
          85    -3.77681    -3.77578 0.000139349
          86    -3.77689    -3.77579 0.000138333
          87     -3.7764     -3.7758 0.000136922
          88    -3.77554    -3.77579 0.000135398
          89    -3.77637     -3.7758 0.000134033
          90    -3.77495    -3.77579 0.000132872
          91    -3.77557    -3.77579 0.000131434
          92    -3.77643    -3.77579 0.000130188
          93    -3.77582    -3.77579 0.000128788
          94    -3.77579    -3.77579 0.000127418
          95      -3.777    -3.77581 0.000126709
          96     -3.7769    -3.77582 0.000125899
          97    -3.77463    -3.77581 0.000125201
          98    -3.77584    -3.77581 0.000123924
          99    -3.77612    -3.77581 0.000122712
         100    -3.77603    -3.77581 0.000121504
         101    -3.77484     -3.7758 0.000120686
         102    -3.77842    -3.77583  0.00012219
         103    -3.77769    -3.77585 0.000122336
         104    -3.77532    -3.77584 0.000121265
         105    -3.77411    -3.77582 0.000121224
         106    -3.77503    -3.77582 0.000120311
         107    -3.77607    -3.77582  0.00011921
         108    -3.77429    -3.77581  0.00011895
         109    -3.77503     -3.7758 0.000118074
         110    -3.77551     -3.7758 0.000117031
         111    -3.77467    -3.77579 0.000116416
         112    -3.77379    -3.77577 0.000116726
         113    -3.77476    -3.77576 0.000116035
         114    -3.77553    -3.77576 0.000115035
         115    -3.77523    -3.77575 0.000114125
         116    -3.77432    -3.77574 0.000113807
         117    -3.77366    -3.77572  0.00011421
         118     -3.7768    -3.77573 0.000113608
         119    -3.77669    -3.77574 0.000112937
         120    -3.77663    -3.77575 0.000112241
         121    -3.77627    -3.77575 0.000111397
         122    -3.77603    -3.77575 0.000110507
         123    -3.77687    -3.77576 0.000109979
         124    -3.77557    -3.77576 0.000109103
         125    -3.77754    -3.77578 0.000109155
         126    -3.77558    -3.77577   0.0001083
         127    -3.77642    -3.77578 0.000107568
         128    -3.77426    -3.77577 0.000107382
         129    -3.77682    -3.77577 0.000106857
         130    -3.77663    -3.77578 0.000106238
         131     -3.7743    -3.77577 0.000106024
         132    -3.77727    -3.77578 0.000105826
         133    -3.77483    -3.77577  0.00010527
         134    -3.77539    -3.77577 0.000104524
         135    -3.77697    -3.77578 0.000104124
         136    -3.77555    -3.77578 0.000103372
         137    -3.77577    -3.77578 0.000102617
         138    -3.77568    -3.77578 0.000101876
         139    -3.77728    -3.77579 0.000101711
         140    -3.77625    -3.77579 0.000101039
         141    -3.77642     -3.7758  0.00010042
         142    -3.77742    -3.77581 0.000100363
         143    -3.77326    -3.77579 0.000101234
         144    -3.77729     -3.7758 0.000101062
         145    -3.77737    -3.77581 0.000100944
         146     -3.7747     -3.7758 0.000100537
         147    -3.77349    -3.77579 0.000101074
         148    -3.77433    -3.77578 0.000100871
         149    -3.77462    -3.77577 0.000100492
         150    -3.77738    -3.77578 0.000100394
         151    -3.77609    -3.77578 9.97498e-05
         152    -3.77594    -3.77578 9.90987e-05
         153    -3.77631    -3.77579 9.85112e-05
         154    -3.77731     -3.7758 9.83647e-05
         155    -3.77408    -3.77579 9.83494e-05
         156    -3.77375    -3.77577 9.85845e-05
         157    -3.77579    -3.77577 9.79566e-05
         158    -3.77669    -3.77578 9.75099e-05
         159    -3.77511    -3.77578 9.69884e-05
         160    -3.77408    -3.77576 9.69566e-05
         161    -3.77425    -3.77576 9.68103e-05
         162    -3.77553    -3.77575 9.62224e-05
         163    -3.77672    -3.77576 9.58151e-05
         164    -3.77741    -3.77577  9.5757e-05
         165    -3.77661    -3.77577 9.53123e-05
         166    -3.77656    -3.77578 9.48561e-05
         167    -3.77538    -3.77578 9.43178e-05
         168    -3.77521    -3.77577 9.38168e-05
         169     -3.7746    -3.77577 9.35173e-05
         170     -3.7761    -3.77577 9.29873e-05
         171    -3.77612    -3.77577 9.24668e-05
         172    -3.77514    -3.77577 9.20009e-05
         173    -3.77436    -3.77576 9.18303e-05
         174    -3.77404    -3.77575 9.18308e-05
         175    -3.77393    -3.77574 9.18947e-05
         176    -3.77414    -3.77573 9.18202e-05
         177    -3.77476    -3.77572 9.14636e-05
         178    -3.77511    -3.77572 9.10141e-05
         179    -3.77623    -3.77572 9.05495e-05
         180    -3.77456    -3.77572 9.02763e-05
         181    -3.77583    -3.77572 8.97799e-05
         182    -3.77539    -3.77572 8.93044e-05
         183    -3.77685    -3.77572 8.90317e-05
         184    -3.77694    -3.77573 8.87927e-05
         185      -3.776    -3.77573  8.8325e-05
         186    -3.77654    -3.77573 8.79566e-05
         187    -3.77572    -3.77573 8.74863e-05
         188    -3.77792    -3.77575 8.77927e-05
         189    -3.77619    -3.77575 8.73596e-05
         190    -3.77524    -3.77575 8.69403e-05
         191    -3.77658    -3.77575 8.65936e-05
         192     -3.7768    -3.77576 8.63158e-05
         193    -3.77761    -3.77577 8.64036e-05
         194    -3.77625    -3.77577 8.59947e-05
         195    -3.77585    -3.77577 8.55548e-05
         196    -3.77649    -3.77577 8.51969e-05
         197     -3.7779    -3.77578 8.54441e-05
         198    -3.77714    -3.77579 8.52861e-05
         199    -3.77603    -3.77579 8.48662e-05
         200    -3.77794     -3.7758 8.51213e-05
         201    -3.77658    -3.77581 8.47858e-05
         202    -3.77501     -3.7758 8.44579e-05
         203    -3.77525     -3.7758 8.40859e-05
         204    -3.77706     -3.7758 8.39008e-05
         205     -3.7771    -3.77581 8.37281e-05
         206    -3.77661    -3.77582 8.34115e-05
         207    -3.77731    -3.77582 8.33225e-05
         208    -3.77595    -3.77582 8.29241e-05
         209    -3.77708    -3.77583 8.27458e-05
         210    -3.77624    -3.77583 8.23751e-05
         211    -3.77558    -3.77583 8.19932e-05
         212    -3.77635    -3.77583 8.16432e-05
         213    -3.77626    -3.77583  8.1285e-05
         214    -3.77818    -3.77585 8.16416e-05
         215    -3.77567    -3.77584 8.12658e-05
         216    -3.77546    -3.77584 8.09091e-05
         217    -3.77743    -3.77585 8.08658e-05
         218    -3.77558    -3.77585 8.05041e-05
         219    -3.77496    -3.77584 8.02397e-05
         220    -3.77322    -3.77583 8.07537e-05
         221    -3.77391    -3.77582 8.08546e-05
         222    -3.77346    -3.77581 8.11904e-05
         223     -3.7752    -3.77581 8.08724e-05
         224    -3.77716    -3.77582 8.07351e-05
         225    -3.77497    -3.77581 8.04639e-05
         226    -3.77552    -3.77581  8.0118e-05
         227    -3.77495    -3.77581  7.9854e-05
         228    -3.77602    -3.77581  7.9509e-05
         229    -3.77336     -3.7758 7.98759e-05
         230    -3.77642     -3.7758 7.95742e-05
