#     BLOCK:   ACTUAL_TE:    TE_AVE:      ERROR:
           1    -3.80757    -3.80757           0
           2    -3.82655    -3.81706  0.00671329
           3    -3.82546    -3.81986  0.00502609
           4    -3.80546    -3.81626  0.00489243
           5    -3.79521    -3.81205  0.00543063
           6    -3.81871    -3.81316  0.00463765
           7    -3.81289    -3.81312  0.00397529
           8    -3.80774    -3.81245  0.00353478
           9    -3.80876    -3.81204  0.00316576
          10    -3.81875    -3.81271  0.00291943
          11    -3.80675    -3.81217  0.00270386
          12    -3.80772     -3.8118  0.00250385
          13    -3.80179    -3.81103  0.00242674
          14    -3.82993    -3.81238  0.00260197
          15     -3.8131    -3.81243  0.00242894
          16    -3.79166    -3.81113  0.00260087
          17       -3.82    -3.81165  0.00249973
          18    -3.83122    -3.81274  0.00258645
          19    -3.80501    -3.81233  0.00248206
          20    -3.79927    -3.81168  0.00244233
          21    -3.81564    -3.81187  0.00233331
          22    -3.81302    -3.81192  0.00222784
          23    -3.82519     -3.8125  0.00220445
          24    -3.81672    -3.81267  0.00211961
          25    -3.82623    -3.81321  0.00210308
          26    -3.80774      -3.813  0.00203271
          27    -3.80859    -3.81284  0.00196397
          28    -3.81036    -3.81275  0.00189583
          29    -3.79275    -3.81206  0.00195192
          30    -3.81354    -3.81211  0.00188748
          31    -3.82407     -3.8125  0.00186561
          32    -3.83127    -3.81308  0.00189727
          33    -3.83564    -3.81377  0.00195906
          34    -3.81212    -3.81372  0.00190204
          35    -3.79876    -3.81329  0.00189513
          36    -3.81331    -3.81329  0.00184248
          37    -3.82349    -3.81357  0.00181318
          38    -3.80663    -3.81338  0.00177463
          39    -3.82359    -3.81365  0.00174831
          40     -3.7983    -3.81326   0.0017462
          41    -3.81837    -3.81339  0.00170805
          42    -3.81056    -3.81332  0.00166871
          43    -3.80653    -3.81316  0.00163735
          44    -3.81046     -3.8131  0.00160128
          45    -3.82481    -3.81336   0.0015867
          46    -3.83307    -3.81379  0.00160902
          47    -3.79624    -3.81342  0.00161753
          48    -3.82605    -3.81368  0.00160509
          49    -3.80618    -3.81353  0.00157962
          50    -3.80437    -3.81334  0.00155861
          51    -3.80021    -3.81308  0.00154918
          52    -3.80316    -3.81289  0.00153111
          53    -3.82514    -3.81312  0.00151955
          54    -3.80489    -3.81297  0.00149905
          55    -3.82574     -3.8132  0.00148966
          56    -3.81822    -3.81329  0.00146574
          57    -3.82682    -3.81353  0.00145912
          58    -3.81068    -3.81348  0.00143479
          59    -3.80532    -3.81334  0.00141712
          60    -3.82464    -3.81353  0.00140595
          61    -3.83878    -3.81395  0.00144253
          62    -3.81069    -3.81389  0.00142022
          63    -3.81352    -3.81389  0.00139769
          64    -3.82419    -3.81405  0.00138509
          65    -3.81672    -3.81409  0.00136439
          66    -3.80559    -3.81396  0.00134977
          67     -3.8134    -3.81395  0.00132965
          68    -3.81151    -3.81392  0.00131058
          69    -3.82813    -3.81412  0.00130767
          70    -3.81056    -3.81407  0.00128998
          71    -3.83541    -3.81437  0.00130635
          72    -3.78706    -3.81399  0.00134216
          73    -3.81227    -3.81397  0.00132399
          74    -3.80449    -3.81384  0.00131228
          75    -3.81103     -3.8138  0.00129531
          76    -3.82227    -3.81391  0.00128305
          77    -3.81318    -3.81391  0.00126642
          78    -3.80978    -3.81385  0.00125129
          79    -3.79852    -3.81366  0.00125041
          80    -3.80281    -3.81352  0.00124211
          81    -3.81183     -3.8135  0.00122695
          82    -3.82947     -3.8137  0.00122734
          83    -3.79654    -3.81349  0.00122985
          84    -3.81319    -3.81349  0.00121521
          85     -3.8321    -3.81371  0.00122048
          86    -3.80674    -3.81362  0.00120897
          87     -3.8255    -3.81376  0.00120276
          88    -3.80901    -3.81371   0.0011903
          89    -3.80989    -3.81366   0.0011777
          90    -3.82146    -3.81375  0.00116779
          91    -3.81699    -3.81379   0.0011555
          92    -3.81559    -3.81381  0.00114311
          93    -3.82275     -3.8139  0.00113486
          94    -3.82636    -3.81403   0.0011305
          95    -3.81561    -3.81405  0.00111872
          96    -3.81077    -3.81402  0.00110759
          97    -3.82794    -3.81416  0.00110543
          98    -3.82493    -3.81427   0.0010996
          99    -3.81405    -3.81427  0.00108849
         100    -3.81743     -3.8143  0.00107807
         101    -3.81357    -3.81429  0.00106742
         102    -3.81595    -3.81431  0.00105708
         103    -3.82195    -3.81438  0.00104942
         104     -3.8092    -3.81433  0.00104051
         105     -3.8151    -3.81434  0.00103063
         106    -3.81371    -3.81433  0.00102092
         107    -3.79342    -3.81414  0.00102991
         108    -3.83108     -3.8143  0.00103226
         109    -3.82747    -3.81442  0.00102984
         110    -3.81228     -3.8144  0.00102066
         111    -3.80384     -3.8143  0.00101589
         112    -3.79926    -3.81417  0.00101566
         113    -3.80535    -3.81409  0.00100967
         114    -3.82703     -3.8142  0.00100717
         115    -3.82524     -3.8143  0.00100297
         116    -3.80238     -3.8142  0.00099958
         117    -3.81886    -3.81424  0.00099183
         118    -3.82426    -3.81432 0.000987058
         119    -3.82977    -3.81445 0.000987259
         120    -3.81441    -3.81445 0.000979031
         121    -3.80728    -3.81439 0.000972734
         122     -3.8286    -3.81451 0.000971704
         123    -3.83533    -3.81468  0.00097844
         124    -3.83273    -3.81482  0.00098132
         125    -3.80823    -3.81477 0.000974885
         126    -3.81222    -3.81475 0.000967357
         127    -3.80074    -3.81464 0.000966014
         128    -3.80368    -3.81455 0.000962254
         129    -3.80081    -3.81445 0.000960679
         130     -3.7792    -3.81418 0.000990802
         131    -3.79643    -3.81404 0.000992461
         132    -3.82319    -3.81411 0.000987358
         133    -3.80346    -3.81403 0.000983174
         134    -3.81205    -3.81402 0.000975947
         135    -3.81578    -3.81403 0.000968806
         136    -3.80493    -3.81396 0.000963989
         137    -3.80713    -3.81391 0.000958243
         138    -3.79352    -3.81376 0.000962629
         139     -3.7993    -3.81366 0.000961313
         140    -3.80662    -3.81361 0.000955762
         141    -3.80495    -3.81355 0.000950954
         142    -3.79685    -3.81343 0.000951498
         143    -3.79779    -3.81332 0.000951107
         144     -3.8466    -3.81355 0.000972172
         145      -3.832    -3.81368 0.000973756
         146     -3.8151    -3.81369 0.000967136
         147    -3.82383    -3.81376 0.000963016
         148    -3.80667    -3.81371 0.000957701
         149    -3.81253     -3.8137 0.000951306
         150    -3.81071    -3.81368 0.000945173
         151    -3.83508    -3.81382 0.000949478
         152    -3.80005    -3.81373 0.000947544
         153    -3.82966    -3.81384  0.00094705
         154    -3.81517    -3.81385  0.00094094
         155    -3.80595     -3.8138 0.000936246
         156     -3.8168    -3.81381 0.000930443
         157    -3.81588    -3.81383 0.000924609
         158    -3.81804    -3.81385 0.000919141
         159    -3.82524    -3.81393 0.000916145
         160    -3.82176    -3.81397 0.000911726
         161    -3.81245    -3.81397 0.000906112
         162    -3.81134    -3.81395 0.000900664
         163    -3.81295    -3.81394 0.000895159
         164    -3.80198    -3.81387 0.000892665
         165    -3.80887    -3.81384 0.000887769
         166    -3.80752     -3.8138 0.000883236
         167    -3.81453    -3.81381 0.000877958
         168    -3.82431    -3.81387 0.000874956
         169     -3.7947    -3.81376 0.000877102
         170    -3.81688    -3.81377 0.000872135
         171    -3.79982    -3.81369 0.000870845
         172    -3.82332    -3.81375  0.00086758
         173    -3.82144    -3.81379 0.000863703
         174    -3.82476    -3.81386 0.000861038
         175    -3.80409     -3.8138 0.000857923
         176    -3.81107    -3.81378 0.000853189
         177     -3.8082    -3.81375 0.000848952
         178    -3.83027    -3.81385 0.000849239
         179    -3.82589    -3.81391 0.000847154
         180    -3.83107    -3.81401 0.000847795
         181    -3.80824    -3.81398  0.00084371
         182    -3.79006    -3.81384 0.000849244
         183    -3.81991    -3.81388 0.000845251
         184    -3.83063    -3.81397 0.000845546
         185    -3.81207    -3.81396 0.000841037
         186    -3.81309    -3.81395 0.000836528
         187    -3.80361     -3.8139 0.000833881
         188    -3.81792    -3.81392  0.00082972
         189    -3.82642    -3.81399 0.000827963
         190    -3.81474    -3.81399 0.000823615
         191    -3.83775    -3.81411  0.00082864
         192    -3.81669    -3.81413 0.000824433
         193    -3.81261    -3.81412 0.000820199
         194    -3.82189    -3.81416 0.000816949
         195    -3.78725    -3.81402 0.000824334
         196    -3.83085    -3.81411  0.00082459
         197    -3.82716    -3.81417 0.000823061
         198    -3.83215    -3.81427 0.000823895
         199    -3.81478    -3.81427 0.000819759
         200    -3.79671    -3.81418 0.000820345
         201    -3.83275    -3.81427 0.000821448
         202    -3.81855    -3.81429 0.000817654
         203    -3.81526     -3.8143  0.00081364
         204    -3.82565    -3.81435 0.000811551
         205    -3.79462    -3.81426 0.000813279
         206    -3.81653    -3.81427 0.000809405
         207    -3.80565    -3.81423 0.000806565
         208    -3.80324    -3.81417 0.000804417
         209    -3.81105    -3.81416 0.000800707
         210    -3.83123    -3.81424 0.000801008
         211    -3.80298    -3.81419 0.000798989
         212    -3.83002    -3.81426 0.000798703
         213    -3.81642    -3.81427 0.000795018
         214    -3.80709    -3.81424  0.00079201
         215    -3.81273    -3.81423 0.000788357
         216    -3.83198    -3.81431 0.000788979
         217    -3.80784    -3.81428 0.000785907
         218    -3.81668    -3.81429 0.000782379
         219    -3.81487     -3.8143  0.00077881
         220    -3.80846    -3.81427 0.000775722
         221     -3.8096    -3.81425   0.0007725
         222    -3.81656    -3.81426 0.000769091
         223    -3.80826    -3.81423 0.000766113
         224    -3.83446    -3.81432 0.000767997
         225     -3.8278    -3.81438 0.000766916
         226    -3.82845    -3.81445 0.000766045
         227    -3.83919    -3.81455 0.000770385
         228    -3.82894    -3.81462 0.000769586
         229    -3.82526    -3.81466 0.000767628
         230     -3.8285    -3.81472 0.000766643
         231    -3.79238    -3.81463 0.000769403
         232    -3.83124     -3.8147 0.000769411
         233    -3.81163    -3.81469 0.000766222
         234    -3.78475    -3.81456 0.000773552
         235    -3.82149    -3.81459 0.000770822
         236    -3.81332    -3.81458 0.000767575
         237    -3.81981     -3.8146 0.000764654
         238     -3.8165    -3.81461 0.000761482
         239    -3.83325    -3.81469 0.000762277
         240    -3.84356    -3.81481 0.000768532
         241    -3.82384    -3.81485 0.000766256
         242    -3.82988    -3.81491 0.000765605
         243    -3.81349     -3.8149 0.000762476
         244    -3.80976    -3.81488 0.000759643
         245    -3.80967    -3.81486  0.00075684
         246    -3.84051    -3.81497  0.00076091
         247    -3.82027    -3.81499 0.000758132
         248    -3.78871    -3.81488 0.000762443
         249    -3.81166    -3.81487 0.000759491
         250     -3.8163    -3.81487 0.000756474
