# DISTANCE:     AVE_GOFR:        ERROR:
           0           0           0
   0.0230664           0           0
   0.0461329           0           0
   0.0691993           0           0
   0.0922657           0           0
    0.115332           0           0
    0.138399           0           0
    0.161465           0           0
    0.184531           0           0
    0.207598           0           0
    0.230664           0           0
    0.253731           0           0
    0.276797           0           0
    0.299864           0           0
     0.32293           0           0
    0.345996           0           0
    0.369063           0           0
    0.392129           0           0
    0.415196           0           0
    0.438262           0           0
    0.461329           0           0
    0.484395           0           0
    0.507461           0           0
    0.530528           0           0
    0.553594           0           0
    0.576661           0           0
    0.599727           0           0
    0.622794           0           0
     0.64586           0           0
    0.668926           0           0
    0.691993           0           0
    0.715059           0           0
    0.738126           0           0
    0.761192           0           0
    0.784259           0           0
    0.807325           0           0
    0.830391 7.20995e-06 1.86314e-06
    0.853458 0.000957211 2.32202e-05
    0.876524   0.0166239 0.000150786
    0.899591    0.119159 0.000378954
    0.922657    0.455675 0.000877907
    0.945724     1.12244  0.00130287
     0.96879     2.00949  0.00169823
    0.991856     2.86805  0.00150325
     1.01492     3.45971  0.00130555
     1.03799      3.6998  0.00161191
     1.06106     3.60398  0.00197745
     1.08412     3.27461  0.00220626
     1.10719     2.80275   0.0015641
     1.13026     2.29049    0.001597
     1.15332     1.79723  0.00100503
     1.17639     1.36131 0.000667827
     1.19945    0.998817 0.000559585
     1.22252    0.716935 0.000673578
     1.24559    0.509273  0.00079539
     1.26865     0.36615 0.000911961
     1.29172    0.280257 0.000814585
     1.31479    0.240505 0.000855118
     1.33785    0.239211 0.000777732
     1.36092    0.269184 0.000630023
     1.38399    0.325111 0.000522586
     1.40705    0.398385 0.000376965
     1.43012     0.48136 0.000383591
     1.45319    0.562662 0.000496969
     1.47625    0.631392   0.0006899
     1.49932    0.678622 0.000719001
     1.52238    0.696789 0.000714971
     1.54545    0.683869 0.000754753
     1.56852    0.646072 0.000614143
     1.59158    0.592987   0.0004192
     1.61465    0.539293 0.000407864
     1.63772    0.505644 0.000622775
     1.66078    0.508539 0.000786999
     1.68385    0.565734 0.000970651
     1.70692    0.686287 0.000956833
     1.72998    0.870795 0.000953885
     1.75305     1.10631 0.000723925
     1.77612     1.36755 0.000534949
     1.79918     1.61655 0.000740694
     1.82225     1.81708  0.00101716
     1.84531     1.93669  0.00128978
     1.86838     1.95875  0.00135665
     1.89145     1.88408  0.00150597
     1.91451     1.73006  0.00117158
     1.93758     1.52734 0.000781573
     1.96065     1.31384 0.000495627
     1.98371     1.11852 0.000555222
     2.00678    0.967269 0.000748843
     2.02985    0.865997 0.000852282
     2.05291    0.814925 0.000854038
     2.07598    0.801163 0.000780947
     2.09905    0.809468 0.000586708
     2.12211    0.823701 0.000403136
     2.14518    0.833118 0.000402211
     2.16824     0.83057 0.000432419
     2.19131    0.809595 0.000364613
     2.21438    0.791718 0.000500928
     2.23744    0.789261  0.00047037
     2.26051    0.802616 0.000500362
     2.28358    0.838601 0.000560184
