# DISTANCE:     AVE_GOFR:        ERROR:
           0           0           0
   0.0230664           0           0
   0.0461329           0           0
   0.0691993           0           0
   0.0922657           0           0
    0.115332           0           0
    0.138399           0           0
    0.161465           0           0
    0.184531           0           0
    0.207598           0           0
    0.230664           0           0
    0.253731           0           0
    0.276797           0           0
    0.299864           0           0
     0.32293           0           0
    0.345996           0           0
    0.369063           0           0
    0.392129           0           0
    0.415196           0           0
    0.438262           0           0
    0.461329           0           0
    0.484395           0           0
    0.507461           0           0
    0.530528           0           0
    0.553594           0           0
    0.576661           0           0
    0.599727           0           0
    0.622794           0           0
     0.64586           0           0
    0.668926           0           0
    0.691993           0           0
    0.715059           0           0
    0.738126           0           0
    0.761192           0           0
    0.784259           0           0
    0.807325           0           0
    0.830391           0           0
    0.853458           0           0
    0.876524 7.27568e-05 1.45353e-05
    0.899591  0.00343976 0.000129388
    0.922657   0.0497872 0.000464799
    0.945724    0.311005  0.00105578
     0.96879     1.04536   0.0018634
    0.991856     2.28717  0.00314461
     1.01492     3.63917  0.00393994
     1.03799     4.58192  0.00473736
     1.06106       4.841  0.00431887
     1.08412     4.43488  0.00444775
     1.10719     3.61928  0.00412289
     1.13026     2.68337  0.00350105
     1.15332     1.82574  0.00281384
     1.17639     1.14894  0.00199255
     1.19945    0.672691  0.00165822
     1.22252    0.367576  0.00129779
     1.24559     0.18788 0.000999054
     1.26865   0.0953241 0.000802278
     1.29172   0.0537422 0.000632518
     1.31479   0.0462797  0.00059546
     1.33785   0.0645075 0.000742291
     1.36092    0.111471 0.000962403
     1.38399    0.191398  0.00111062
     1.40705    0.307349  0.00124349
     1.43012    0.458285  0.00123294
     1.45319    0.628413  0.00124807
     1.47625    0.787453  0.00156364
     1.49932    0.908553    0.002026
     1.52238    0.956059  0.00211132
     1.54545     0.91797   0.0020812
     1.56852    0.801412  0.00160945
     1.59158    0.639583   0.0011479
     1.61465    0.468397 0.000973399
     1.63772    0.323732 0.000979714
     1.66078    0.227535   0.0010562
     1.68385    0.202905  0.00119451
     1.70692    0.269902  0.00137312
     1.72998    0.451616  0.00149448
     1.75305    0.770471  0.00159826
     1.77612     1.21447  0.00166472
     1.79918     1.72984  0.00166591
     1.82225     2.21995  0.00207719
     1.84531     2.56343  0.00246652
     1.86838     2.67701  0.00300567
     1.89145     2.52463  0.00314478
     1.91451     2.16136  0.00254582
     1.93758       1.685   0.0016862
     1.96065     1.21171   0.0014053
     1.98371    0.820259  0.00148447
     2.00678    0.563764  0.00155393
     2.02985    0.454541  0.00157796
     2.05291    0.479476  0.00143682
     2.07598    0.598174  0.00108641
     2.09905    0.760243 0.000884522
     2.12211    0.907248  0.00102868
     2.14518    0.992403  0.00140356
     2.16824     0.99303   0.0014225
     2.19131    0.913739  0.00126261
     2.21438    0.789945  0.00100437
     2.23744    0.666235  0.00121915
     2.26051    0.588764   0.0015876
     2.28358    0.590593  0.00181765
