# DISTANCE:     AVE_GOFR:        ERROR:
           0           0           0
   0.0230664           0           0
   0.0461329           0           0
   0.0691993           0           0
   0.0922657           0           0
    0.115332           0           0
    0.138399           0           0
    0.161465           0           0
    0.184531           0           0
    0.207598           0           0
    0.230664           0           0
    0.253731           0           0
    0.276797           0           0
    0.299864           0           0
     0.32293           0           0
    0.345996           0           0
    0.369063           0           0
    0.392129           0           0
    0.415196           0           0
    0.438262           0           0
    0.461329           0           0
    0.484395           0           0
    0.507461           0           0
    0.530528           0           0
    0.553594           0           0
    0.576661           0           0
    0.599727           0           0
    0.622794           0           0
     0.64586           0           0
    0.668926           0           0
    0.691993           0           0
    0.715059           0           0
    0.738126           0           0
    0.761192           0           0
    0.784259           0           0
    0.807325           0           0
    0.830391           0           0
    0.853458  1.9405e-07 1.93565e-07
    0.876524 8.89209e-05 6.90945e-06
    0.899591  0.00333129 4.40556e-05
    0.922657    0.047126 0.000180349
    0.945724    0.293139 0.000523235
     0.96879     1.00616 0.000959555
    0.991856     2.24213  0.00133956
     1.01492     3.62561  0.00110965
     1.03799     4.61937  0.00131201
     1.06106     4.89584   0.0016798
     1.08412     4.49121  0.00184605
     1.10719     3.65828  0.00154857
     1.13026     2.69379  0.00095831
     1.15332     1.81572 0.000662892
     1.17639     1.12965 0.000638974
     1.19945    0.654463 0.000578978
     1.22252    0.353474 0.000550109
     1.24559     0.18008 0.000392089
     1.26865   0.0893892 0.000281091
     1.29172   0.0494233 0.000216157
     1.31479   0.0423023 0.000199815
     1.33785    0.060821 0.000236813
     1.36092     0.10616 0.000283369
     1.38399    0.184255 0.000323404
     1.40705    0.300857 0.000351267
     1.43012    0.453475 0.000320548
     1.45319    0.628789 0.000345494
     1.47625    0.796306 0.000484269
     1.49932     0.92061 0.000588726
     1.52238    0.969603 0.000699187
     1.54545    0.928907 0.000612276
     1.56852    0.808232 0.000476924
     1.59158    0.641448 0.000310357
     1.61465    0.465846 0.000265469
     1.63772    0.317101 0.000348438
     1.66078    0.219878 0.000387579
     1.68385     0.19226 0.000457961
     1.70692    0.255172 0.000508523
     1.72998    0.434071 0.000625781
     1.75305    0.750165 0.000643115
     1.77612     1.19847 0.000575329
     1.79918     1.72796 0.000462287
     1.82225     2.23604 0.000601821
     1.84531     2.59603  0.00107648
     1.86838     2.71205  0.00124332
     1.89145     2.55596  0.00115559
     1.91451     2.17968  0.00078455
     1.93758     1.68975 0.000460955
     1.96065     1.20122   0.0004481
     1.98371    0.802197 0.000559529
     2.00678    0.543181 0.000652354
     2.02985    0.434698 0.000630044
     2.05291    0.461736 0.000549248
     2.07598    0.586897 0.000399071
     2.09905    0.758381 0.000261105
     2.12211    0.917066 0.000311915
     2.14518     1.01475 0.000419544
     2.16824     1.02128 0.000522165
     2.19131    0.919482 0.000374696
     2.21438    0.780809  0.00026612
     2.23744    0.653595 0.000363413
     2.26051     0.57273 0.000565711
     2.28358    0.573913 0.000648636
