#     BLOCK:   ACTUAL_KE:    KE_AVE:      ERROR:
           1      2.3175      2.3175           0
           2      2.3175      2.3175           0
           3      2.3175      2.3175           0
           4      2.3175      2.3175           0
           5      2.3175      2.3175           0
           6      2.3175      2.3175           0
           7      2.3175      2.3175 1.12642e-08
           8      2.3175      2.3175           0
           9      2.3175      2.3175           0
          10      2.3175      2.3175 9.42432e-09
          11      2.3175      2.3175 8.98574e-09
          12      2.3175      2.3175 8.60319e-09
          13      2.3175      2.3175 1.16894e-08
          14      2.3175      2.3175 1.12642e-08
          15      2.3175      2.3175 1.08823e-08
          16      2.3175      2.3175 1.05367e-08
          17      2.3175      2.3175 1.02221e-08
          18      2.3175      2.3175 9.93411e-09
          19      2.3175      2.3175 9.66915e-09
          20      2.3175      2.3175 9.42432e-09
          21      2.3175      2.3175  9.1972e-09
          22      2.3175      2.3175 1.10052e-08
          23      2.3175      2.3175 1.07633e-08
          24      2.3175      2.3175 1.05367e-08
          25      2.3175      2.3175 1.03238e-08
          26      2.3175      2.3175 1.01233e-08
          27      2.3175      2.3175 9.93411e-09
          28      2.3175      2.3175  9.7551e-09
          29      2.3175      2.3175 1.35558e-08
          30      2.3175      2.3175  1.3328e-08
          31      2.3175      2.3175 1.51396e-08
          32      2.3175      2.3175 1.49012e-08
          33      2.3175      2.3175 1.46736e-08
          34      2.3175      2.3175 1.61626e-08
          35      2.3175      2.3175   1.593e-08
          36      2.3175      2.3175 1.57072e-08
          37      2.3175      2.3175 1.76653e-08
          38      2.3175      2.3175 1.74313e-08
          39      2.3175      2.3175 1.72064e-08
          40      2.3175      2.3175 1.82501e-08
          41      2.3175      2.3175 1.80262e-08
          42      2.3175      2.3175 1.78103e-08
          43      2.3175      2.3175  1.7602e-08
          44      2.3175      2.3175 1.85246e-08
          45      2.3175      2.3175 1.83176e-08
          46      2.3175      2.3175 1.81174e-08
          47      2.3175      2.3175 1.79236e-08
          48      2.3175      2.3175 1.77359e-08
          49      2.3175      2.3175 1.85579e-08
          50      2.3175      2.3175 1.78814e-08
