#     BLOCK:   ACTUAL_KE:    KE_AVE:      ERROR:
           1     1.20004     1.20004           0
           2     1.20299     1.20152  0.00104234
           3     1.20558     1.20287  0.00130642
           4     1.19666     1.20132  0.00166462
           5     1.20784     1.20262  0.00177102
           6     1.20641     1.20325  0.00158418
           7     1.19918     1.20267  0.00146075
           8     1.20671     1.20318  0.00136242
           9     1.20162       1.203  0.00122202
          10      1.2031     1.20301  0.00109986
          11     1.20324     1.20303  0.00100007
          12     1.20604     1.20328 0.000947482
          13     1.20566     1.20347 0.000892054
          14     1.20465     1.20355 0.000832345
          15     1.20608     1.20372 0.000793759
          16     1.19894     1.20342  0.00079844
          17      1.1947     1.20291 0.000901454
          18     1.21054     1.20333 0.000945772
          19     1.19834     1.20307 0.000931736
          20     1.20841     1.20334 0.000922647
          21     1.20465      1.2034 0.000880824
          22     1.19939     1.20322 0.000859455
          23     1.20274      1.2032 0.000822337
          24     1.20703     1.20336 0.000803454
          25     1.20675     1.20349 0.000782706
          26     1.20269     1.20346 0.000753215
          27     1.19786     1.20325 0.000753306
          28      1.2085     1.20344  0.00074939
          29     1.20475     1.20349 0.000724899
          30     1.19459     1.20319 0.000758902
          31      1.2048     1.20324 0.000736197
          32      1.2068     1.20335 0.000721549
          33     1.20011     1.20325 0.000706333
          34     1.20014     1.20316 0.000691491
          35     1.20329     1.20317 0.000671744
          36     1.20262     1.20315 0.000653256
          37      1.1999     1.20306 0.000641493
          38     1.19717     1.20291 0.000643076
          39     1.20409     1.20294 0.000627295
          40     1.20118     1.20289 0.000613143
          41     1.20793     1.20302 0.000610375
          42     1.20579     1.20308 0.000599411
          43     1.20003     1.20301 0.000589673
          44     1.19967     1.20294 0.000581155
          45     1.20629     1.20301 0.000572989
          46     1.19994     1.20294 0.000564403
          47     1.20322     1.20295 0.000552424
          48     1.20499     1.20299 0.000542542
          49     1.20611     1.20306 0.000535192
          50     1.20602     1.20312 0.000527753
          51     1.20549     1.20316 0.000519458
          52     1.20204     1.20314 0.000509917
          53     1.20651      1.2032 0.000504234
          54     1.19513     1.20305 0.000516583
          55     1.20657     1.20312 0.000511129
          56     1.19989     1.20306 0.000505242
          57     1.20175     1.20304 0.000496901
          58     1.21196     1.20319   0.0005116
          59      1.2004     1.20314 0.000505115
          60     1.19901     1.20308 0.000501366
          61     1.20406     1.20309 0.000493409
          62     1.20943     1.20319 0.000495916
          63     1.19603     1.20308 0.000500922
          64     1.20113     1.20305 0.000494021
          65     1.20026     1.20301 0.000488281
          66     1.19981     1.20296 0.000483286
          67     1.20061     1.20292 0.000477337
          68     1.20119      1.2029 0.000470995
          69     1.20107     1.20287 0.000464914
          70     1.20411     1.20289 0.000458607
          71     1.20683     1.20294 0.000455494
          72     1.20217     1.20293 0.000449294
          73     1.19665     1.20285  0.00045132
          74     1.20289     1.20285 0.000445221
          75     1.20528     1.20288 0.000440464
          76     1.19507     1.20278 0.000446495
          77     1.20581     1.20282 0.000442425
          78     1.20005     1.20278 0.000438177
          79     1.20375     1.20279 0.000432803
          80      1.2014     1.20278 0.000427745
          81     1.20558     1.20281 0.000423866
          82     1.20311     1.20281 0.000418712
          83      1.2041     1.20283 0.000413955
          84     1.20004      1.2028  0.00041036
          85     1.20036     1.20277 0.000406534
          86     1.20616     1.20281 0.000403714
          87     1.19325      1.2027 0.000413763
          88     1.20095     1.20268 0.000409536
          89     1.20438      1.2027 0.000405383
          90     1.20516     1.20272 0.000401799
          91     1.20329     1.20273 0.000397431
          92     1.20998     1.20281 0.000400841
          93     1.19844     1.20276  0.00039927
          94     1.20178     1.20275 0.000395158
          95     1.20309     1.20276 0.000391015
          96     1.19847     1.20271 0.000389479
          97     1.19905     1.20267 0.000387285
          98     1.19763     1.20262 0.000386735
          99     1.19972     1.20259 0.000383939
         100     1.20756     1.20264 0.000383301
         101     1.19709     1.20259 0.000383434
