#     BLOCK:   ACTUAL_KE:    KE_AVE:      ERROR:
           1         1.2         1.2           0
           2         1.2         1.2           0
           3         1.2         1.2           0
           4         1.2         1.2           0
           5         1.2         1.2           0
           6         1.2         1.2 8.60319e-09
           7         1.2         1.2 7.96501e-09
           8         1.2         1.2 7.45058e-09
           9         1.2         1.2 7.02447e-09
          10         1.2         1.2   6.664e-09
