#     BLOCK:  ACTUAL_PE:     PE_AVE:      ERROR:
           1    -7.51877    -7.51877           0
           2     -7.5211    -7.51993 0.000821886
           3    -7.52471    -7.52153  0.00141071
           4    -7.51482    -7.51985  0.00179677
           5    -7.52714    -7.52131  0.00194122
           6    -7.52555    -7.52201  0.00174149
           7    -7.51721    -7.52133  0.00162244
           8    -7.52638    -7.52196  0.00153759
           9    -7.52135    -7.52189  0.00136822
          10    -7.52235    -7.52194  0.00123216
          11    -7.52269    -7.52201  0.00112203
          12    -7.52566    -7.52231  0.00106897
          13    -7.52524    -7.52254  0.00101022
          14    -7.52372    -7.52262 0.000941623
          15    -7.52459    -7.52275 0.000887919
          16    -7.51744    -7.52242 0.000892413
          17    -7.51302    -7.52187 0.000996552
          18    -7.52909    -7.52227   0.0010188
          19    -7.51769    -7.52203 0.000993224
          20    -7.52789    -7.52232 0.000985897
          21    -7.52334    -7.52237 0.000940157
          22    -7.51854    -7.52219 0.000913393
          23    -7.52198    -7.52219 0.000873729
          24    -7.52696    -7.52238 0.000859643
          25    -7.52629    -7.52254 0.000839369
          26    -7.52209    -7.52252 0.000807263
          27    -7.51639     -7.5223 0.000808733
          28    -7.52788     -7.5225 0.000804082
          29    -7.52371    -7.52254  0.00077744
          30    -7.51298    -7.52222 0.000814151
          31    -7.52303    -7.52225 0.000788311
          32    -7.52659    -7.52238 0.000775278
          33    -7.51872    -7.52227 0.000759671
          34    -7.51977     -7.5222 0.000740868
          35    -7.52219     -7.5222   0.0007197
          36    -7.52238     -7.5222 0.000699726
          37    -7.51884    -7.52211 0.000686703
          38    -7.51644    -7.52196 0.000684674
          39    -7.52351      -7.522 0.000668269
          40    -7.52028    -7.52196 0.000652938
          41    -7.52768     -7.5221 0.000651734
          42    -7.52497    -7.52217 0.000639799
          43    -7.51932     -7.5221 0.000628324
          44    -7.51819    -7.52201 0.000620309
          45    -7.52616     -7.5221 0.000613323
          46    -7.51906    -7.52204  0.00060354
          47    -7.52273    -7.52205 0.000590878
          48    -7.52411    -7.52209 0.000580119
          49    -7.52524    -7.52216 0.000571819
          50    -7.52516    -7.52222 0.000563535
          51    -7.52422    -7.52226 0.000553848
          52    -7.52149    -7.52224 0.000543394
          53     -7.5251     -7.5223 0.000535811
          54    -7.51315    -7.52213 0.000552004
          55    -7.52546    -7.52219 0.000545278
          56    -7.51821    -7.52212 0.000540149
          57    -7.52068    -7.52209 0.000531261
          58     -7.5313    -7.52225 0.000545312
          59    -7.51925     -7.5222  0.00053844
          60    -7.51774    -7.52213 0.000534576
          61    -7.52396    -7.52216 0.000526661
          62    -7.52847    -7.52226 0.000527928
          63     -7.5145    -7.52213 0.000533722
          64    -7.52096    -7.52212 0.000525699
          65     -7.5191    -7.52207 0.000519648
          66    -7.51881    -7.52202 0.000514119
          67    -7.52021    -7.52199 0.000507154
          68    -7.51969    -7.52196 0.000500821
          69    -7.52001    -7.52193 0.000494358
          70    -7.52296    -7.52195 0.000487515
          71    -7.52592      -7.522 0.000483851
          72    -7.52089    -7.52199 0.000477378
          73    -7.51491    -7.52189 0.000480583
          74    -7.52258     -7.5219 0.000474181
          75    -7.52445    -7.52193  0.00046908
          76    -7.51482    -7.52184 0.000472161
          77     -7.5257    -7.52189 0.000468681
          78    -7.51915    -7.52185 0.000463988
          79    -7.52291    -7.52187 0.000458307
          80    -7.52071    -7.52185 0.000452805
          81    -7.52487    -7.52189 0.000448739
          82      -7.522    -7.52189 0.000443269
          83    -7.52318    -7.52191 0.000438201
          84    -7.51917    -7.52187 0.000434192
          85    -7.52026    -7.52186 0.000429497
          86    -7.52618    -7.52191 0.000427434
          87    -7.51271     -7.5218 0.000435396
          88    -7.52015    -7.52178 0.000430852
          89     -7.5232     -7.5218 0.000426307
          90    -7.52491    -7.52183  0.00042297
          91    -7.52272    -7.52184 0.000418436
          92    -7.52986    -7.52193 0.000422863
          93    -7.51775    -7.52188 0.000420698
          94    -7.52009    -7.52186 0.000416657
          95    -7.52155    -7.52186 0.000412285
          96     -7.5173    -7.52181 0.000410717
          97     -7.5183    -7.52178 0.000408082
          98    -7.51719    -7.52173 0.000406595
          99    -7.51932    -7.52171 0.000403215
         100    -7.52716    -7.52176 0.000402847
         101    -7.51597     -7.5217 0.000402912
         102     -7.5193    -7.52168 0.000399652
         103    -7.52409     -7.5217 0.000396458
         104    -7.52226    -7.52171 0.000392682
         105    -7.51748    -7.52167 0.000390999
         106     -7.5216    -7.52167 0.000387311
         107    -7.51662    -7.52162 0.000386549
         108    -7.52786    -7.52168 0.000387262
         109    -7.51716    -7.52164 0.000385919
         110    -7.51985    -7.52162 0.000382751
         111    -7.52896    -7.52169 0.000384966
         112    -7.51372    -7.52162 0.000388048
         113    -7.52754    -7.52167 0.000388135
         114     -7.5241    -7.52169 0.000385318
         115    -7.52714    -7.52174 0.000384873
         116    -7.52247    -7.52174 0.000381608
         117    -7.52622    -7.52178 0.000380257
         118    -7.51675    -7.52174 0.000379415
         119    -7.52182    -7.52174 0.000376227
         120    -7.52281    -7.52175 0.000373198
         121    -7.52159    -7.52175 0.000370116
         122    -7.52035    -7.52174 0.000367259
         123    -7.52362    -7.52175 0.000364594
         124    -7.52071    -7.52174  0.00036175
         125    -7.51814    -7.52171 0.000360004
         126    -7.51437    -7.52166 0.000361839
         127    -7.52831    -7.52171 0.000362764
         128      -7.518    -7.52168 0.000361085
         129    -7.52293    -7.52169 0.000358417
         130    -7.52702    -7.52173 0.000357999
         131    -7.51732     -7.5217 0.000356843
         132    -7.51423    -7.52164  0.00035859
         133    -7.52485    -7.52166 0.000356707
         134    -7.51944    -7.52165  0.00035443
         135     -7.5225    -7.52165 0.000351861
         136    -7.51844    -7.52163 0.000350066
         137    -7.52622    -7.52166 0.000349113
         138    -7.52117    -7.52166 0.000346601
         139    -7.52075    -7.52165  0.00034417
         140    -7.52284    -7.52166 0.000341816
         141    -7.52335    -7.52167 0.000339601
         142    -7.52318    -7.52168 0.000337375
         143    -7.52086    -7.52168 0.000335065
         144    -7.51504    -7.52163 0.000335898
         145    -7.52882    -7.52168 0.000337216
         146    -7.51755    -7.52165 0.000336091
         147    -7.53053    -7.52171 0.000339181
         148    -7.51441    -7.52167 0.000340465
         149    -7.51913    -7.52165 0.000338605
         150     -7.5221    -7.52165 0.000336361
         151    -7.51977    -7.52164 0.000334364
         152    -7.51911    -7.52162 0.000332578
         153    -7.52512    -7.52164 0.000331188
         154    -7.52533    -7.52167 0.000329901
         155    -7.52628     -7.5217 0.000329108
         156    -7.51255    -7.52164 0.000332182
         157    -7.52811    -7.52168 0.000332611
         158     -7.5169    -7.52165  0.00033188
         159    -7.52252    -7.52166 0.000329838
         160    -7.51949    -7.52164 0.000328053
         161    -7.51996    -7.52163 0.000326181
         162    -7.51714     -7.5216 0.000325346
         163    -7.51831    -7.52158 0.000323976
         164    -7.52195    -7.52159 0.000322009
         165    -7.52386     -7.5216 0.000320351
         166    -7.52289    -7.52161 0.000318515
         167    -7.52323    -7.52162 0.000316757
         168    -7.51484    -7.52158 0.000317433
         169    -7.52315    -7.52159 0.000315691
         170    -7.51877    -7.52157  0.00031427
         171    -7.51908    -7.52156 0.000312769
         172    -7.52436    -7.52157 0.000311375
         173    -7.51942    -7.52156 0.000309824
         174    -7.52134    -7.52156 0.000308046
         175    -7.52592    -7.52158 0.000307294
         176    -7.51787    -7.52156 0.000306269
         177    -7.51914    -7.52155 0.000304845
         178    -7.52038    -7.52154 0.000303203
         179    -7.53037    -7.52159 0.000305492
         180     -7.5101    -7.52153 0.000310398
         181     -7.5214    -7.52153 0.000308684
         182    -7.51409    -7.52149  0.00030968
         183    -7.51772    -7.52147 0.000308671
         184    -7.52387    -7.52148  0.00030727
         185    -7.51808    -7.52146 0.000306159
         186    -7.51843    -7.52144 0.000304947
         187    -7.52507    -7.52146 0.000303931
         188    -7.52774     -7.5215 0.000304144
         189     -7.5165    -7.52147 0.000303681
         190     -7.5239    -7.52148 0.000302352
         191    -7.51829    -7.52147 0.000301232
         192    -7.52445    -7.52148 0.000300065
         193    -7.52472     -7.5215  0.00029898
         194    -7.51934    -7.52149 0.000297645
         195    -7.52407     -7.5215 0.000296413
         196     -7.5174    -7.52148 0.000295637
         197    -7.52458     -7.5215 0.000294554
         198     -7.5221     -7.5215 0.000293082
         199    -7.51931    -7.52149 0.000291816
         200    -7.52492     -7.5215 0.000290861
         201    -7.52732    -7.52153 0.000290848
         202    -7.52131    -7.52153  0.00028941
         203    -7.52047    -7.52153 0.000288032
         204     -7.5304    -7.52157 0.000289888
         205    -7.51329    -7.52153 0.000291271
         206    -7.52261    -7.52154 0.000289904
         207    -7.52018    -7.52153 0.000288577
         208    -7.51463     -7.5215 0.000289091
         209    -7.53036    -7.52154 0.000290805
         210    -7.52062    -7.52153 0.000289453
         211    -7.52496    -7.52155 0.000288538
         212    -7.52001    -7.52154 0.000287268
         213    -7.52002    -7.52154 0.000286009
         214    -7.52115    -7.52153 0.000284678
         215    -7.52216    -7.52154 0.000283369
         216    -7.52311    -7.52154  0.00028215
         217    -7.52142    -7.52154 0.000280851
         218    -7.53137    -7.52159 0.000283157
         219    -7.51881    -7.52158 0.000282148
         220    -7.51387    -7.52154 0.000283033
         221    -7.52342    -7.52155  0.00028188
         222     -7.5229    -7.52156 0.000280676
         223    -7.52265    -7.52156 0.000279461
         224    -7.51884    -7.52155 0.000278477
         225    -7.53081    -7.52159 0.000280262
         226    -7.51581    -7.52156 0.000280186
         227    -7.52176    -7.52156 0.000278953
         228    -7.52306    -7.52157 0.000277806
         229    -7.52083    -7.52157 0.000276612
         230    -7.51514    -7.52154 0.000276818
         231    -7.52679    -7.52156 0.000276551
         232    -7.51853    -7.52155 0.000275668
         233    -7.52604    -7.52157 0.000275157
         234    -7.53269    -7.52162 0.000278055
         235    -7.51575    -7.52159 0.000277988
         236    -7.51778    -7.52158 0.000277278
         237    -7.51709    -7.52156 0.000276754
         238    -7.52079    -7.52155  0.00027561
         239    -7.52575    -7.52157 0.000275015
         240    -7.52283    -7.52158 0.000273919
         241    -7.50906    -7.52152 0.000277661
         242    -7.52303    -7.52153 0.000276584
         243    -7.52299    -7.52154 0.000275511
         244    -7.53044    -7.52157 0.000276789
         245    -7.52158    -7.52157  0.00027566
         246    -7.52844     -7.5216 0.000275951
         247    -7.52175     -7.5216 0.000274834
         248    -7.52334    -7.52161 0.000273816
         249    -7.52451    -7.52162 0.000272964
         250     -7.5203    -7.52161 0.000271923
