#     BLOCK:  ACTUAL_PE:     PE_AVE:      ERROR:
           1    -8.59643    -8.59643           0
           2    -8.51015    -8.55329   0.0305046
           3    -8.42081    -8.50913   0.0413961
           4    -8.34811    -8.46887   0.0466825
           5    -8.26447    -8.42799   0.0522657
           6    -8.23278    -8.39545   0.0527178
           7    -8.19604    -8.36697   0.0523205
           8    -8.18978    -8.34482     0.05025
           9    -8.18002    -8.32651   0.0478867
          10    -8.12725    -8.30658   0.0470614
          11    -8.11032    -8.28874   0.0460413
          12    -8.11144    -8.27396   0.0445121
          13    -8.09425    -8.26014   0.0431814
          14    -8.08349    -8.24752   0.0419001
          15    -8.05125    -8.23444   0.0410991
          16    -8.04047    -8.22231   0.0402787
          17    -7.90085    -8.20341   0.0421149
          18    -7.87283    -8.18504   0.0435959
          19    -7.88998    -8.16951   0.0439804
          20    -7.85735     -8.1539   0.0444648
          21    -7.84994    -8.13943   0.0446412
          22    -7.79783     -8.1239   0.0452318
          23    -7.81215    -8.11035   0.0452505
          24    -7.81374    -8.09799   0.0450211
          25    -7.82211    -8.08695   0.0445522
          26    -7.88225    -8.07908   0.0435288
          27    -7.89743    -8.07235   0.0424334
          28     -7.9077    -8.06647   0.0413233
          29    -7.87504    -8.05987   0.0404222
          30    -7.82457    -8.05203   0.0398284
          31    -7.75677     -8.0425   0.0396661
          32    -7.77034      -8.034   0.0393278
          33    -7.75651    -8.02559   0.0390247
          34    -7.73067    -8.01691   0.0388289
          35    -7.73091    -8.00874   0.0385698
          36    -7.75245    -8.00162   0.0381497
          37    -7.72189    -7.99406   0.0378604
          38    -7.70923    -7.98657   0.0375988
          39    -7.67547    -7.97859   0.0374713
          40    -7.67083     -7.9709   0.0373161
          41    -7.67642    -7.96371   0.0370907
          42    -7.64619    -7.95615     0.03697
          43    -7.61295    -7.94817   0.0369618
          44    -7.59053    -7.94004   0.0370047
          45    -7.63522    -7.93327   0.0367971
          46    -7.57719    -7.92553   0.0368024
          47    -7.53495    -7.91722   0.0369457
          48     -7.5911    -7.91043   0.0367954
          49    -7.58692    -7.90382    0.036632
          50    -7.55706    -7.89689   0.0365499
          51    -7.53354    -7.88976    0.036521
          52    -7.51702     -7.8826   0.0365154
          53    -7.44371    -7.87431   0.0367534
          54    -7.44311    -7.86633     0.03693
          55    -7.36463    -7.85721   0.0373682
          56    -7.44411    -7.84983   0.0374219
          57    -7.42553    -7.84239   0.0374984
          58    -7.45672    -7.83574   0.0374368
          59    -7.45824    -7.82934   0.0373451
          60     -7.5041    -7.82392    0.037114
          61    -7.57227    -7.81979   0.0367341
          62     -7.5436    -7.81534   0.0364107
          63    -7.54598    -7.81106    0.036083
          64    -7.51276     -7.8064   0.0358189
          65     -7.5474    -7.80242   0.0354888
          66    -7.59109    -7.79922   0.0350953
          67    -7.65192    -7.79702   0.0346402
          68    -7.65392    -7.79491   0.0341947
          69    -7.66279      -7.793   0.0337527
          70    -7.70565    -7.79175   0.0332936
          71    -7.78489    -7.79165   0.0328248
          72    -7.78639    -7.79158    0.032369
          73    -7.77038    -7.79129   0.0319268
          74     -7.7785    -7.79112   0.0314959
          75    -7.76719     -7.7908   0.0310775
          76    -7.79929    -7.79091   0.0306688
          77    -7.77551    -7.79071   0.0302712
          78    -7.78126    -7.79059   0.0298833
          79    -7.78965    -7.79058   0.0295051
          80    -7.76503    -7.79026    0.029138
          81    -7.74711    -7.78972   0.0287831
          82    -7.71498    -7.78881   0.0284465
          83    -7.65087    -7.78715   0.0281523
          84    -7.66333    -7.78568   0.0278557
          85    -7.66896     -7.7843   0.0275618
          86    -7.70107    -7.78334   0.0272583
          87    -7.73214    -7.78275   0.0269514
          88    -7.70583    -7.78187   0.0266593
          89    -7.68699    -7.78081   0.0263811
          90    -7.66727    -7.77955   0.0261181
          91    -7.65707     -7.7782   0.0258657
          92    -7.70552    -7.77741   0.0255966
          93    -7.74497    -7.77706   0.0253238
          94    -7.72129    -7.77647   0.0250613
          95    -7.68312    -7.77549   0.0248168
          96    -7.64878    -7.77417   0.0245933
          97    -7.60685    -7.77244   0.0244002
          98    -7.66486    -7.77134   0.0241759
          99    -7.68901    -7.77051    0.023946
         100    -7.65248    -7.76933   0.0237356
         101    -7.66007    -7.76825   0.0235253
         102    -7.70624    -7.76764   0.0233025
         103    -7.70364    -7.76702   0.0230845
         104    -7.70731    -7.76645   0.0228697
         105      -7.657     -7.7654   0.0226756
         106    -7.64457    -7.76426   0.0224903
         107    -7.64326    -7.76313   0.0223086
         108    -7.64164    -7.76201   0.0221303
         109    -7.59668    -7.76049   0.0219792
         110    -7.57306    -7.75879   0.0218454
         111    -7.56755    -7.75706   0.0217164
         112    -7.56328    -7.75533   0.0215913
         113    -7.53136    -7.75335    0.021491
         114    -7.48985    -7.75104   0.0214264
         115    -7.47763    -7.74866   0.0213716
         116    -7.56257    -7.74706   0.0212475
         117    -7.53604    -7.74526   0.0211423
         118    -7.51036    -7.74326   0.0210566
         119    -7.49792     -7.7412   0.0209804
         120    -7.52549    -7.73941   0.0208824
         121    -7.55642    -7.73789   0.0207645
         122     -7.5724    -7.73654   0.0206386
         123    -7.51639    -7.73475   0.0205482
         124    -7.48742    -7.73275   0.0204791
         125     -7.4835    -7.73076   0.0204121
         126    -7.45051    -7.72853   0.0203709
         127    -7.40057    -7.72595   0.0203736
         128    -7.44445    -7.72375   0.0203327
         129    -7.49853    -7.72201     0.02025
         130    -7.42057    -7.71969   0.0202265
         131    -7.43749    -7.71753   0.0201865
         132    -7.49949    -7.71588    0.020101
         133    -7.51143    -7.71434   0.0200086
         134    -7.48083     -7.7126    0.019935
         135    -7.50419    -7.71106    0.019847
         136    -7.50265    -7.70953   0.0197602
         137    -7.50956    -7.70807   0.0196698
         138    -7.48981    -7.70648   0.0195907
         139    -7.50017      -7.705   0.0195059
         140    -7.54913    -7.70389   0.0193983
         141    -7.53725     -7.7027   0.0192967
         142    -7.55338    -7.70165   0.0191895
         143    -7.60372    -7.70097   0.0190675
         144    -7.63869    -7.70054     0.01894
         145    -7.64358    -7.70014   0.0188134
         146    -7.64166    -7.69974   0.0186888
         147    -7.58059    -7.69893   0.0185793
         148    -7.56853    -7.69805   0.0184746
         149    -7.56237    -7.69714   0.0183731
         150    -7.54579    -7.69613   0.0182783
         151    -7.55501     -7.6952   0.0181811
         152    -7.56093    -7.69431   0.0180829
         153    -7.61397    -7.69379   0.0179724
         154    -7.66206    -7.69358   0.0178568
         155    -7.60502    -7.69301   0.0177508
         156    -7.55757    -7.69214   0.0176582
         157    -7.64914    -7.69187   0.0175479
         158    -7.64519    -7.69157   0.0174393
         159    -7.64165    -7.69126   0.0173324
         160    -7.58618     -7.6906   0.0172365
         161    -7.55682    -7.68977   0.0171495
         162    -7.60664    -7.68926   0.0170513
         163    -7.62184    -7.68884   0.0169517
         164    -7.61764    -7.68841   0.0168539
         165    -7.61012    -7.68794   0.0167584
         166    -7.59345    -7.68737   0.0166671
         167    -7.61975    -7.68696   0.0165723
         168    -7.62238    -7.68658   0.0164781
         169    -7.59714    -7.68605   0.0163891
         170    -7.56384    -7.68533   0.0163084
         171    -7.58111    -7.68472   0.0162244
         172    -7.56909    -7.68405    0.016144
         173    -7.59921    -7.68356   0.0160582
         174    -7.58794    -7.68301   0.0159753
         175    -7.55467    -7.68227   0.0159008
         176    -7.61651     -7.6819   0.0158148
         177     -7.6096    -7.68149   0.0157308
         178    -7.57321    -7.68088   0.0156542
         179    -7.61936    -7.68054   0.0155705
         180    -7.60728    -7.68013   0.0154893
         181    -7.62992    -7.67986   0.0154062
         182    -7.66812    -7.67979   0.0153217
         183    -7.69796    -7.67989   0.0152383
         184    -7.66492    -7.67981   0.0151557
         185     -7.6531    -7.67966   0.0150744
         186    -7.68537     -7.6797   0.0149934
         187    -7.72446    -7.67994   0.0149152
         188    -7.72191    -7.68016   0.0148375
         189    -7.68567    -7.68019    0.014759
         190    -7.66619    -7.68011   0.0146815
         191    -7.66098    -7.68001    0.014605
         192     -7.6309    -7.67976   0.0145312
         193    -7.60825    -7.67939   0.0144606
         194    -7.62644    -7.67911   0.0143886
         195    -7.63113    -7.67887    0.014317
         196    -7.61615    -7.67855   0.0142475
         197    -7.65469    -7.67843   0.0141757
         198    -7.65352     -7.6783   0.0141046
         199    -7.61574    -7.67799   0.0140373
         200    -7.62943    -7.67774   0.0139692
         201    -7.65995    -7.67766      0.0139
         202    -7.64624     -7.6775    0.013832
         203    -7.58467    -7.67704   0.0137714
         204    -7.59209    -7.67663   0.0137102
         205    -7.55727    -7.67604   0.0136557
         206    -7.50418    -7.67521   0.0136149
         207    -7.39734    -7.67387   0.0136151
         208    -7.48176    -7.67294    0.013581
         209    -7.46459    -7.67195   0.0135525
         210      -7.486    -7.67106   0.0135169
         211    -7.50785    -7.67029   0.0134749
         212    -7.53432    -7.66965   0.0134266
         213    -7.49535    -7.66883   0.0133885
         214    -7.44238    -7.66777   0.0133677
         215    -7.40443    -7.66655   0.0133615
         216    -7.47105    -7.66564   0.0133303
         217    -7.42923    -7.66455   0.0133133
         218    -7.49111    -7.66376    0.013276
         219     -7.5297    -7.66314   0.0132294
         220    -7.50517    -7.66243   0.0131888
         221    -7.52555    -7.66181   0.0131436
         222    -7.52377    -7.66118   0.0130991
         223    -7.57026    -7.66078   0.0130467
         224    -7.58295    -7.66043   0.0129931
         225    -7.56075    -7.65999   0.0129429
         226      -7.507    -7.65931   0.0129033
         227    -7.48693    -7.65855   0.0128688
         228    -7.51762    -7.65793   0.0128272
         229    -7.49588    -7.65722   0.0127907
         230    -7.53981    -7.65671   0.0127453
         231     -7.5112    -7.65608   0.0127057
         232    -7.53954    -7.65558   0.0126608
         233    -7.52361    -7.65501   0.0126191
         234     -7.4647     -7.6542   0.0125914
         235    -7.47249    -7.65343   0.0125615
