#     BLOCK:   ACTUAL_P:     P_AVE:       ERROR:
           1    -554.656    -554.656           0
           2    -554.653    -554.655 0.000941682
           3    -554.651    -554.653  0.00126293
           4    -554.664    -554.656  0.00255918
           5    -554.652    -554.655  0.00217308
           6    -554.651    -554.655  0.00192522
           7     -554.65    -554.654  0.00177892
           8    -554.653    -554.654  0.00156163
           9    -554.652    -554.654  0.00140692
          10    -554.657    -554.654  0.00131929
          11    -554.656    -554.654   0.0012163
          12    -554.646    -554.653  0.00130008
          13    -554.652    -554.653  0.00120605
          14    -554.655    -554.653   0.0011294
          15    -554.659    -554.654   0.0011167
          16    -554.656    -554.654  0.00105854
          17    -554.647    -554.654  0.00108374
          18    -554.663    -554.654  0.00114802
          19    -554.657    -554.654  0.00109492
          20    -554.646    -554.654  0.00111049
          21    -554.665    -554.654  0.00117012
          22     -554.66    -554.655   0.0011439
          23    -554.651    -554.654  0.00110285
          24    -554.655    -554.654  0.00105724
          25    -554.648    -554.654   0.0010492
          26    -554.659    -554.654  0.00102519
          27    -554.648    -554.654  0.00101197
          28    -554.656    -554.654 0.000978116
          29    -554.659    -554.654 0.000958094
          30    -554.646    -554.654 0.000962698
          31    -554.655    -554.654 0.000932159
          32    -554.659    -554.654 0.000917427
          33    -554.661    -554.655 0.000910052
          34    -554.641    -554.654 0.000966247
          35    -554.651    -554.654 0.000941735
          36    -554.658    -554.654 0.000920991
          37    -554.655    -554.654 0.000896451
          38    -554.649    -554.654 0.000883274
          39    -554.649    -554.654 0.000869136
          40    -554.659    -554.654 0.000856195
          41    -554.652    -554.654 0.000837542
          42    -554.649    -554.654 0.000827676
          43    -554.648    -554.654 0.000820822
          44    -554.657    -554.654 0.000806514
          45    -554.656    -554.654 0.000790251
          46    -554.656    -554.654 0.000774179
          47    -554.654    -554.654 0.000757724
          48    -554.651    -554.654 0.000744829
          49    -554.657    -554.654 0.000731791
          50    -554.658    -554.654 0.000722402
