#     BLOCK:   ACTUAL_P:     P_AVE:       ERROR:
           1     7.73663     7.73663           0
           2     7.71909     7.72786  0.00619853
           3     7.74824     7.73465  0.00691602
           4     7.71568     7.72991  0.00661598
           5     7.70228     7.72438  0.00724146
           6     7.75527     7.72953   0.0076488
           7     7.74469      7.7317  0.00685577
           8     7.73117     7.73163  0.00599911
           9     7.69822     7.72792  0.00637866
          10     7.72815     7.72794  0.00574084
          11     7.76078     7.73093  0.00594458
          12     7.69686     7.72809  0.00608948
          13     7.73571     7.72868  0.00564919
          14     7.71754     7.72788  0.00530137
          15     7.72706     7.72783  0.00494823
          16     7.75612     7.72959  0.00494487
          17      7.7416      7.7303  0.00470412
          18     7.72365     7.72993  0.00445727
          19     7.72437     7.72964  0.00423228
          20     7.72161     7.72924  0.00403966
          21     7.75407     7.73042   0.0040167
          22      7.7617     7.73184  0.00407807
          23     7.71352     7.73104  0.00397783
          24     7.72566     7.73082  0.00381842
          25     7.71175     7.73006  0.00374106
          26     7.71973     7.72966  0.00361818
          27     7.71954     7.72929  0.00350353
          28     7.75916     7.73035  0.00353709
          29     7.74436     7.73083  0.00344795
          30     7.73712     7.73104  0.00333938
          31     7.73842     7.73128  0.00324013
          32     7.75192     7.73193   0.0032024
          33     7.75399      7.7326  0.00317439
          34     7.74073     7.73284  0.00309002
          35     7.73383     7.73286  0.00300187
          36     7.69666     7.73186  0.00308237
          37     7.73266     7.73188  0.00299914
          38     7.71677     7.73148  0.00294645
          39      7.7649     7.73234  0.00299289
          40     7.73253     7.73234  0.00291807
          41     7.77159      7.7333  0.00299976
          42     7.76498     7.73405  0.00302166
          43     7.73914     7.73417   0.0029537
          44     7.71916     7.73383  0.00290622
          45     7.74953     7.73418   0.0028625
          46     7.73872     7.73428  0.00280197
          47     7.78536     7.73537  0.00294563
          48     7.77657     7.73622  0.00300673
          49     7.74726     7.73645  0.00295379
          50     7.73365     7.73639  0.00289524
          51     7.76096     7.73688  0.00287826
          52      7.7775     7.73766  0.00292699
          53     7.71871      7.7373  0.00289351
          54     7.71868     7.73695   0.0028604
          55     7.73576     7.73693  0.00280847
          56     7.70877     7.73643  0.00280298
          57      7.7361     7.73642  0.00275381
          58     7.73276     7.73636  0.00270705
          59     7.70631     7.73585  0.00270866
          60     7.76523     7.73634  0.00270743
          61     7.71643     7.73601  0.00268266
          62     7.69728     7.73539  0.00271116
          63     7.74815     7.73559  0.00267569
          64     7.73539     7.73559  0.00263388
          65      7.6911      7.7349  0.00268082
          66     7.75058     7.73514   0.0026507
          67       7.728     7.73504  0.00261328
          68     7.77208     7.73558  0.00263102
          69     7.72761     7.73547  0.00259542
          70     7.78062     7.73611   0.0026373
          71     7.72162     7.73591  0.00260803
          72     7.71927     7.73567  0.00258203
          73     7.74184     7.73576  0.00254804
          74     7.74868     7.73593  0.00251958
          75     7.74039     7.73599  0.00248669
          76     7.73945     7.73604  0.00245438
          77     7.72577     7.73591  0.00242613
          78     7.72212     7.73573  0.00240146
          79      7.7347     7.73572  0.00237109
          80     7.73124     7.73566  0.00234212
          81     7.73817     7.73569  0.00231341
          82     7.69983     7.73525  0.00232617
          83     7.70139     7.73485  0.00233365
          84     7.72958     7.73478  0.00230671
          85     7.71898      7.7346  0.00228706
          86     7.71306     7.73435  0.00227413
          87     7.74542     7.73447  0.00225155
          88     7.72159     7.73433  0.00223072
          89     7.75205     7.73453  0.00221452
          90     7.73324     7.73451  0.00218996
          91      7.7265     7.73442  0.00216767
          92     7.71634     7.73423    0.002153
          93     7.72894     7.73417   0.0021306
          94     7.74141     7.73425  0.00210933
          95     7.76179     7.73454  0.00210696
          96     7.74402     7.73464  0.00208733
          97     7.77302     7.73503  0.00210297
          98     7.69703     7.73464  0.00211696
          99     7.71505     7.73445  0.00210481
         100     7.74389     7.73454  0.00208588
