#     BLOCK:   ACTUAL_P:     P_AVE:       ERROR:
           1     1.86529     1.86529           0
           2     2.30949     2.08739    0.157048
           3     2.80497     2.32658    0.221592
           4     3.21377     2.54838       0.254
           5     3.67159     2.77302    0.285764
           6     3.83248      2.9496    0.287561
           7     4.03097     3.10408    0.284971
           8     4.06456     3.22414    0.273473
           9     4.11596     3.32323    0.260422
          10     4.41454     3.43236    0.256227
          11      4.5128     3.53058    0.251055
          12     4.51675     3.61276    0.243213
          13     4.60096     3.68878    0.236085
          14     4.65696     3.75794    0.229126
          15     4.84363     3.83032    0.224993
          16     4.87491      3.8956      0.2202
          17      5.6371     3.99804    0.229844
          18     5.80343     4.09834    0.237955
          19     5.71585     4.18347    0.240177
          20     5.90543     4.26957    0.243111
          21     5.95128     4.34965    0.244368
          22     6.22461     4.43488    0.247676
          23     6.13522     4.50881    0.247695
          24     6.12634      4.5762    0.246374
          25     6.08287     4.63647    0.243778
          26     5.75319     4.67942    0.238156
          27     5.66495     4.71592    0.232116
          28     5.59011     4.74714    0.225916
          29     5.77009     4.78242    0.220862
          30     6.05273     4.82476    0.217521
          31      6.4343     4.87668    0.216612
          32      6.3676     4.92327    0.214796
          33     6.42634     4.96882    0.213061
          34     6.58445     5.01634    0.212027
          35      6.5847     5.06115    0.210651
          36     6.45591     5.09989    0.208332
          37     6.62546     5.14112    0.206742
          38     6.68104     5.18165    0.205234
          39     6.87628      5.2251     0.20452
          40     6.90424     5.26708    0.203669
          41     6.88486     5.30654    0.202488
          42     7.04728     5.34798    0.201864
          43     7.22192     5.39156    0.201819
          44     7.36316     5.43637    0.202145
          45     7.13354     5.47409    0.201141
          46     7.44917     5.51702    0.201299
          47     7.65835     5.56258    0.202106
          48     7.33676     5.59955    0.201247
          49     7.35437     5.63536    0.200301
          50     7.50985     5.67285    0.199772
          51     7.62161     5.71106    0.199476
          52      7.7199     5.74969    0.199346
          53     8.15214     5.79502    0.200672
          54     8.15536     5.83873     0.20166
          55     8.56748     5.88834    0.204005
          56     8.12698     5.92832    0.204242
          57     8.21812     5.96849    0.204571
          58     8.03859     6.00418    0.204134
