#     BLOCK:   ACTUAL_T:     T_AVE:       ERROR:
           1    0.802147    0.802147           0
           2    0.804686    0.803417 0.000897742
           3    0.799957    0.802264  0.00111561
           4    0.802361    0.802288 0.000836975
           5    0.805437    0.802918 0.000875034
           6    0.799351    0.802323 0.000908957
           7    0.800268     0.80203 0.000825184
           8     0.80076    0.801871 0.000737129
           9    0.806671    0.802404 0.000825932
          10    0.801726    0.802336 0.000746122
          11    0.798335    0.801973 0.000761805
          12    0.804823     0.80221 0.000734422
          13    0.799598    0.802009 0.000704874
          14    0.800871    0.801928 0.000659196
          15    0.802165    0.801944 0.000615438
          16    0.798885    0.801753 0.000605936
          17    0.800154    0.801659 0.000577544
          18    0.801752    0.801664 0.000545481
          19    0.803868     0.80178 0.000528964
          20    0.803286    0.801855 0.000507846
          21    0.800298    0.801781 0.000489048
          22    0.797316    0.801578 0.000507186
          23    0.803584    0.801665 0.000492575
          24    0.803448     0.80174 0.000477622
          25    0.804106    0.801834 0.000467801
          26    0.804352    0.801931 0.000459724
          27     0.80249    0.801952 0.000443163
          28     0.79989    0.801878 0.000433412
          29    0.803347    0.801929 0.000421416
          30    0.803941    0.801996 0.000412674
          31    0.802305    0.802006 0.000399482
          32    0.801625    0.801994 0.000387176
          33    0.800005    0.801934 0.000380106
          34    0.804925    0.802022 0.000378974
          35    0.801804    0.802015 0.000368197
          36    0.804437    0.802083 0.000364062
          37    0.799502    0.802013 0.000360842
          38    0.801622    0.802003 0.000351493
          39    0.800167    0.801956 0.000345616
          40    0.804512    0.802019 0.000342834
          41    0.798184    0.801926 0.000346999
          42    0.801887    0.801925 0.000338738
          43    0.802199    0.801931  0.00033092
          44    0.803809    0.801974  0.00032614
          45     0.80267    0.801989 0.000319258
          46    0.804629    0.802047 0.000317431
          47    0.796364    0.801926  0.00033291
          48    0.799566    0.801877 0.000329584
          49    0.801901    0.801877 0.000322858
          50    0.804992     0.80194 0.000322354
          51    0.802473     0.80195 0.000316203
          52    0.798822     0.80189 0.000315792
          53    0.804116    0.801932 0.000312615
          54    0.803652    0.801964 0.000308444
          55    0.799041    0.801911 0.000307381
          56    0.803906    0.801946  0.00030395
          57     0.80057    0.801922 0.000299575
          58    0.800786    0.801902  0.00029505
          59     0.80526    0.801959 0.000295485
          60    0.798864    0.801908  0.00029503
          61    0.804265    0.801946 0.000292714
          62    0.807524    0.802036 0.000301501
          63    0.803177    0.802055 0.000297259
          64    0.800153    0.802025 0.000294096
          65    0.806266     0.80209 0.000296722
          66    0.799401    0.802049 0.000295011
          67    0.804001    0.802078 0.000292042
          68     0.79919    0.802036  0.00029082
          69    0.803331    0.802055 0.000287211
          70    0.798453    0.802003 0.000287679
          71    0.803856    0.802029 0.000284809
          72    0.803942    0.802056 0.000282089
          73    0.802876    0.802067 0.000278448
          74    0.799965    0.802039  0.00027613
          75    0.800721    0.802021 0.000273006
          76    0.800604    0.802003  0.00027005
          77    0.804178    0.802031 0.000268016
          78     0.80349     0.80205 0.000265232
          79    0.803209    0.802064  0.00026228
          80    0.800583    0.802046 0.000259655
          81    0.798755    0.802005 0.000259607
          82    0.803957    0.802029 0.000257531
          83    0.804489    0.802058 0.000256128
          84    0.800494     0.80204 0.000253755
          85    0.802495    0.802045 0.000250826
          86    0.802794    0.802054 0.000248061
          87    0.800848     0.80204 0.000245596
          88    0.803062    0.802052  0.00024308
          89    0.798804    0.802015 0.000243072
          90    0.802606    0.802022  0.00024046
          91    0.802661    0.802029  0.00023792
          92    0.804464    0.802055 0.000236802
          93    0.802646    0.802062 0.000234341
          94    0.801307    0.802054 0.000231985
          95    0.796137    0.801991 0.000237756
          96     0.80147    0.801986 0.000235342
          97    0.798399    0.801949 0.000235803
          98    0.806506    0.801995 0.000237937
          99    0.803877    0.802014 0.000236292
         100    0.801961    0.802014 0.000233929
