#     BLOCK:   ACTUAL_T:     T_AVE:       ERROR:
           1         0.8         0.8           0
           2         0.8         0.8           0
           3         0.8         0.8           0
           4         0.8         0.8           0
           5         0.8         0.8           0
           6         0.8         0.8           0
           7         0.8         0.8  6.8979e-09
           8         0.8         0.8 5.26836e-09
           9         0.8         0.8 4.96705e-09
          10         0.8         0.8   3.332e-09
          11         0.8         0.8 3.17694e-09
          12         0.8         0.8 3.04169e-09
          13         0.8         0.8 4.13284e-09
          14         0.8         0.8  3.9825e-09
          15         0.8         0.8 4.71216e-09
          16         0.8         0.8 4.56253e-09
          17         0.8         0.8  4.4263e-09
          18         0.8         0.8 4.30159e-09
          19         0.8         0.8 5.40522e-09
          20         0.8         0.8 5.26836e-09
          21         0.8         0.8 5.14139e-09
          22         0.8         0.8 5.50262e-09
          23         0.8         0.8 5.38167e-09
          24         0.8         0.8 5.26836e-09
          25         0.8         0.8 5.16191e-09
          26         0.8         0.8 5.46723e-09
          27         0.8         0.8 5.36503e-09
          28         0.8         0.8 5.26836e-09
          29         0.8         0.8 5.17673e-09
          30         0.8         0.8 5.08972e-09
          31         0.8         0.8 5.00695e-09
          32         0.8         0.8  4.9281e-09
          33         0.8         0.8 4.85285e-09
          34         0.8         0.8 4.78096e-09
          35         0.8         0.8 4.71216e-09
          36         0.8         0.8 4.64625e-09
          37         0.8         0.8 4.58304e-09
          38         0.8         0.8 4.52233e-09
          39         0.8         0.8 4.46398e-09
          40         0.8         0.8 4.40782e-09
          41         0.8         0.8 4.35374e-09
          42         0.8         0.8  3.9825e-09
          43         0.8         0.8 3.21367e-09
          44         0.8         0.8 3.17694e-09
          45         0.8         0.8 2.72057e-09
          46         0.8         0.8 1.55355e-09
          47         0.8         0.8 1.53694e-09
          48         0.8         0.8 1.52084e-09
          49         0.8         0.8 1.50524e-09
          50         0.8         0.8 2.10734e-09
          51         0.8         0.8 2.08658e-09
          52         0.8         0.8 2.92236e-09
          53         0.8         0.8 3.23633e-09
          54         0.8         0.8 3.20622e-09
          55         0.8         0.8   3.759e-09
          56         0.8         0.8 3.72529e-09
          57         0.8         0.8 4.41334e-09
          58         0.8         0.8 4.37513e-09
          59         0.8         0.8 4.54962e-09
          60         0.8         0.8 4.90457e-09
          61         0.8         0.8 5.04782e-09
          62         0.8         0.8 5.00695e-09
          63         0.8         0.8    5.31e-09
          64         0.8         0.8 5.26836e-09
          65         0.8         0.8 5.22767e-09
          66         0.8         0.8  5.6534e-09
          67         0.8         0.8 5.61105e-09
          68         0.8         0.8 5.56964e-09
          69         0.8         0.8 5.67278e-09
          70         0.8         0.8 5.77119e-09
          71         0.8         0.8 5.73041e-09
          72         0.8         0.8 5.82439e-09
          73         0.8         0.8 5.78436e-09
          74         0.8         0.8  6.0006e-09
          75         0.8         0.8 6.08337e-09
          76         0.8         0.8 6.04322e-09
          77         0.8         0.8 6.00385e-09
          78         0.8         0.8 5.96524e-09
          79         0.8         0.8 6.27293e-09
          80         0.8         0.8  6.2336e-09
          81         0.8         0.8 5.96966e-09
          82         0.8         0.8 5.93314e-09
          83         0.8         0.8 6.22824e-09
          84         0.8         0.8 6.19105e-09
          85         0.8         0.8 6.15453e-09
          86         0.8         0.8 6.11864e-09
          87         0.8         0.8 6.18737e-09
          88         0.8         0.8 6.15211e-09
          89         0.8         0.8 6.21858e-09
          90         0.8         0.8 6.18393e-09
          91         0.8         0.8 6.14986e-09
          92         0.8         0.8 6.21421e-09
          93         0.8         0.8 6.18071e-09
          94         0.8         0.8 6.14775e-09
          95         0.8         0.8 6.30351e-09
          96         0.8         0.8  6.2706e-09
          97         0.8         0.8 6.32926e-09
          98         0.8         0.8 6.29689e-09
          99         0.8         0.8 6.26501e-09
         100         0.8         0.8  6.2336e-09
         101         0.8         0.8 6.20267e-09
         102         0.8         0.8 6.17219e-09
         103         0.8         0.8 6.22928e-09
         104         0.8         0.8 6.19926e-09
         105         0.8         0.8 6.16967e-09
         106         0.8         0.8  6.1405e-09
         107         0.8         0.8 6.11173e-09
         108         0.8         0.8 6.16729e-09
         109         0.8         0.8 6.13893e-09
         110         0.8         0.8 6.11096e-09
         111         0.8         0.8 6.08337e-09
         112         0.8         0.8 6.21768e-09
         113         0.8         0.8 6.19011e-09
         114         0.8         0.8  6.1629e-09
         115         0.8         0.8 6.21421e-09
         116         0.8         0.8 6.18737e-09
         117         0.8         0.8 6.16087e-09
         118         0.8         0.8 6.13471e-09
         119         0.8         0.8 6.10888e-09
