#     BLOCK:   ACTUAL_TE:    TE_AVE:      ERROR:
           1    -6.31967    -6.31967           0
           2    -6.31905    -6.31936  0.00022004
           3     -6.3182    -6.31897 0.000347749
           4    -6.31815    -6.31876 0.000315816
           5    -6.31983    -6.31898 0.000316949
           6    -6.31764    -6.31875 0.000333923
           7    -6.31867    -6.31874 0.000286439
           8    -6.31852    -6.31871 0.000252013
           9    -6.31851    -6.31869 0.000225065
          10    -6.31761    -6.31858 0.000227143
          11     -6.3178    -6.31851  0.00021743
          12    -6.31818    -6.31848 0.000201019
          13    -6.31847    -6.31848 0.000185558
          14    -6.31772    -6.31843 0.000180152
          15    -6.31821    -6.31841 0.000168706
          16     -6.3185    -6.31842 0.000158244
          17    -6.31814     -6.3184  0.00014979
          18    -6.31924    -6.31845 0.000148552
          19    -6.31853    -6.31845 0.000140792
          20    -6.31864    -6.31846 0.000134053
          21    -6.31962    -6.31852 0.000138495
          22    -6.31922    -6.31855 0.000135782
          23    -6.31883    -6.31856 0.000130405
          24    -6.31786    -6.31853  0.00012819
          25    -6.31863    -6.31854 0.000123116
          26    -6.31908    -6.31856  0.00012012
          27    -6.31908    -6.31858 0.000117197
          28    -6.31992    -6.31862 0.000122398
          29    -6.31786     -6.3186 0.000120947
          30    -6.31891    -6.31861 0.000117372
          31    -6.31915    -6.31863 0.000114881
          32    -6.31897    -6.31864  0.00011178
          33    -6.31826    -6.31863 0.000108961
          34     -6.3185    -6.31862 0.000105816
          35     -6.3183    -6.31861 0.000103199
          36    -6.31777    -6.31859 0.000102939
          37    -6.31746    -6.31856 0.000104555
          38    -6.31818    -6.31855 0.000102286
          39    -6.31862    -6.31855 9.96782e-05
          40    -6.31774    -6.31853 9.92452e-05
          41    -6.31739     -6.3185  0.00010062
          42    -6.31844     -6.3185 9.82337e-05
          43    -6.31809    -6.31849 9.64152e-05
          44    -6.31754    -6.31847 9.66038e-05
          45     -6.3183    -6.31847 9.45307e-05
          46     -6.3183    -6.31846 9.25486e-05
          47    -6.31722    -6.31844 9.42826e-05
          48    -6.31818    -6.31843 9.24724e-05
          49    -6.31783    -6.31842 9.13907e-05
          50    -6.31911    -6.31843 9.06004e-05
          51    -6.31929    -6.31845 9.03772e-05
          52    -6.31827    -6.31845 8.87021e-05
          53    -6.31888    -6.31845 8.74131e-05
          54    -6.31942    -6.31847 8.75889e-05
          55    -6.31775    -6.31846 8.69707e-05
          56    -6.31743    -6.31844 8.73324e-05
          57    -6.31788    -6.31843 8.63523e-05
          58    -6.31799    -6.31842 8.51986e-05
          59    -6.31886    -6.31843 8.40813e-05
          60    -6.31831    -6.31843 8.27022e-05
          61    -6.31903    -6.31844 8.19397e-05
          62    -6.32012    -6.31847 8.49952e-05
          63    -6.31926    -6.31848  8.4579e-05
          64    -6.31811    -6.31847 8.34572e-05
          65    -6.31963    -6.31849 8.40487e-05
          66    -6.31782    -6.31848 8.33843e-05
          67    -6.31859    -6.31848 8.21572e-05
          68    -6.31896    -6.31849  8.1246e-05
          69    -6.31803    -6.31848  8.0342e-05
          70    -6.31787    -6.31847 7.96748e-05
          71    -6.31852    -6.31847 7.85559e-05
          72    -6.31782    -6.31846 7.79914e-05
          73    -6.31828    -6.31846 7.69658e-05
          74    -6.31801    -6.31846 7.61682e-05
          75    -6.31802    -6.31845 7.53712e-05
          76    -6.31921    -6.31846 7.50342e-05
          77    -6.31897    -6.31847 7.43539e-05
          78    -6.31859    -6.31847 7.34164e-05
          79    -6.31852    -6.31847 7.24904e-05
          80    -6.31869    -6.31847 7.16361e-05
          81     -6.3178    -6.31846  7.1236e-05
          82    -6.31903    -6.31847  7.0703e-05
          83    -6.31927    -6.31848 7.05049e-05
          84    -6.31893    -6.31849 6.98649e-05
          85    -6.31814    -6.31848 6.91638e-05
          86    -6.31781    -6.31847  6.8798e-05
          87    -6.31772    -6.31846 6.85558e-05
          88     -6.3187    -6.31847 6.78297e-05
          89    -6.31915    -6.31848 6.74946e-05
          90    -6.31819    -6.31847 6.68214e-05
          91    -6.31859    -6.31847 6.61003e-05
          92    -6.31818    -6.31847 6.54581e-05
          93    -6.31833    -6.31847 6.47718e-05
          94     -6.3187    -6.31847 6.41312e-05
          95    -6.31775    -6.31846 6.39005e-05
          96     -6.3183    -6.31846 6.32575e-05
          97     -6.3185    -6.31846 6.26063e-05
          98    -6.31914    -6.31847 6.23524e-05
          99    -6.31791    -6.31846 6.19822e-05
         100     -6.3191    -6.31847  6.1684e-05
