#     BLOCK:   ACTUAL_TE:    TE_AVE:      ERROR:
           1    -6.37008    -6.37008           0
           2    -6.35333    -6.36171  0.00592313
           3    -6.33786    -6.35376  0.00759842
           4    -6.33723    -6.34963  0.00672883
           5    -6.33248     -6.3462  0.00619579
           6    -6.33381    -6.34413  0.00549626
           7    -6.33426    -6.34272  0.00488866
           8    -6.35031    -6.34367  0.00436856
           9    -6.33439    -6.34264  0.00400312
          10    -6.35976    -6.34435  0.00395194
